feature_set,feature,feature_type,included,notes
core_no_BUS,__feature_set__,definition,True,Existing corrected-label core_no_BUS baseline including existing geographic/regional pressure features.
core_no_BUS,temperature_mean,numeric,True,core_no_BUS
core_no_BUS,humidity_mean,numeric,True,core_no_BUS
core_no_BUS,rainfall_sum,numeric,True,core_no_BUS
core_no_BUS,leaf_wet_hours,numeric,True,core_no_BUS
core_no_BUS,leaf_wet_ratio,numeric,True,core_no_BUS
core_no_BUS,rolling_2w_leaf_wet_hours,numeric,True,core_no_BUS
core_no_BUS,rolling_3w_leaf_wet_hours,numeric,True,core_no_BUS
core_no_BUS,risk_score,numeric,True,core_no_BUS
core_no_BUS,rolling_2w_risk,numeric,True,core_no_BUS
core_no_BUS,rolling_3w_risk,numeric,True,core_no_BUS
core_no_BUS,susceptibility_score,numeric,True,core_no_BUS
core_no_BUS,total_pov_area,numeric,True,core_no_BUS
core_no_BUS,pov_variety_count,numeric,True,core_no_BUS
core_no_BUS,host_weighted_risk,numeric,True,core_no_BUS
core_no_BUS,host_weighted_rolling_2w,numeric,True,core_no_BUS
core_no_BUS,host_weighted_rolling_3w,numeric,True,core_no_BUS
core_no_BUS,neighbor_prevweek_risk,numeric,True,core_no_BUS
core_no_BUS,neighbor_prevweek_blast,numeric,True,core_no_BUS
core_no_BUS,spatial_host_weather_risk,numeric,True,core_no_BUS
core_no_BUS,prevailing_wind_direction,numeric,True,core_no_BUS
core_no_BUS,wind_direction_variability,numeric,True,core_no_BUS
core_no_BUS,mean_wind_speed,numeric,True,core_no_BUS
core_no_BUS,max_wind_speed,numeric,True,core_no_BUS
core_no_BUS,mean_wind_gust,numeric,True,core_no_BUS
core_no_BUS,humid_wind_hours,numeric,True,core_no_BUS
core_no_BUS,leaf_wet_wind_hours,numeric,True,core_no_BUS
core_no_BUS,wind_aligned_neighbor_blast,numeric,True,core_no_BUS
core_no_BUS,wind_aligned_neighbor_count,numeric,True,core_no_BUS
core_no_BUS,regional_neighbor_pressure_2w,numeric,True,core_no_BUS
core_no_BUS,regional_neighbor_pressure_3w,numeric,True,core_no_BUS
core_no_BUS,regional_leaf_wet_accumulation,numeric,True,core_no_BUS
core_no_BUS,regional_host_pressure,numeric,True,core_no_BUS
core_no_BUS,regional_wind_alignment_frequency,numeric,True,core_no_BUS
core_no_BUS,week_sin,numeric,True,core_no_BUS
core_no_BUS,week_cos,numeric,True,core_no_BUS
core_no_BUS,province,categorical_encoded,True,one-hot encoded
core_no_BUS,region,categorical_encoded,True,one-hot encoded
core_plus_analog_history,__feature_set__,definition,True,Core plus similarity-weighted analog outbreak-history features.
core_plus_analog_history,temperature_mean,numeric,True,core_no_BUS
core_plus_analog_history,humidity_mean,numeric,True,core_no_BUS
core_plus_analog_history,rainfall_sum,numeric,True,core_no_BUS
core_plus_analog_history,leaf_wet_hours,numeric,True,core_no_BUS
core_plus_analog_history,leaf_wet_ratio,numeric,True,core_no_BUS
core_plus_analog_history,rolling_2w_leaf_wet_hours,numeric,True,core_no_BUS
core_plus_analog_history,rolling_3w_leaf_wet_hours,numeric,True,core_no_BUS
core_plus_analog_history,risk_score,numeric,True,core_no_BUS
core_plus_analog_history,rolling_2w_risk,numeric,True,core_no_BUS
core_plus_analog_history,rolling_3w_risk,numeric,True,core_no_BUS
core_plus_analog_history,susceptibility_score,numeric,True,core_no_BUS
core_plus_analog_history,total_pov_area,numeric,True,core_no_BUS
core_plus_analog_history,pov_variety_count,numeric,True,core_no_BUS
core_plus_analog_history,host_weighted_risk,numeric,True,core_no_BUS
core_plus_analog_history,host_weighted_rolling_2w,numeric,True,core_no_BUS
core_plus_analog_history,host_weighted_rolling_3w,numeric,True,core_no_BUS
core_plus_analog_history,neighbor_prevweek_risk,numeric,True,core_no_BUS
core_plus_analog_history,neighbor_prevweek_blast,numeric,True,core_no_BUS
core_plus_analog_history,spatial_host_weather_risk,numeric,True,core_no_BUS
core_plus_analog_history,prevailing_wind_direction,numeric,True,core_no_BUS
core_plus_analog_history,wind_direction_variability,numeric,True,core_no_BUS
core_plus_analog_history,mean_wind_speed,numeric,True,core_no_BUS
core_plus_analog_history,max_wind_speed,numeric,True,core_no_BUS
core_plus_analog_history,mean_wind_gust,numeric,True,core_no_BUS
core_plus_analog_history,humid_wind_hours,numeric,True,core_no_BUS
core_plus_analog_history,leaf_wet_wind_hours,numeric,True,core_no_BUS
core_plus_analog_history,wind_aligned_neighbor_blast,numeric,True,core_no_BUS
core_plus_analog_history,wind_aligned_neighbor_count,numeric,True,core_no_BUS
core_plus_analog_history,regional_neighbor_pressure_2w,numeric,True,core_no_BUS
core_plus_analog_history,regional_neighbor_pressure_3w,numeric,True,core_no_BUS
core_plus_analog_history,regional_leaf_wet_accumulation,numeric,True,core_no_BUS
core_plus_analog_history,regional_host_pressure,numeric,True,core_no_BUS
core_plus_analog_history,regional_wind_alignment_frequency,numeric,True,core_no_BUS
core_plus_analog_history,week_sin,numeric,True,core_no_BUS
core_plus_analog_history,week_cos,numeric,True,core_no_BUS
core_plus_analog_history,analog_prevweek_blast,numeric,True,analog
core_plus_analog_history,analog_outbreak_frequency_train,numeric,True,analog
core_plus_analog_history,province,categorical_encoded,True,one-hot encoded
core_plus_analog_history,region,categorical_encoded,True,one-hot encoded
core_plus_analog_pressure,__feature_set__,definition,True,"Core plus similarity-weighted analog risk, moisture, host, and pressure features."
core_plus_analog_pressure,temperature_mean,numeric,True,core_no_BUS
core_plus_analog_pressure,humidity_mean,numeric,True,core_no_BUS
core_plus_analog_pressure,rainfall_sum,numeric,True,core_no_BUS
core_plus_analog_pressure,leaf_wet_hours,numeric,True,core_no_BUS
core_plus_analog_pressure,leaf_wet_ratio,numeric,True,core_no_BUS
core_plus_analog_pressure,rolling_2w_leaf_wet_hours,numeric,True,core_no_BUS
core_plus_analog_pressure,rolling_3w_leaf_wet_hours,numeric,True,core_no_BUS
core_plus_analog_pressure,risk_score,numeric,True,core_no_BUS
core_plus_analog_pressure,rolling_2w_risk,numeric,True,core_no_BUS
core_plus_analog_pressure,rolling_3w_risk,numeric,True,core_no_BUS
core_plus_analog_pressure,susceptibility_score,numeric,True,core_no_BUS
core_plus_analog_pressure,total_pov_area,numeric,True,core_no_BUS
core_plus_analog_pressure,pov_variety_count,numeric,True,core_no_BUS
core_plus_analog_pressure,host_weighted_risk,numeric,True,core_no_BUS
core_plus_analog_pressure,host_weighted_rolling_2w,numeric,True,core_no_BUS
core_plus_analog_pressure,host_weighted_rolling_3w,numeric,True,core_no_BUS
core_plus_analog_pressure,neighbor_prevweek_risk,numeric,True,core_no_BUS
