model,feature_set,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
random_forest,core_no_BUS,train,16008,643,0.49999999999999994,0.3837129054520359,0.864696734059098,0.5315487571701721,0.9774951554678561,0.7115633965617297,14472,893,87,556
random_forest,core_no_BUS,validation,3948,308,0.49999999999999994,0.22566995768688294,0.5194805194805194,0.31465093411996065,0.7418251391465677,0.19476160929546388,3091,549,148,160
random_forest,core_no_BUS,test,4004,161,0.49999999999999994,0.36619718309859156,0.32298136645962733,0.3432343234323432,0.7886243116871361,0.24073598690125192,3753,90,109,52
dnn_no_class_weight,core_no_BUS,train,16008,643,0.2,0.45905707196029777,0.5754276827371695,0.5106970324361628,0.9237615128807114,0.5019746073438058,14929,436,273,370
dnn_no_class_weight,core_no_BUS,validation,3948,308,0.2,0.33724340175953077,0.37337662337662336,0.35439137134052395,0.765447052947053,0.28485994461888275,3414,226,193,115
dnn_no_class_weight,core_no_BUS,test,4004,161,0.2,0.3923076923076923,0.3167701863354037,0.35051546391752575,0.7817601737772799,0.2903871400135668,3764,79,110,51
random_forest,core_plus_analog_history,train,16008,643,0.39999999999999997,0.3729024238657551,0.9331259720062208,0.5328596802841917,0.9841611507237825,0.7571371194555604,14356,1009,43,600
random_forest,core_plus_analog_history,validation,3948,308,0.39999999999999997,0.2296211251435132,0.6493506493506493,0.3392705682782019,0.7789469459112317,0.21080917472239802,2969,671,108,200
random_forest,core_plus_analog_history,test,4004,161,0.39999999999999997,0.2316715542521994,0.4906832298136646,0.3147410358565737,0.8325648149495007,0.2953072882093971,3581,262,82,79
dnn_no_class_weight,core_plus_analog_history,train,16008,643,0.2,0.47335811648079307,0.5940902021772939,0.526896551724138,0.9313894811530112,0.5109359089415245,14940,425,261,382
dnn_no_class_weight,core_plus_analog_history,validation,3948,308,0.2,0.26987951807228916,0.36363636363636365,0.30982019363762103,0.7553999571856713,0.23565341368241494,3337,303,196,112
dnn_no_class_weight,core_plus_analog_history,test,4004,161,0.2,0.34210526315789475,0.40372670807453415,0.37037037037037035,0.8028568519353572,0.28182208864152447,3718,125,96,65
random_forest,core_plus_analog_pressure,train,16008,643,0.44999999999999996,0.36431690580162196,0.9082426127527217,0.5200356188780053,0.9799265058283683,0.7295747358911232,14346,1019,59,584
random_forest,core_plus_analog_pressure,validation,3948,308,0.44999999999999996,0.2153846153846154,0.5454545454545454,0.3088235294117647,0.7478236049664619,0.20032313823057196,3028,612,140,168
random_forest,core_plus_analog_pressure,test,4004,161,0.44999999999999996,0.30687830687830686,0.36024844720496896,0.33142857142857146,0.7913961498117896,0.24705700480001458,3712,131,103,58
dnn_no_class_weight,core_plus_analog_pressure,train,16008,643,0.2,0.42505854800936765,0.5645412130637636,0.48496993987975945,0.9213770263150836,0.48126107365833004,14874,491,280,363
dnn_no_class_weight,core_plus_analog_pressure,validation,3948,308,0.2,0.30662983425414364,0.36038961038961037,0.33134328358208953,0.7639993934636791,0.2758334923969541,3389,251,197,111
dnn_no_class_weight,core_plus_analog_pressure,test,4004,161,0.2,0.3333333333333333,0.3105590062111801,0.3215434083601286,0.7703140177429965,0.2733044012929859,3743,100,111,50
random_forest,core_plus_all_analog,train,16008,643,0.39999999999999997,0.40622929092113985,0.9533437013996889,0.5697026022304832,0.9863773122550847,0.7777393970851105,14469,896,30,613
random_forest,core_plus_all_analog,validation,3948,308,0.39999999999999997,0.22727272727272727,0.6168831168831169,0.3321678321678322,0.781801234479806,0.21176575493640606,2994,646,118,190
random_forest,core_plus_all_analog,test,4004,161,0.39999999999999997,0.2532894736842105,0.4782608695652174,0.3311827956989247,0.8284256444321609,0.3014261093746617,3616,227,84,77
dnn_no_class_weight,core_plus_all_analog,train,16008,643,0.1,0.3304964539007092,0.7247278382581649,0.4539698002922552,0.9306246296064808,0.49759980777485374,14421,944,177,466
dnn_no_class_weight,core_plus_all_analog,validation,3948,308,0.1,0.21845318860244234,0.5227272727272727,0.30813397129186604,0.75767982017982,0.22411144693587914,3064,576,147,161
dnn_no_class_weight,core_plus_all_analog,test,4004,161,0.1,0.20418848167539266,0.484472049689441,0.287292817679558,0.7911407851332503,0.26225758017561857,3539,304,83,78
