model,feature_set,region,rows,positive_rows,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
dnn_no_class_weight,core_no_BUS,Central,728,10,0.0,0.0,0.0,0.7229805013927576,0.08579385659445021,718,0,10,0
dnn_no_class_weight,core_no_BUS,East,416,7,0.4,0.2857142857142857,0.3333333333333333,0.7474676912329724,0.2847670399184848,406,3,5,2
dnn_no_class_weight,core_no_BUS,North,884,18,0.0,0.0,0.0,0.3464203233256351,0.014999759698467495,865,1,18,0
dnn_no_class_weight,core_no_BUS,Northeast,1040,120,0.4152542372881356,0.4083333333333333,0.4117647058823529,0.7372916666666667,0.38811017109070234,851,69,71,49
dnn_no_class_weight,core_no_BUS,South,728,4,0.0,0.0,0.0,0.8846685082872929,0.04916316100399656,718,6,4,0
dnn_no_class_weight,core_no_BUS,West,208,2,0.0,0.0,0.0,0.25485436893203883,0.009484527448599305,206,0,2,0
dnn_no_class_weight,core_plus_all_analog,Central,728,10,0.0,0.0,0.0,0.7119777158774374,0.04044421980277056,696,22,10,0
dnn_no_class_weight,core_plus_all_analog,East,416,7,0.08823529411764706,0.42857142857142855,0.14634146341463417,0.6821515892420538,0.06522369651256715,378,31,4,3
dnn_no_class_weight,core_plus_all_analog,North,884,18,0.0,0.0,0.0,0.33211444701052095,0.014857251264953285,806,60,18,0
dnn_no_class_weight,core_plus_all_analog,Northeast,1040,120,0.29918032786885246,0.6083333333333333,0.4010989010989011,0.7652717391304349,0.3600316566423075,749,171,47,73
dnn_no_class_weight,core_plus_all_analog,South,728,4,0.09090909090909091,0.5,0.15384615384615385,0.9185082872928176,0.05467171717171718,704,20,2,2
dnn_no_class_weight,core_plus_all_analog,West,208,2,0.0,0.0,0.0,0.25,0.009377469122967521,206,0,2,0
dnn_no_class_weight,core_plus_analog_and_geographic,Central,728,10,0.0,0.0,0.0,0.7119777158774374,0.04044421980277056,696,22,10,0
dnn_no_class_weight,core_plus_analog_and_geographic,East,416,7,0.08823529411764706,0.42857142857142855,0.14634146341463417,0.6821515892420538,0.06522369651256715,378,31,4,3
dnn_no_class_weight,core_plus_analog_and_geographic,North,884,18,0.0,0.0,0.0,0.33211444701052095,0.014857251264953285,806,60,18,0
dnn_no_class_weight,core_plus_analog_and_geographic,Northeast,1040,120,0.29918032786885246,0.6083333333333333,0.4010989010989011,0.7652717391304349,0.3600316566423075,749,171,47,73
dnn_no_class_weight,core_plus_analog_and_geographic,South,728,4,0.09090909090909091,0.5,0.15384615384615385,0.9185082872928176,0.05467171717171718,704,20,2,2
dnn_no_class_weight,core_plus_analog_and_geographic,West,208,2,0.0,0.0,0.0,0.25,0.009377469122967521,206,0,2,0
dnn_no_class_weight,core_plus_analog_history,Central,728,10,0.0,0.0,0.0,0.7174094707520892,0.04663404278858371,714,4,10,0
dnn_no_class_weight,core_plus_analog_history,East,416,7,0.2,0.14285714285714285,0.16666666666666666,0.7453719874257771,0.16028115224401576,405,4,6,1
dnn_no_class_weight,core_plus_analog_history,North,884,18,0.0,0.0,0.0,0.33307672568642543,0.014788255250075337,858,8,18,0
dnn_no_class_weight,core_plus_analog_history,Northeast,1040,120,0.38095238095238093,0.5333333333333333,0.4444444444444444,0.7833242753623189,0.3817943561807117,816,104,56,64
