model,feature_set,model_label,model_feature,alert_tier,region,rows,positive_rows,observed_positive_rate
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_alert,Northeast,36,21,0.5833333333333334
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_alert,South,1,0,0.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,low_risk,Central,558,4,0.007168458781362007
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,low_risk,East,226,2,0.008849557522123894
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,low_risk,North,583,16,0.0274442538593482
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,low_risk,Northeast,388,22,0.05670103092783505
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,low_risk,South,650,2,0.003076923076923077
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,low_risk,West,204,2,0.00980392156862745
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,warning,East,5,2,0.4
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,warning,North,1,0,0.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,warning,Northeast,83,28,0.3373493975903614
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,warning,South,6,0,0.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,watch,Central,170,6,0.03529411764705882
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,watch,East,185,3,0.016216216216216217
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,watch,North,300,2,0.006666666666666667
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,watch,Northeast,533,49,0.09193245778611632
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,watch,South,71,2,0.028169014084507043
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,watch,West,4,0,0.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_alert,Northeast,59,30,0.5084745762711864
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,low_risk,Central,440,3,0.006818181818181818
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,low_risk,East,92,0,0.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,low_risk,North,311,11,0.03536977491961415
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,low_risk,Northeast,164,0,0.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,low_risk,South,538,0,0.0
