model,feature_set,model_label,model_feature,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,calibrator,bin,mean_score,observed_positive_rate
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_global_f1,test,4004,161,0.18000000000000002,0.4117647058823529,0.30434782608695654,0.35,0.7775159481706676,0.2700196075119414,3773.0,70.0,112.0,49.0,,,,
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_reliability,test,3743,93,,,,,,,,,,,isotonic,"(-0.001, 0.1]",0.037405979227003734,0.024846379909163774
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_reliability,test,145,21,,,,,,,,,,,isotonic,"(0.1, 0.2]",0.16796106300638494,0.14482758620689656
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_reliability,test,58,17,,,,,,,,,,,isotonic,"(0.2, 0.3]",0.250359829827353,0.29310344827586204
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_reliability,test,14,3,,,,,,,,,,,isotonic,"(0.3, 0.4]",0.3333333333333333,0.21428571428571427
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_reliability,test,40,24,,,,,,,,,,,isotonic,"(0.4, 0.5]",0.4473948134081402,0.6
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_reliability,test,2,1,,,,,,,,,,,isotonic,"(0.5, 0.6]",0.5294117647058824,0.5
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_reliability,test,2,2,,,,,,,,,,,isotonic,"(0.6, 0.7]",0.6153846153846154,1.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_reliability,validation,3326,144,,,,,,,,,,,isotonic,"(-0.001, 0.1]",0.04329524954900717,0.04329524954900782
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_reliability,validation,319,54,,,,,,,,,,,isotonic,"(0.1, 0.2]",0.16927899686520365,0.16927899686520376
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_reliability,validation,135,34,,,,,,,,,,,isotonic,"(0.2, 0.3]",0.25185185185185216,0.2518518518518518
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_reliability,validation,27,9,,,,,,,,,,,isotonic,"(0.3, 0.4]",0.33333333333333326,0.3333333333333333
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_reliability,validation,111,50,,,,,,,,,,,isotonic,"(0.4, 0.5]",0.4504504504504494,0.45045045045045046
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_reliability,validation,17,9,,,,,,,,,,,isotonic,"(0.5, 0.6]",0.5294117647058824,0.5294117647058824
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_reliability,validation,13,8,,,,,,,,,,,isotonic,"(0.6, 0.7]",0.6153846153846152,0.6153846153846154
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_global_f1,test,4004,161,0.14,0.36666666666666664,0.3416149068322981,0.35369774919614144,0.7817601737772799,0.2903871400135668,3748.0,95.0,106.0,55.0,,,,
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_reliability,test,3766,95,,,,,,,,,,,platt,"(-0.001, 0.1]",0.05068389604904704,0.025225703664365374
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_reliability,test,153,30,,,,,,,,,,,platt,"(0.1, 0.2]",0.13784946551026603,0.19607843137254902
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_reliability,test,48,15,,,,,,,,,,,platt,"(0.2, 0.3]",0.24747269003493313,0.3125
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_reliability,test,23,10,,,,,,,,,,,platt,"(0.3, 0.4]",0.34619718721884424,0.43478260869565216
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_reliability,test,10,8,,,,,,,,,,,platt,"(0.4, 0.5]",0.43914878428907766,0.8
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_reliability,test,2,1,,,,,,,,,,,platt,"(0.5, 0.6]",0.5140130070671002,0.5
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_reliability,test,2,2,,,,,,,,,,,platt,"(0.6, 0.7]",0.662746600043401,1.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_reliability,validation,3384,155,,,,,,,,,,,platt,"(-0.001, 0.1]",0.05362701096717576,0.04580378250591016
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_reliability,validation,313,57,,,,,,,,,,,platt,"(0.1, 0.2]",0.1388400990384894,0.18210862619808307
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_reliability,validation,127,41,,,,,,,,,,,platt,"(0.2, 0.3]",0.23847671973477585,0.3228346456692913
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_reliability,validation,60,23,,,,,,,,,,,platt,"(0.3, 0.4]",0.34647909699281493,0.38333333333333336
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_reliability,validation,40,20,,,,,,,,,,,platt,"(0.4, 0.5]",0.45231237097008065,0.5
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_reliability,validation,17,9,,,,,,,,,,,platt,"(0.5, 0.6]",0.5463170338328938,0.5294117647058824
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_reliability,validation,7,3,,,,,,,,,,,platt,"(0.6, 0.7]",0.6591107619567318,0.42857142857142855
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_global_f1,test,4004,161,0.15000000000000002,0.33668341708542715,0.4161490683229814,0.37222222222222223,0.7934156318740374,0.2504966215649358,3711.0,132.0,94.0,67.0,,,,
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_reliability,test,3600,81,,,,,,,,,,,isotonic,"(-0.001, 0.1]",0.03650996009586438,0.0225
