model,feature_set,model_label,model_feature,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,global_f1,test,4004,161,0.21000000000000002,0.4117647058823529,0.30434782608695654,0.35,0.7817601737772799,0.2903871400135668,3773,70,112,49
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,balanced_default,test,4004,161,0.22,0.41284403669724773,0.2795031055900621,0.33333333333333337,0.7817601737772799,0.2903871400135668,3779,64,116,45
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_precision,test,4004,161,0.39,0.7333333333333333,0.06832298136645963,0.125,0.7817601737772799,0.2903871400135668,3839,4,150,11
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_recall,test,4004,161,0.01,0.06713211600429646,0.7763975155279503,0.12357884330202669,0.7817601737772799,0.2903871400135668,2106,1737,36,125
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,global_f1,test,4004,161,0.19,0.33668341708542715,0.4161490683229814,0.37222222222222223,0.8028568519353573,0.28182208864152447,3711,132,94,67
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,balanced_default,test,4004,161,0.26,0.4068965517241379,0.36645962732919257,0.3856209150326797,0.8028568519353573,0.28182208864152447,3757,86,102,59
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_precision,test,4004,161,0.47000000000000003,0.5714285714285714,0.09937888198757763,0.1693121693121693,0.8028568519353573,0.28182208864152447,3831,12,145,16
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_recall,test,4004,161,0.01,0.0777903043968433,0.8571428571428571,0.14263565891472868,0.8028568519353573,0.28182208864152447,2207,1636,23,138
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,global_f1,test,4004,161,0.52,0.392,0.30434782608695654,0.34265734265734266,0.7886243116871361,0.24073598690125192,3767,76,112,49
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,balanced_default,test,4004,161,0.59,0.44047619047619047,0.22981366459627328,0.3020408163265306,0.7886243116871361,0.24073598690125192,3796,47,124,37
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,high_precision,test,4004,161,0.5700000000000001,0.43333333333333335,0.2422360248447205,0.3107569721115538,0.7886243116871361,0.24073598690125192,3792,51,122,39
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,high_recall,test,4004,161,0.16,0.07020280811232449,0.8385093167701864,0.1295585412667946,0.7886243116871361,0.24073598690125192,2055,1788,26,135
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,global_f1,test,4004,161,0.39,0.23564954682779457,0.484472049689441,0.3170731707317073,0.8284256444321609,0.3014261093746617,3590,253,83,78
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,balanced_default,test,4004,161,0.54,0.3987341772151899,0.391304347826087,0.3949843260188088,0.8284256444321609,0.3014261093746617,3748,95,98,63
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_precision,test,4004,161,0.6,0.45263157894736844,0.2670807453416149,0.3359375,0.8284256444321609,0.3014261093746617,3791,52,118,43
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_recall,test,4004,161,0.09999999999999999,0.061142397425583264,0.9440993788819876,0.11484699659992442,0.8284256444321609,0.3014261093746617,1509,2334,9,152
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,global_f1,test,4004,161,0.4,0.2316715542521994,0.4906832298136646,0.3147410358565737,0.8325648149495007,0.2953072882093971,3581,262,82,79
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,balanced_default,test,4004,161,0.5800000000000001,0.4112903225806452,0.3167701863354037,0.35789473684210527,0.8325648149495007,0.2953072882093971,3770,73,110,51
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_precision,test,4004,161,0.62,0.4883720930232558,0.2608695652173913,0.340080971659919,0.8325648149495007,0.2953072882093971,3799,44,119,42
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_recall,test,4004,161,0.11,0.0628594905505341,0.9503105590062112,0.11791907514450867,0.8325648149495007,0.2953072882093971,1562,2281,8,153
