model,feature_set,model_label,model_feature,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,balanced_default,test,4004,161,0.54,0.3987341772151899,0.391304347826087,0.3949843260188088,0.8284256444321609,0.3014261093746617,3748.0,95.0,98.0,63.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,balanced_default,test,4004,161,0.26,0.4068965517241379,0.36645962732919257,0.3856209150326797,0.8028568519353573,0.28182208864152447,3757.0,86.0,102.0,59.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,global_f1,test,4004,161,0.19,0.33668341708542715,0.4161490683229814,0.37222222222222223,0.8028568519353573,0.28182208864152447,3711.0,132.0,94.0,67.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_global_f1,test,4004,161,0.15000000000000002,0.33668341708542715,0.4161490683229814,0.37222222222222223,0.7934156318740374,0.2504966215649358,3711.0,132.0,94.0,67.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_global_f1,test,4004,161,0.12,0.3350253807106599,0.40993788819875776,0.3687150837988827,0.8028568519353573,0.28182208864152447,3712.0,131.0,95.0,66.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,balanced_default,test,4004,161,0.5800000000000001,0.4112903225806452,0.3167701863354037,0.35789473684210527,0.8325648149495007,0.2953072882093971,3770.0,73.0,110.0,51.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_global_f1,test,4004,161,0.14,0.36666666666666664,0.3416149068322981,0.35369774919614144,0.7817601737772799,0.2903871400135668,3748.0,95.0,106.0,55.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,global_f1,test,4004,161,0.21000000000000002,0.4117647058823529,0.30434782608695654,0.35,0.7817601737772799,0.2903871400135668,3773.0,70.0,112.0,49.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_global_f1,test,4004,161,0.18000000000000002,0.4117647058823529,0.30434782608695654,0.35,0.7775159481706676,0.2700196075119414,3773.0,70.0,112.0,49.0
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,global_f1,test,4004,161,0.52,0.392,0.30434782608695654,0.34265734265734266,0.7886243116871361,0.24073598690125192,3767.0,76.0,112.0,49.0
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,platt_global_f1,test,4004,161,0.14,0.392,0.30434782608695654,0.34265734265734266,0.7886243116871361,0.24073598690125192,3767.0,76.0,112.0,49.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_precision,test,4004,161,0.62,0.4883720930232558,0.2608695652173913,0.340080971659919,0.8325648149495007,0.2953072882093971,3799.0,44.0,119.0,42.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_precision,test,4004,161,0.6,0.45263157894736844,0.2670807453416149,0.3359375,0.8284256444321609,0.3014261093746617,3791.0,52.0,118.0,43.0
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,isotonic_global_f1,test,4004,161,0.13,0.36496350364963503,0.3105590062111801,0.33557046979865773,0.7773300814742622,0.22114284038556106,3756.0,87.0,111.0,50.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,balanced_default,test,4004,161,0.22,0.41284403669724773,0.2795031055900621,0.33333333333333337,0.7817601737772799,0.2903871400135668,3779.0,64.0,116.0,45.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,platt_global_f1,test,4004,161,0.09999999999999999,0.23795180722891565,0.4906832298136646,0.32048681541582147,0.8325648149495007,0.2953072882093971,3590.0,253.0,82.0,79.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,platt_global_f1,test,4004,161,0.09999999999999999,0.23708206686930092,0.484472049689441,0.3183673469387755,0.8284256444321609,0.3014261093746617,3592.0,251.0,83.0,78.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,isotonic_global_f1,test,4004,161,0.13,0.23708206686930092,0.484472049689441,0.3183673469387755,0.8214992815848127,0.2602102535811567,3592.0,251.0,83.0,78.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,global_f1,test,4004,161,0.39,0.23564954682779457,0.484472049689441,0.3170731707317073,0.8284256444321609,0.3014261093746617,3590.0,253.0,83.0,78.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,global_f1,test,4004,161,0.4,0.2316715542521994,0.4906832298136646,0.3147410358565737,0.8325648149495007,0.2953072882093971,3581.0,262.0,82.0,79.0
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,high_precision,test,4004,161,0.5700000000000001,0.43333333333333335,0.2422360248447205,0.3107569721115538,0.7886243116871361,0.24073598690125192,3792.0,51.0,122.0,39.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,isotonic_global_f1,test,4004,161,0.14,0.2257142857142857,0.4906832298136646,0.30919765166340507,0.8258283593789143,0.24650406582133086,3572.0,271.0,82.0,79.0
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,balanced_default,test,4004,161,0.59,0.44047619047619047,0.22981366459627328,0.3020408163265306,0.7886243116871361,0.24073598690125192,3796.0,47.0,124.0,37.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_precision,test,4004,161,0.47000000000000003,0.5714285714285714,0.09937888198757763,0.1693121693121693,0.8028568519353573,0.28182208864152447,3831.0,12.0,145.0,16.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_recall,test,4004,161,0.01,0.0777903043968433,0.8571428571428571,0.14263565891472868,0.8028568519353573,0.28182208864152447,2207.0,1636.0,23.0,138.0
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,high_recall,test,4004,161,0.16,0.07020280811232449,0.8385093167701864,0.1295585412667946,0.7886243116871361,0.24073598690125192,2055.0,1788.0,26.0,135.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_precision,test,4004,161,0.39,0.7333333333333333,0.06832298136645963,0.125,0.7817601737772799,0.2903871400135668,3839.0,4.0,150.0,11.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_recall,test,4004,161,0.01,0.06713211600429646,0.7763975155279503,0.12357884330202669,0.7817601737772799,0.2903871400135668,2106.0,1737.0,36.0,125.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_recall,test,4004,161,0.11,0.0628594905505341,0.9503105590062112,0.11791907514450867,0.8325648149495007,0.2953072882093971,1562.0,2281.0,8.0,153.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_recall,test,4004,161,0.09999999999999999,0.061142397425583264,0.9440993788819876,0.11484699659992442,0.8284256444321609,0.3014261093746617,1509.0,2334.0,9.0,152.0
