model,feature_set,model_label,model_feature,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,region
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,global_f1,test_region_Central,728,10,0.21000000000000002,0.0,0.0,0.0,0.7229805013927576,0.08579385659445021,718,0,10,0,Central
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,global_f1,test_region_East,416,7,0.21000000000000002,0.5,0.2857142857142857,0.36363636363636365,0.7474676912329724,0.2847670399184848,407,2,5,2,East
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,global_f1,test_region_North,884,18,0.21000000000000002,0.0,0.0,0.0,0.3464203233256351,0.014999759698467495,865,1,18,0,North
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,global_f1,test_region_Northeast,1040,120,0.21000000000000002,0.43119266055045874,0.39166666666666666,0.4104803493449782,0.7372916666666667,0.38811017109070234,858,62,73,47,Northeast
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,global_f1,test_region_South,728,4,0.21000000000000002,0.0,0.0,0.0,0.8846685082872929,0.04916316100399656,719,5,4,0,South
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,global_f1,test_region_West,208,2,0.21000000000000002,0.0,0.0,0.0,0.25485436893203883,0.009484527448599305,206,0,2,0,West
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,balanced_default,test_region_Central,728,10,0.22,0.0,0.0,0.0,0.7229805013927576,0.08579385659445021,718,0,10,0,Central
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,balanced_default,test_region_East,416,7,0.22,0.5,0.2857142857142857,0.36363636363636365,0.7474676912329724,0.2847670399184848,407,2,5,2,East
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,balanced_default,test_region_North,884,18,0.22,0.0,0.0,0.0,0.3464203233256351,0.014999759698467495,866,0,18,0,North
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,balanced_default,test_region_Northeast,1040,120,0.22,0.43,0.35833333333333334,0.3909090909090909,0.7372916666666667,0.38811017109070234,863,57,77,43,Northeast
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,balanced_default,test_region_South,728,4,0.22,0.0,0.0,0.0,0.8846685082872929,0.04916316100399656,719,5,4,0,South
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,balanced_default,test_region_West,208,2,0.22,0.0,0.0,0.0,0.25485436893203883,0.009484527448599305,206,0,2,0,West
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_precision,test_region_Central,728,10,0.39,0.0,0.0,0.0,0.7229805013927576,0.08579385659445021,718,0,10,0,Central
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_precision,test_region_East,416,7,0.39,0.0,0.0,0.0,0.7474676912329724,0.2847670399184848,409,0,7,0,East
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_precision,test_region_North,884,18,0.39,0.0,0.0,0.0,0.3464203233256351,0.014999759698467495,866,0,18,0,North
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_precision,test_region_Northeast,1040,120,0.39,0.7333333333333333,0.09166666666666666,0.16296296296296295,0.7372916666666667,0.38811017109070234,916,4,109,11,Northeast
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_precision,test_region_South,728,4,0.39,0.0,0.0,0.0,0.8846685082872929,0.04916316100399656,724,0,4,0,South
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_precision,test_region_West,208,2,0.39,0.0,0.0,0.0,0.25485436893203883,0.009484527448599305,206,0,2,0,West
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_recall,test_region_Central,728,10,0.01,0.02880658436213992,0.7,0.05533596837944665,0.7229805013927576,0.08579385659445021,482,236,3,7,Central
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_recall,test_region_East,416,7,0.01,0.02880658436213992,1.0,0.056,0.7474676912329724,0.2847670399184848,173,236,0,7,East
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_recall,test_region_North,884,18,0.01,0.011061946902654867,0.2777777777777778,0.02127659574468085,0.3464203233256351,0.014999759698467495,419,447,13,5,North
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_recall,test_region_Northeast,1040,120,0.01,0.1285892634207241,0.8583333333333333,0.2236699239956569,0.7372916666666667,0.38811017109070234,222,698,17,103,Northeast
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_recall,test_region_South,728,4,0.01,0.02654867256637168,0.75,0.05128205128205128,0.8846685082872929,0.04916316100399656,614,110,1,3,South
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_recall,test_region_West,208,2,0.01,0.0,0.0,0.0,0.25485436893203883,0.009484527448599305,196,10,2,0,West
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,global_f1,test_region_Central,728,10,0.19,0.0,0.0,0.0,0.7174094707520892,0.04663404278858371,714,4,10,0,Central
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,global_f1,test_region_East,416,7,0.19,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7453719874257771,0.16028115224401576,404,5,5,2,East
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,global_f1,test_region_North,884,18,0.19,0.0,0.0,0.0,0.33307672568642543,0.014788255250075337,856,10,18,0,North
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,global_f1,test_region_Northeast,1040,120,0.19,0.37790697674418605,0.5416666666666666,0.44520547945205474,0.7833242753623189,0.3817943561807117,813,107,55,65,Northeast
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,global_f1,test_region_South,728,4,0.19,0.0,0.0,0.0,0.9281767955801106,0.05816378066378067,718,6,4,0,South
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,global_f1,test_region_West,208,2,0.19,0.0,0.0,0.0,0.2184466019417476,0.009122287968441814,206,0,2,0,West
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,balanced_default,test_region_Central,728,10,0.26,0.0,0.0,0.0,0.7174094707520892,0.04663404278858371,717,1,10,0,Central
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,balanced_default,test_region_East,416,7,0.26,0.5,0.14285714285714285,0.22222222222222224,0.7453719874257771,0.16028115224401576,408,1,6,1,East
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,balanced_default,test_region_North,884,18,0.26,0.0,0.0,0.0,0.33307672568642543,0.014788255250075337,865,1,18,0,North
