model,feature_set,model_label,model_feature,policy,region,validation_threshold,validation_precision,validation_recall,validation_f1,validation_false_positive,validation_false_negative,validation_true_positive,validation_true_negative
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,global_f1,all,0.21000000000000002,0.353125,0.36688311688311687,0.35987261146496813,207.0,195.0,113.0,3433.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,balanced_default,all,0.22,0.36454849498327757,0.3538961038961039,0.3591433278418451,190.0,199.0,109.0,3450.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_precision,all,0.39,0.5,0.11038961038961038,0.18085106382978725,34.0,274.0,34.0,3606.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,high_recall,all,0.01,0.11059907834101383,0.8571428571428571,0.1959183673469388,2123.0,44.0,264.0,1517.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,region_f1_exploratory,Central,0.03,0.012658227848101266,1.0,0.024999999999999998,78.0,0.0,1.0,629.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,region_f1_exploratory,East,0.11,0.2037037037037037,0.44,0.27848101265822783,43.0,14.0,11.0,340.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,region_f1_exploratory,North,0.18000000000000002,0.27631578947368424,0.37168141592920356,0.31698113207547174,110.0,71.0,42.0,653.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,region_f1_exploratory,Northeast,0.25,0.4307692307692308,0.5185185185185185,0.47058823529411764,74.0,52.0,56.0,850.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,region_f1_exploratory,South,0.11,0.425,0.3469387755102041,0.38202247191011235,23.0,32.0,17.0,656.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,region_f1_exploratory,West,0.13,1.0,0.25,0.4,0.0,9.0,3.0,184.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,global_f1,all,0.19,0.27293577981651373,0.38636363636363635,0.31989247311827956,317.0,189.0,119.0,3323.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,balanced_default,all,0.26,0.29411764705882354,0.2922077922077922,0.2931596091205212,216.0,218.0,90.0,3424.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_precision,all,0.47000000000000003,0.4533333333333333,0.11038961038961038,0.1775456919060052,41.0,274.0,34.0,3599.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,high_recall,all,0.01,0.11427357689039933,0.8733766233766234,0.20210368144252444,2085.0,39.0,269.0,1555.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,region_f1_exploratory,Central,0.02,0.009345794392523364,1.0,0.018518518518518517,106.0,0.0,1.0,601.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,region_f1_exploratory,East,0.06999999999999999,0.1588785046728972,0.68,0.25757575757575757,90.0,8.0,17.0,293.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,region_f1_exploratory,North,0.24000000000000002,0.2777777777777778,0.26548672566371684,0.27149321266968324,78.0,83.0,30.0,685.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,region_f1_exploratory,Northeast,0.18000000000000002,0.28448275862068967,0.6111111111111112,0.38823529411764707,166.0,42.0,66.0,758.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,region_f1_exploratory,South,0.14,0.46153846153846156,0.3673469387755102,0.4090909090909091,21.0,31.0,18.0,658.0
