grouping,rows,bus_rows,bus_missing_rows,bus_missing_rate,bus_critical_weeks,target_known_rows,target_positive_rows,bus_rows_with_target,bus_rows_target_positive,current_label_positive_in_bus_rows,year,region,province
overall,28503,1567,26936,0.9450233308774515,129,23960,952,1562,228,227,,,
year,4081,0,4081,1.0,0,0,0,0,0,0,2015.0,,
year,4081,0,4081,1.0,0,4004,1,0,0,0,2016.0,,
year,4077,0,4077,1.0,0,4000,32,0,0,0,2017.0,,
year,4077,0,4077,1.0,0,4000,28,0,0,0,2018.0,,
year,4081,0,4081,1.0,0,4004,116,0,0,0,2019.0,,
year,4081,299,3782,0.9267336437147758,35,4004,467,299,100,99,2020.0,,
year,4025,1268,2757,0.6849689440993789,94,3948,308,1263,128,128,2021.0,,
region,5174,354,4820,0.9315809818322381,6,4348,49,351,5,6,,Central,
region,2960,117,2843,0.960472972972973,12,2488,107,117,26,26,,East,
region,6299,430,5869,0.9317351960628671,64,5296,285,429,65,64,,North,
region,7404,444,6960,0.940032414910859,16,6224,377,444,115,114,,Northeast,
region,5194,166,5028,0.9680400462071621,22,4368,115,166,10,10,,South,
region,1472,56,1416,0.9619565217391305,9,1236,19,55,7,7,,West,
province,371,0,371,1.0,0,312,0,0,0,0,,,Amnat Charoen
province,371,0,371,1.0,0,312,3,0,0,0,,,Ang Thong
province,371,0,371,1.0,0,312,1,0,0,0,,,Bangkok
province,359,0,359,1.0,0,300,31,0,0,0,,,Bueng Kan
province,371,0,371,1.0,0,312,25,0,0,0,,,Buri Ram
province,371,77,294,0.7924528301886793,7,312,32,77,26,26,,,Chachoengsao
province,367,63,304,0.8283378746594006,5,308,0,62,0,0,,,Chai Nat
province,367,0,367,1.0,0,308,7,0,0,0,,,Chaiyaphum
province,371,0,371,1.0,0,312,25,0,0,0,,,Chanthaburi
province,371,75,296,0.7978436657681941,8,312,2,75,0,0,,,Chiang Mai
province,371,75,296,0.7978436657681941,36,312,17,75,16,16,,,Chiang Rai
province,371,0,371,1.0,0,312,16,0,0,0,,,Chon Buri
province,371,0,371,1.0,0,312,0,0,0,0,,,Chumphon
province,371,0,371,1.0,0,312,8,0,0,0,,,Kalasin
province,371,0,371,1.0,0,312,0,0,0,0,,,Kamphaeng Phet
province,367,0,367,1.0,0,308,0,0,0,0,,,Kanchanaburi
province,371,70,301,0.8113207547169812,0,312,23,70,17,17,,,Khon Kaen
