target,feature,rows,positive_rows,mean_positive,mean_negative,effect_diff,correlation,abs_correlation
blast_any,neighbor_prevweek_blast,1567,227.0,0.20881057268722503,0.08869402985074687,0.12011654283647816,0.2477624893010369,0.2477624893010369
blast_any,wind_aligned_neighbor_blast,1567,227.0,0.06960352422907479,0.0261194029850746,0.04348412124400018,0.18012337420881924,0.18012337420881924
blast_any,avgbus_mean,765,118.0,0.4794531880548829,0.31880326782954277,0.16064992022534014,0.09060153673581754,0.09060153673581754
blast_any,avgbus_max,765,118.0,1.1816101694915255,0.904945904173107,0.2766642653184185,0.0672896732338873,0.0672896732338873
blast_any,bus_critical_any,1567,227.0,0.11894273127753303,0.07611940298507462,0.04282332829245841,0.054836717203654774,0.054836717203654774
blast_any,bus_critical_days,1567,227.0,0.2599118942731278,0.1619402985074627,0.09797159576566508,0.048158007830646034,0.048158007830646034
blast_any,maxbus_max,765,118.0,1.588135593220339,1.3386398763523988,0.24949571686794014,0.0448726554761231,0.0448726554761231
blast_any,bus_critical_ratio,1567,227.0,0.03490664988462345,0.023370646766169137,0.011536003118454312,0.03887502718328419,0.03887502718328419
blast_any,leaf_wet_hours,1567,227.0,30.929515418502202,28.877611940298507,2.0519034782036947,0.02384376065318524,0.02384376065318524
blast_any,risk_score,1567,227.0,24.628433338567064,25.27136437047597,-0.6429310319089048,-0.011788760429561108,0.011788760429561108
blast_any,spatial_host_weather_risk,1567,227.0,25.477411989413092,25.17070348103061,0.3067085083824814,0.006024871250964933,0.006024871250964933
blast_any,host_weighted_risk,1567,227.0,25.922145684968804,25.738101122770093,0.1840445621987108,0.0032730875247148714,0.0032730875247148714
blast_t_plus_1,neighbor_prevweek_blast,1562,228.0,0.19824561403508809,0.09059220389805159,0.1076534101370365,0.22253138080760856,0.22253138080760856
blast_t_plus_1,wind_aligned_neighbor_blast,1562,228.0,0.061403508771929745,0.027436281859070454,0.03396722691285929,0.14112179721046708,0.14112179721046708
blast_t_plus_1,avgbus_mean,762,120.0,0.5370873015873016,0.30901980418335545,0.2280674974039461,0.12953372830824902,0.12953372830824902
blast_t_plus_1,avgbus_max,762,120.0,1.2752500000000002,0.8908099688473525,0.3844400311526477,0.09418691446671891,0.09418691446671891
blast_t_plus_1,maxbus_max,762,120.0,1.7766666666666662,1.3088785046729,0.46778816199376627,0.08475952514203562,0.08475952514203562
blast_t_plus_1,bus_critical_any,1562,228.0,0.13157894736842105,0.07421289355322339,0.05736605381519766,0.0735838257721396,0.0735838257721396
blast_t_plus_1,bus_critical_ratio,1562,228.0,0.04318086883876357,0.02203541086599555,0.02114545797276802,0.07137504465467454,0.07137504465467454
blast_t_plus_1,bus_critical_days,1562,228.0,0.29385964912280704,0.15667166416791603,0.137187984954891,0.06754612915756769,0.06754612915756769
blast_t_plus_1,leaf_wet_hours,1562,228.0,32.333333333333336,28.742128935532232,3.5912043978011035,0.041855504523412475,0.041855504523412475
blast_t_plus_1,host_weighted_risk,1562,228.0,26.907064906531094,25.648037078541975,1.2590278279891187,0.02247137068499921,0.02247137068499921
blast_t_plus_1,spatial_host_weather_risk,1562,228.0,26.130332155610756,25.126971384557866,1.0033607710528898,0.019775999170274266,0.019775999170274266
blast_t_plus_1,risk_score,1562,228.0,25.541798251815635,25.19242138146818,0.3493768703474558,0.006429358955098283,0.006429358955098283
host_weighted_risk,risk_score,1567,,,,,0.9982376743843172,0.9982376743843172
host_weighted_risk,spatial_host_weather_risk,1567,,,,,0.9795476866209221,0.9795476866209221
host_weighted_risk,leaf_wet_hours,1567,,,,,0.8872058901073402,0.8872058901073402
host_weighted_risk,maxbus_max,765,,,,,0.38558901463936035,0.38558901463936035
host_weighted_risk,avgbus_max,765,,,,,0.35756832503634617,0.35756832503634617
host_weighted_risk,avgbus_mean,765,,,,,0.34457812138333394,0.34457812138333394
host_weighted_risk,bus_critical_any,1567,,,,,0.22588089909671583,0.22588089909671583
host_weighted_risk,bus_critical_days,1567,,,,,0.20652178208569819,0.20652178208569819
host_weighted_risk,bus_critical_ratio,1567,,,,,0.18273769077139213,0.18273769077139213
host_weighted_risk,wind_aligned_neighbor_blast,1567,,,,,-0.0480757073027619,0.0480757073027619
host_weighted_risk,neighbor_prevweek_blast,1567,,,,,-0.010052344683798398,0.010052344683798398
leaf_wet_hours,risk_score,1567,,,,,0.8889305733526399,0.8889305733526399
leaf_wet_hours,host_weighted_risk,1567,,,,,0.8872058901073402,0.8872058901073402
leaf_wet_hours,spatial_host_weather_risk,1567,,,,,0.8685731332447582,0.8685731332447582
leaf_wet_hours,maxbus_max,765,,,,,0.4077372874267811,0.4077372874267811
leaf_wet_hours,avgbus_mean,765,,,,,0.395942872093369,0.395942872093369
leaf_wet_hours,avgbus_max,765,,,,,0.39583008747919873,0.39583008747919873
leaf_wet_hours,bus_critical_any,1567,,,,,0.23989119880644924,0.23989119880644924
leaf_wet_hours,bus_critical_days,1567,,,,,0.23574979563045856,0.23574979563045856
leaf_wet_hours,bus_critical_ratio,1567,,,,,0.20476276658334674,0.20476276658334674
leaf_wet_hours,neighbor_prevweek_blast,1567,,,,,0.043992687145207855,0.043992687145207855
leaf_wet_hours,wind_aligned_neighbor_blast,1567,,,,,-0.029330319485469648,0.029330319485469648
risk_score,host_weighted_risk,1567,,,,,0.9982376743843173,0.9982376743843173
risk_score,spatial_host_weather_risk,1567,,,,,0.9789179070636252,0.9789179070636252
risk_score,leaf_wet_hours,1567,,,,,0.8889305733526398,0.8889305733526398
risk_score,maxbus_max,765,,,,,0.3883251886300856,0.3883251886300856
risk_score,avgbus_max,765,,,,,0.3604887425573364,0.3604887425573364
risk_score,avgbus_mean,765,,,,,0.34681875943921747,0.34681875943921747
risk_score,bus_critical_any,1567,,,,,0.22691690228130879,0.22691690228130879
risk_score,bus_critical_days,1567,,,,,0.20845915142906246,0.20845915142906246
risk_score,bus_critical_ratio,1567,,,,,0.18404699635912397,0.18404699635912397
risk_score,wind_aligned_neighbor_blast,1567,,,,,-0.048368160476420036,0.048368160476420036
risk_score,neighbor_prevweek_blast,1567,,,,,-0.014942348674962073,0.014942348674962073
