grouping,region,rows,positive_rows,positive_rate,bus_critical_rows,bus_critical_rate,positive_rate_bus_critical,positive_rate_bus_noncritical,mean_avgbus,max_avgbus,year,province
region,Central,351,5,0.014245014245014245,6,0.017094017094017096,0.0,0.014492753623188406,0.052209131075110445,7.2,,
region,East,117,26,0.2222222222222222,12,0.10256410256410256,0.25,0.21904761904761905,0.3671998658618377,5.4,,
region,North,429,65,0.15151515151515152,64,0.14918414918414918,0.25,0.13424657534246576,0.47962253193960497,7.2,,
region,Northeast,444,115,0.25900900900900903,16,0.036036036036036036,0.625,0.24532710280373832,0.3179811507936508,8.0,,
region,South,166,10,0.060240963855421686,22,0.13253012048192772,0.0,0.06944444444444445,0.6577274870344179,7.5,,
region,West,55,7,0.12727272727272726,9,0.16363636363636364,0.1111111111111111,0.13043478260869565,0.21662257495590828,6.5,,
year+region,Central,55,5,0.09090909090909091,5,0.09090909090909091,0.0,0.1,0.32448979591836735,7.2,2020.0,
year+region,East,25,16,0.64,2,0.08,0.0,0.6956521739130435,0.398051948051948,3.0,2020.0,
year+region,North,70,22,0.3142857142857143,22,0.3142857142857143,0.4090909090909091,0.2708333333333333,0.8889386602098466,5.8,2020.0,
year+region,Northeast,132,52,0.3939393939393939,3,0.022727272727272728,0.3333333333333333,0.3953488372093023,0.41050420168067225,5.2,2020.0,
year+region,South,10,1,0.1,1,0.1,0.0,0.1111111111111111,0.285,3.1,2020.0,
year+region,West,7,4,0.5714285714285714,2,0.2857142857142857,0.0,0.8,0.18095238095238092,2.7,2020.0,
year+region,Central,296,0,0.0,1,0.0033783783783783786,0.0,0.0,0.006282271944922544,2.4,2021.0,
year+region,East,92,10,0.10869565217391304,10,0.10869565217391304,0.3,0.08536585365853659,0.3615436507936508,5.4,2021.0,
year+region,North,359,43,0.11977715877437325,42,0.116991643454039,0.16666666666666666,0.11356466876971609,0.3504800101858926,7.2,2021.0,
year+region,Northeast,312,63,0.20192307692307693,13,0.041666666666666664,0.6923076923076923,0.1806020066889632,0.2980711271850513,8.0,2021.0,
year+region,South,156,9,0.057692307692307696,21,0.1346153846153846,0.0,0.06666666666666667,0.6897900665642602,7.5,2021.0,
year+region,West,48,3,0.0625,7,0.14583333333333334,0.14285714285714285,0.04878048780487805,0.22193515704154004,6.5,2021.0,
province+region,East,77,26,0.33766233766233766,7,0.09090909090909091,0.42857142857142855,0.32857142857142857,0.36227182539682534,3.7,,Chachoengsao
province+region,Central,62,0,0.0,5,0.08064516129032258,0.0,0.0,0.1398126463700234,7.2,,Chai Nat
province+region,North,75,0,0.0,8,0.10666666666666667,0.0,0.0,1.380357142857143,5.8,,Chiang Mai
province+region,North,75,16,0.21333333333333335,36,0.48,0.3055555555555556,0.1282051282051282,0.7231474233529028,5.7,,Chiang Rai
province+region,Northeast,70,17,0.24285714285714285,0,0.0,,0.24285714285714285,0.0,0.0,,Khon Kaen
province+region,South,54,0,0.0,14,0.25925925925925924,0.0,0.0,0.8724473975636766,6.9,,Krabi
province+region,North,55,5,0.09090909090909091,9,0.16363636363636364,0.0,0.10869565217391304,0.29711428571428566,4.7,,Lamphun
province+region,Central,62,3,0.04838709677419355,0,0.0,,0.04838709677419355,0.0,0.0,,Lop Buri
province+region,East,40,0,0.0,5,0.125,0.0,0.0,0.37748447204968943,5.4,,Nakhon Nayok
province+region,Central,59,2,0.03389830508474576,0,0.0,,0.03389830508474576,0.0,0.0,,Nakhon Pathom
province+region,Northeast,71,27,0.38028169014084506,0,0.0,,0.38028169014084506,0.0,0.0,,Nakhon Ratchasima
province+region,North,52,0,0.0,3,0.057692307692307696,0.0,0.0,0.227297895902547,4.8,,Nakhon Sawan
province+region,South,53,9,0.16981132075471697,8,0.1509433962264151,0.0,0.2,0.556062271062271,7.5,,Nakhon Si Thammarat
province+region,Central,66,0,0.0,1,0.015151515151515152,0.0,0.0,0.04102564102564101,2.4,,Pathum Thani
province+region,South,59,1,0.01694915254237288,0,0.0,,0.01694915254237288,0.0,0.0,,Phatthalung
province+region,North,68,24,0.35294117647058826,0,0.0,,0.35294117647058826,0.0,0.0,,Phayao
province+region,North,51,0,0.0,0,0.0,,0.0,0.0,0.0,,Phitsanulok
province+region,Central,58,0,0.0,0,0.0,,0.0,0.0,0.0,,Phra Nakhon Si Ayutthaya
province+region,North,53,20,0.37735849056603776,8,0.1509433962264151,0.625,0.3333333333333333,0.6247899159663866,7.2,,Phrae
province+region,West,55,7,0.12727272727272726,9,0.16363636363636364,0.1111111111111111,0.13043478260869565,0.21662257495590828,6.5,,Ratchaburi
province+region,Northeast,72,0,0.0,2,0.027777777777777776,0.0,0.0,0.9375,5.2,,Roi Et
province+region,Northeast,55,14,0.2545454545454545,0,0.0,,0.2545454545454545,0.0,0.0,,Sakon Nakhon
province+region,Central,44,0,0.0,0,0.0,,0.0,0.0,0.0,,Sing Buri
province+region,Northeast,72,36,0.5,14,0.19444444444444445,0.7142857142857143,0.4482758620689655,0.5697061803444782,8.0,,Ubon Ratchathani
province+region,Northeast,104,21,0.20192307692307693,0,0.0,,0.20192307692307693,0.0,0.0,,Udon Thani
