model,model_label,sequence_length,alert_tier,region,rows,positive_rows,observed_positive_rate
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_alert,Northeast,19,10,0.5263157894736842
dnn_class_weight_core_no_BUS,DNN class weighted,0,low_risk,Central,581,5,0.008605851979345954
dnn_class_weight_core_no_BUS,DNN class weighted,0,low_risk,East,261,1,0.0038314176245210726
dnn_class_weight_core_no_BUS,DNN class weighted,0,low_risk,North,568,18,0.03169014084507042
dnn_class_weight_core_no_BUS,DNN class weighted,0,low_risk,Northeast,516,27,0.05232558139534884
dnn_class_weight_core_no_BUS,DNN class weighted,0,low_risk,South,638,2,0.003134796238244514
dnn_class_weight_core_no_BUS,DNN class weighted,0,low_risk,West,208,2,0.009615384615384616
dnn_class_weight_core_no_BUS,DNN class weighted,0,warning,Central,43,4,0.09302325581395349
dnn_class_weight_core_no_BUS,DNN class weighted,0,warning,East,17,3,0.17647058823529413
dnn_class_weight_core_no_BUS,DNN class weighted,0,warning,North,72,0,0.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,warning,Northeast,239,65,0.2719665271966527
dnn_class_weight_core_no_BUS,DNN class weighted,0,warning,South,26,1,0.038461538461538464
dnn_class_weight_core_no_BUS,DNN class weighted,0,watch,Central,104,1,0.009615384615384616
dnn_class_weight_core_no_BUS,DNN class weighted,0,watch,East,138,3,0.021739130434782608
dnn_class_weight_core_no_BUS,DNN class weighted,0,watch,North,244,0,0.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,watch,Northeast,266,18,0.06766917293233082
dnn_class_weight_core_no_BUS,DNN class weighted,0,watch,South,64,1,0.015625
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_alert,Northeast,36,21,0.5833333333333334
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_alert,South,1,0,0.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,low_risk,Central,558,4,0.007168458781362007
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,low_risk,East,226,2,0.008849557522123894
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,low_risk,North,583,16,0.0274442538593482
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,low_risk,Northeast,388,22,0.05670103092783505
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,low_risk,South,650,2,0.003076923076923077
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,low_risk,West,204,2,0.00980392156862745
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,warning,East,5,2,0.4
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,warning,North,1,0,0.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,warning,Northeast,83,28,0.3373493975903614
