model,model_label,sequence_length,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,bin,mean_score,observed_positive_rate,calibrator
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_global_f1,test,4004,161,0.17,0.3179190751445087,0.3416149068322981,0.32934131736526945,0.764498006377652,0.21161533243567585,3725.0,118.0,106.0,55.0,,,,
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_reliability,test,3651,84,,,,,,,,,,,"(-0.001, 0.1]",0.040837759241063205,0.023007395234182416,isotonic
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_reliability,test,180,22,,,,,,,,,,,"(0.1, 0.2]",0.14671612995538258,0.12222222222222222,isotonic
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_reliability,test,35,7,,,,,,,,,,,"(0.2, 0.3]",0.22684316970031249,0.2,isotonic
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_reliability,test,128,41,,,,,,,,,,,"(0.3, 0.4]",0.35283547794117565,0.3203125,isotonic
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_reliability,test,3,2,,,,,,,,,,,"(0.4, 0.5]",0.5,0.6666666666666666,isotonic
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_reliability,test,7,5,,,,,,,,,,,"(0.6, 0.7]",0.6363636363636364,0.7142857142857143,isotonic
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_reliability,validation,3315,139,,,,,,,,,,,"(-0.001, 0.1]",0.04193061840120644,0.04193061840120663,isotonic
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_reliability,validation,290,43,,,,,,,,,,,"(0.1, 0.2]",0.14827586206896587,0.1482758620689655,isotonic
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_reliability,validation,58,13,,,,,,,,,,,"(0.2, 0.3]",0.22413793103448248,0.22413793103448276,isotonic
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_reliability,validation,236,84,,,,,,,,,,,"(0.3, 0.4]",0.35593220338982984,0.3559322033898305,isotonic
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_reliability,validation,16,8,,,,,,,,,,,"(0.4, 0.5]",0.5,0.5,isotonic
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_reliability,validation,33,21,,,,,,,,,,,"(0.6, 0.7]",0.6363636363636366,0.6363636363636364,isotonic
dnn_class_weight_core_no_BUS,DNN class weighted,0,platt_global_f1,test,4004,161,0.24000000000000002,0.32903225806451614,0.3167701863354037,0.3227848101265823,0.7789802544919132,0.24497270413073738,3739.0,104.0,110.0,51.0,,,,
dnn_class_weight_core_no_BUS,DNN class weighted,0,platt_reliability,test,3338,67,,,,,,,,,,,"(-0.001, 0.1]",0.036156350030344675,0.020071899340922707,platt
dnn_class_weight_core_no_BUS,DNN class weighted,0,platt_reliability,test,427,31,,,,,,,,,,,"(0.1, 0.2]",0.1437991644158525,0.07259953161592506,platt
dnn_class_weight_core_no_BUS,DNN class weighted,0,platt_reliability,test,220,53,,,,,,,,,,,"(0.2, 0.3]",0.24888887644370508,0.2409090909090909,platt
dnn_class_weight_core_no_BUS,DNN class weighted,0,platt_reliability,test,19,10,,,,,,,,,,,"(0.3, 0.4]",0.31082684928375226,0.5263157894736842,platt
dnn_class_weight_core_no_BUS,DNN class weighted,0,platt_reliability,validation,2964,116,,,,,,,,,,,"(-0.001, 0.1]",0.037474874270403684,0.03913630229419703,platt
dnn_class_weight_core_no_BUS,DNN class weighted,0,platt_reliability,validation,516,47,,,,,,,,,,,"(0.1, 0.2]",0.14631646620268435,0.09108527131782945,platt
dnn_class_weight_core_no_BUS,DNN class weighted,0,platt_reliability,validation,396,110,,,,,,,,,,,"(0.2, 0.3]",0.2497076643089666,0.2777777777777778,platt
dnn_class_weight_core_no_BUS,DNN class weighted,0,platt_reliability,validation,72,35,,,,,,,,,,,"(0.3, 0.4]",0.31309782731868513,0.4861111111111111,platt
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,isotonic_global_f1,test,4004,161,0.18000000000000002,0.4117647058823529,0.30434782608695654,0.35,0.7775159481706676,0.2700196075119414,3773.0,70.0,112.0,49.0,,,,
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,isotonic_reliability,test,3743,93,,,,,,,,,,,"(-0.001, 0.1]",0.03740598071062146,0.024846379909163774,isotonic
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,isotonic_reliability,test,145,21,,,,,,,,,,,"(0.1, 0.2]",0.16796106300638494,0.14482758620689656,isotonic
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,isotonic_reliability,test,58,17,,,,,,,,,,,"(0.2, 0.3]",0.25035968923384033,0.29310344827586204,isotonic
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,isotonic_reliability,test,14,3,,,,,,,,,,,"(0.3, 0.4]",0.3333333333333333,0.21428571428571427,isotonic
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,isotonic_reliability,test,40,24,,,,,,,,,,,"(0.4, 0.5]",0.44739482342843273,0.6,isotonic
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,isotonic_reliability,test,2,1,,,,,,,,,,,"(0.5, 0.6]",0.5294117647058824,0.5,isotonic
