model,model_label,sequence_length,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
dnn_class_weight_core_no_BUS,DNN class weighted,0,global_f1,test,4004,161,0.8400000000000001,0.3356164383561644,0.30434782608695654,0.3192182410423453,0.7789802544919132,0.24497270413073738,3746,97,112,49
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_precision,test,4004,161,0.9400000000000001,0.5,0.049689440993788817,0.0903954802259887,0.7789802544919132,0.24497270413073738,3835,8,153,8
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_recall,test,4004,161,0.03,0.05763239875389408,0.9192546583850931,0.10846463906192745,0.7789802544919132,0.24497270413073738,1423,2420,13,148
dnn_class_weight_core_no_BUS,DNN class weighted,0,balanced_default,test,4004,161,0.8300000000000001,0.325,0.32298136645962733,0.32398753894081,0.7789802544919132,0.24497270413073738,3735,108,109,52
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,global_f1,test,4004,161,0.21000000000000002,0.4117647058823529,0.30434782608695654,0.35,0.7817601737772799,0.2903871400135668,3773,70,112,49
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_precision,test,4004,161,0.39,0.7333333333333333,0.06832298136645963,0.125,0.7817601737772799,0.2903871400135668,3839,4,150,11
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_recall,test,4004,161,0.01,0.06713211600429646,0.7763975155279503,0.12357884330202669,0.7817601737772799,0.2903871400135668,2106,1737,36,125
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,balanced_default,test,4004,161,0.22,0.41284403669724773,0.2795031055900621,0.33333333333333337,0.7817601737772799,0.2903871400135668,3779,64,116,45
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,global_f1,test,3927,160,0.8300000000000001,0.29441624365482233,0.3625,0.3249299719887955,0.7843973984603133,0.21565929061285688,3628,139,102,58
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,high_precision,test,3927,160,0.9500000000000001,0.4375,0.0875,0.14583333333333331,0.7843973984603133,0.21565929061285688,3749,18,146,14
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,high_recall,test,3927,160,0.05,0.0598035027765912,0.875,0.11195521791283487,0.7843973984603133,0.21565929061285688,1566,2201,20,140
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,balanced_default,test,3927,160,0.85,0.2823529411764706,0.3,0.29090909090909095,0.7843973984603133,0.21565929061285688,3645,122,112,48
random_forest_core_no_BUS,Random Forest,0,global_f1,test,4004,161,0.52,0.392,0.30434782608695654,0.34265734265734266,0.7886243116871361,0.24073598690125192,3767,76,112,49
random_forest_core_no_BUS,Random Forest,0,high_precision,test,4004,161,0.5700000000000001,0.43333333333333335,0.2422360248447205,0.3107569721115538,0.7886243116871361,0.24073598690125192,3792,51,122,39
random_forest_core_no_BUS,Random Forest,0,high_recall,test,4004,161,0.16,0.07020280811232449,0.8385093167701864,0.1295585412667946,0.7886243116871361,0.24073598690125192,2055,1788,26,135
random_forest_core_no_BUS,Random Forest,0,balanced_default,test,4004,161,0.59,0.44047619047619047,0.22981366459627328,0.3020408163265306,0.7886243116871361,0.24073598690125192,3796,47,124,37
dnn_class_weight_core_no_BUS,DNN class weighted,0,region_f1_exploratory,test,4004,161,,0.2131782945736434,0.3416149068322981,0.2625298329355608,0.7789802544919132,0.24497270413073738,3640,203,106,55
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,region_f1_exploratory,test,4004,161,,0.225130890052356,0.2670807453416149,0.24431818181818182,0.7817601737772799,0.2903871400135668,3695,148,118,43
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,region_f1_exploratory,test,3927,160,,0.24705882352941178,0.2625,0.25454545454545463,0.7843973984603133,0.21565929061285688,3639,128,118,42
random_forest_core_no_BUS,Random Forest,0,region_f1_exploratory,test,4004,161,,0.11254612546125461,0.37888198757763975,0.17354196301564725,0.7886243116871361,0.24073598690125192,3362,481,100,61
