model,model_label,sequence_length,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,region
dnn_class_weight_core_no_BUS,DNN class weighted,0,global_f1,test_region_Central,728,10,0.8400000000000001,0.0,0.0,0.0,0.6474930362116992,0.06369093133591654,710,8,10,0,Central
dnn_class_weight_core_no_BUS,DNN class weighted,0,global_f1,test_region_East,416,7,0.8400000000000001,0.4,0.2857142857142857,0.3333333333333333,0.8361858190709046,0.2306364255488472,406,3,5,2,East
dnn_class_weight_core_no_BUS,DNN class weighted,0,global_f1,test_region_North,884,18,0.8400000000000001,0.0,0.0,0.0,0.2842571208622017,0.014059244826693497,861,5,18,0,North
dnn_class_weight_core_no_BUS,DNN class weighted,0,global_f1,test_region_Northeast,1040,120,0.8400000000000001,0.4051724137931034,0.39166666666666666,0.3983050847457627,0.7578260869565219,0.35158656440987424,851,69,73,47,Northeast
dnn_class_weight_core_no_BUS,DNN class weighted,0,global_f1,test_region_South,728,4,0.8400000000000001,0.0,0.0,0.0,0.9033149171270718,0.04361935140882509,712,12,4,0,South
dnn_class_weight_core_no_BUS,DNN class weighted,0,global_f1,test_region_West,208,2,0.8400000000000001,0.0,0.0,0.0,0.16747572815533984,0.008622994652406417,206,0,2,0,West
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_precision,test_region_Central,728,10,0.9400000000000001,0.0,0.0,0.0,0.6474930362116992,0.06369093133591654,718,0,10,0,Central
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_precision,test_region_East,416,7,0.9400000000000001,0.0,0.0,0.0,0.8361858190709046,0.2306364255488472,409,0,7,0,East
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_precision,test_region_North,884,18,0.9400000000000001,0.0,0.0,0.0,0.2842571208622017,0.014059244826693497,866,0,18,0,North
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_precision,test_region_Northeast,1040,120,0.9400000000000001,0.5,0.06666666666666667,0.11764705882352941,0.7578260869565219,0.35158656440987424,912,8,112,8,Northeast
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_precision,test_region_South,728,4,0.9400000000000001,0.0,0.0,0.0,0.9033149171270718,0.04361935140882509,724,0,4,0,South
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_precision,test_region_West,208,2,0.9400000000000001,0.0,0.0,0.0,0.16747572815533984,0.008622994652406417,206,0,2,0,West
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_recall,test_region_Central,728,10,0.03,0.013729977116704805,0.6,0.026845637583892617,0.6474930362116992,0.06369093133591654,287,431,4,6,Central
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_recall,test_region_East,416,7,0.03,0.022727272727272728,1.0,0.044444444444444446,0.8361858190709046,0.2306364255488472,108,301,0,7,East
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_recall,test_region_North,884,18,0.03,0.016320474777448073,0.6111111111111112,0.03179190751445087,0.2842571208622017,0.014059244826693497,203,663,7,11,North
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_recall,test_region_Northeast,1040,120,0.03,0.13186813186813187,1.0,0.23300970873786409,0.7578260869565219,0.35158656440987424,130,790,0,120,Northeast
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_recall,test_region_South,728,4,0.03,0.020512820512820513,1.0,0.04020100502512563,0.9033149171270718,0.04361935140882509,533,191,0,4,South
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_recall,test_region_West,208,2,0.03,0.0,0.0,0.0,0.16747572815533984,0.008622994652406417,162,44,2,0,West
dnn_class_weight_core_no_BUS,DNN class weighted,0,balanced_default,test_region_Central,728,10,0.8300000000000001,0.0,0.0,0.0,0.6474930362116992,0.06369093133591654,708,10,10,0,Central
dnn_class_weight_core_no_BUS,DNN class weighted,0,balanced_default,test_region_East,416,7,0.8300000000000001,0.4,0.2857142857142857,0.3333333333333333,0.8361858190709046,0.2306364255488472,406,3,5,2,East
dnn_class_weight_core_no_BUS,DNN class weighted,0,balanced_default,test_region_North,884,18,0.8300000000000001,0.0,0.0,0.0,0.2842571208622017,0.014059244826693497,861,5,18,0,North
dnn_class_weight_core_no_BUS,DNN class weighted,0,balanced_default,test_region_Northeast,1040,120,0.8300000000000001,0.390625,0.4166666666666667,0.40322580645161293,0.7578260869565219,0.35158656440987424,842,78,70,50,Northeast
dnn_class_weight_core_no_BUS,DNN class weighted,0,balanced_default,test_region_South,728,4,0.8300000000000001,0.0,0.0,0.0,0.9033149171270718,0.04361935140882509,712,12,4,0,South
dnn_class_weight_core_no_BUS,DNN class weighted,0,balanced_default,test_region_West,208,2,0.8300000000000001,0.0,0.0,0.0,0.16747572815533984,0.008622994652406417,206,0,2,0,West
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,global_f1,test_region_Central,728,10,0.21000000000000002,0.0,0.0,0.0,0.7229805013927576,0.08579385659445021,718,0,10,0,Central
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,global_f1,test_region_East,416,7,0.21000000000000002,0.5,0.2857142857142857,0.36363636363636365,0.7474676912329724,0.2847670399184848,407,2,5,2,East
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,global_f1,test_region_North,884,18,0.21000000000000002,0.0,0.0,0.0,0.3464203233256351,0.014999759698467495,865,1,18,0,North
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,global_f1,test_region_Northeast,1040,120,0.21000000000000002,0.43119266055045874,0.39166666666666666,0.4104803493449782,0.7372916666666667,0.38811017109070234,858,62,73,47,Northeast
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,global_f1,test_region_South,728,4,0.21000000000000002,0.0,0.0,0.0,0.8846685082872929,0.04916316100399656,719,5,4,0,South
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,global_f1,test_region_West,208,2,0.21000000000000002,0.0,0.0,0.0,0.25485436893203883,0.009484527448599305,206,0,2,0,West
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_precision,test_region_Central,728,10,0.39,0.0,0.0,0.0,0.7229805013927576,0.08579385659445021,718,0,10,0,Central
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_precision,test_region_East,416,7,0.39,0.0,0.0,0.0,0.7474676912329724,0.2847670399184848,409,0,7,0,East
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_precision,test_region_North,884,18,0.39,0.0,0.0,0.0,0.3464203233256351,0.014999759698467495,866,0,18,0,North
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_precision,test_region_Northeast,1040,120,0.39,0.7333333333333333,0.09166666666666666,0.16296296296296295,0.7372916666666667,0.38811017109070234,916,4,109,11,Northeast
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_precision,test_region_South,728,4,0.39,0.0,0.0,0.0,0.8846685082872929,0.04916316100399656,724,0,4,0,South
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_precision,test_region_West,208,2,0.39,0.0,0.0,0.0,0.25485436893203883,0.009484527448599305,206,0,2,0,West
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_recall,test_region_Central,728,10,0.01,0.02880658436213992,0.7,0.05533596837944665,0.7229805013927576,0.08579385659445021,482,236,3,7,Central
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_recall,test_region_East,416,7,0.01,0.02880658436213992,1.0,0.056,0.7474676912329724,0.2847670399184848,173,236,0,7,East
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_recall,test_region_North,884,18,0.01,0.011061946902654867,0.2777777777777778,0.02127659574468085,0.3464203233256351,0.014999759698467495,419,447,13,5,North
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_recall,test_region_Northeast,1040,120,0.01,0.1285892634207241,0.8583333333333333,0.2236699239956569,0.7372916666666667,0.38811017109070234,222,698,17,103,Northeast
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_recall,test_region_South,728,4,0.01,0.02654867256637168,0.75,0.05128205128205128,0.8846685082872929,0.04916316100399656,614,110,1,3,South
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_recall,test_region_West,208,2,0.01,0.0,0.0,0.0,0.25485436893203883,0.009484527448599305,196,10,2,0,West
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,balanced_default,test_region_Central,728,10,0.22,0.0,0.0,0.0,0.7229805013927576,0.08579385659445021,718,0,10,0,Central
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,balanced_default,test_region_East,416,7,0.22,0.5,0.2857142857142857,0.36363636363636365,0.7474676912329724,0.2847670399184848,407,2,5,2,East
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,balanced_default,test_region_North,884,18,0.22,0.0,0.0,0.0,0.3464203233256351,0.014999759698467495,866,0,18,0,North
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,balanced_default,test_region_Northeast,1040,120,0.22,0.43,0.35833333333333334,0.3909090909090909,0.7372916666666667,0.38811017109070234,863,57,77,43,Northeast
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,balanced_default,test_region_South,728,4,0.22,0.0,0.0,0.0,0.8846685082872929,0.04916316100399656,719,5,4,0,South
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,balanced_default,test_region_West,208,2,0.22,0.0,0.0,0.0,0.25485436893203883,0.009484527448599305,206,0,2,0,West
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,global_f1,test_region_Central,714,10,0.8300000000000001,0.0,0.0,0.0,0.6160511363636364,0.05042006033562849,697,7,10,0,Central
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,global_f1,test_region_East,408,6,0.8300000000000001,0.5,0.3333333333333333,0.4,0.8171641791044776,0.22681170115079105,400,2,4,2,East
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,global_f1,test_region_North,867,18,0.8300000000000001,0.0,0.0,0.0,0.31494568773720716,0.015135293986441058,834,15,18,0,North
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,global_f1,test_region_Northeast,1020,120,0.8300000000000001,0.3393939393939394,0.4666666666666667,0.3929824561403509,0.7480277777777777,0.3161495596857794,791,109,64,56,Northeast
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,global_f1,test_region_South,714,4,0.8300000000000001,0.0,0.0,0.0,0.9355633802816901,0.056681293129312936,704,6,4,0,South
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,global_f1,test_region_West,204,2,0.8300000000000001,0.0,0.0,0.0,0.4034653465346535,0.012262312705771687,202,0,2,0,West
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,high_precision,test_region_Central,714,10,0.9500000000000001,0.0,0.0,0.0,0.6160511363636364,0.05042006033562849,703,1,10,0,Central
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,high_precision,test_region_East,408,6,0.9500000000000001,0.0,0.0,0.0,0.8171641791044776,0.22681170115079105,402,0,6,0,East
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,high_precision,test_region_North,867,18,0.9500000000000001,0.0,0.0,0.0,0.31494568773720716,0.015135293986441058,849,0,18,0,North
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,high_precision,test_region_Northeast,1020,120,0.9500000000000001,0.45161290322580644,0.11666666666666667,0.18543046357615894,0.7480277777777777,0.3161495596857794,883,17,106,14,Northeast
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,high_precision,test_region_South,714,4,0.9500000000000001,0.0,0.0,0.0,0.9355633802816901,0.056681293129312936,710,0,4,0,South
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,high_precision,test_region_West,204,2,0.9500000000000001,0.0,0.0,0.0,0.4034653465346535,0.012262312705771687,202,0,2,0,West
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,high_recall,test_region_Central,714,10,0.05,0.013227513227513227,0.5,0.02577319587628866,0.6160511363636364,0.05042006033562849,331,373,5,5,Central
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,high_recall,test_region_East,408,6,0.05,0.020134228187919462,1.0,0.03947368421052631,0.8171641791044776,0.22681170115079105,110,292,0,6,East
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,high_recall,test_region_North,867,18,0.05,0.02034428794992175,0.7222222222222222,0.0395738203957382,0.31494568773720716,0.015135293986441058,223,626,5,13,North
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,high_recall,test_region_Northeast,1020,120,0.05,0.1320754716981132,0.9333333333333333,0.23140495867768596,0.7480277777777777,0.3161495596857794,164,736,8,112,Northeast
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,high_recall,test_region_South,714,4,0.05,0.0273972602739726,1.0,0.05333333333333332,0.9355633802816901,0.056681293129312936,568,142,0,4,South
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,high_recall,test_region_West,204,2,0.05,0.0,0.0,0.0,0.4034653465346535,0.012262312705771687,170,32,2,0,West
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,balanced_default,test_region_Central,714,10,0.85,0.0,0.0,0.0,0.6160511363636364,0.05042006033562849,699,5,10,0,Central
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,balanced_default,test_region_East,408,6,0.85,0.5,0.3333333333333333,0.4,0.8171641791044776,0.22681170115079105,400,2,4,2,East
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,balanced_default,test_region_North,867,18,0.85,0.0,0.0,0.0,0.31494568773720716,0.015135293986441058,836,13,18,0,North
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,balanced_default,test_region_Northeast,1020,120,0.85,0.3194444444444444,0.38333333333333336,0.3484848484848485,0.7480277777777777,0.3161495596857794,802,98,74,46,Northeast
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,balanced_default,test_region_South,714,4,0.85,0.0,0.0,0.0,0.9355633802816901,0.056681293129312936,706,4,4,0,South
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,balanced_default,test_region_West,204,2,0.85,0.0,0.0,0.0,0.4034653465346535,0.012262312705771687,202,0,2,0,West
random_forest_core_no_BUS,Random Forest,0,global_f1,test_region_Central,728,10,0.52,0.0,0.0,0.0,0.7416434540389971,0.04277197549597929,708,10,10,0,Central
random_forest_core_no_BUS,Random Forest,0,global_f1,test_region_East,416,7,0.52,0.375,0.42857142857142855,0.39999999999999997,0.703807195249738,0.37245568867769074,404,5,4,3,East
random_forest_core_no_BUS,Random Forest,0,global_f1,test_region_North,884,18,0.52,0.0,0.0,0.0,0.5221324095458044,0.02364663071371244,866,0,18,0,North
