model,model_label,sequence_length,policy,region,validation_threshold,validation_precision,validation_recall,validation_f1,validation_false_positive,validation_false_negative,validation_true_positive,validation_true_negative
dnn_class_weight_core_no_BUS,DNN class weighted,0,global_f1,all,0.8400000000000001,0.3885135135135135,0.37337662337662336,0.3807947019867549,181.0,193.0,115.0,3459.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_precision,all,0.9400000000000001,0.47692307692307695,0.10064935064935066,0.16621983914209115,34.0,277.0,31.0,3606.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,high_recall,all,0.03,0.10007225433526011,0.8993506493506493,0.18010403120936277,2491.0,31.0,277.0,1149.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,balanced_default,all,0.8300000000000001,0.3722397476340694,0.38311688311688313,0.37760000000000005,199.0,190.0,118.0,3441.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,region_f1_exploratory,Central,0.39,0.01098901098901099,1.0,0.02173913043478261,90.0,0.0,1.0,617.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,region_f1_exploratory,East,0.72,0.3142857142857143,0.44,0.3666666666666667,24.0,14.0,11.0,359.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,region_f1_exploratory,North,0.8200000000000001,0.33064516129032256,0.36283185840707965,0.34599156118143454,83.0,72.0,41.0,680.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,region_f1_exploratory,Northeast,0.8400000000000001,0.39072847682119205,0.5462962962962963,0.45559845559845563,92.0,49.0,59.0,832.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,region_f1_exploratory,South,0.75,0.4772727272727273,0.42857142857142855,0.4516129032258064,23.0,28.0,21.0,656.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,region_f1_exploratory,West,0.09,0.25,0.3333333333333333,0.28571428571428575,12.0,8.0,4.0,172.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,global_f1,all,0.21000000000000002,0.353125,0.36688311688311687,0.35987261146496813,207.0,195.0,113.0,3433.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_precision,all,0.39,0.5,0.11038961038961038,0.18085106382978725,34.0,274.0,34.0,3606.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,high_recall,all,0.01,0.11059907834101383,0.8571428571428571,0.1959183673469388,2123.0,44.0,264.0,1517.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,balanced_default,all,0.22,0.36454849498327757,0.3538961038961039,0.3591433278418451,190.0,199.0,109.0,3450.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,region_f1_exploratory,Central,0.03,0.012658227848101266,1.0,0.024999999999999998,78.0,0.0,1.0,629.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,region_f1_exploratory,East,0.11,0.2037037037037037,0.44,0.27848101265822783,43.0,14.0,11.0,340.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,region_f1_exploratory,North,0.18000000000000002,0.27631578947368424,0.37168141592920356,0.31698113207547174,110.0,71.0,42.0,653.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,region_f1_exploratory,Northeast,0.25,0.4307692307692308,0.5185185185185185,0.47058823529411764,74.0,52.0,56.0,850.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,region_f1_exploratory,South,0.11,0.425,0.3469387755102041,0.38202247191011235,23.0,32.0,17.0,656.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,region_f1_exploratory,West,0.13,1.0,0.25,0.4,0.0,9.0,3.0,184.0
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,global_f1,all,0.8300000000000001,0.3453038674033149,0.42517006802721086,0.38109756097560976,237.0,169.0,125.0,3340.0
