model,model_label,sequence_length,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,platt_global_f1,test,4004,161,0.14,0.36666666666666664,0.3416149068322981,0.35369774919614144,0.7817601737772799,0.2903871400135668,3748.0,95.0,106.0,55.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,global_f1,test,4004,161,0.21000000000000002,0.4117647058823529,0.30434782608695654,0.35,0.7817601737772799,0.2903871400135668,3773.0,70.0,112.0,49.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,isotonic_global_f1,test,4004,161,0.18000000000000002,0.4117647058823529,0.30434782608695654,0.35,0.7775159481706676,0.2700196075119414,3773.0,70.0,112.0,49.0
random_forest_core_no_BUS,Random Forest,0,global_f1,test,4004,161,0.52,0.392,0.30434782608695654,0.34265734265734266,0.7886243116871361,0.24073598690125192,3767.0,76.0,112.0,49.0
random_forest_core_no_BUS,Random Forest,0,platt_global_f1,test,4004,161,0.14,0.392,0.30434782608695654,0.34265734265734266,0.7886243116871361,0.24073598690125192,3767.0,76.0,112.0,49.0
random_forest_core_no_BUS,Random Forest,0,isotonic_global_f1,test,4004,161,0.13,0.36496350364963503,0.3105590062111801,0.33557046979865773,0.7773300814742622,0.22114284038556106,3756.0,87.0,111.0,50.0
dnn_no_class_weight_core_no_BUS,DNN no class weight,0,balanced_default,test,4004,161,0.22,0.41284403669724773,0.2795031055900621,0.33333333333333337,0.7817601737772799,0.2903871400135668,3779.0,64.0,116.0,45.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,isotonic_global_f1,test,4004,161,0.17,0.3179190751445087,0.3416149068322981,0.32934131736526945,0.764498006377652,0.21161533243567585,3725.0,118.0,106.0,55.0
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,global_f1,test,3927,160,0.8300000000000001,0.29441624365482233,0.3625,0.3249299719887955,0.7843973984603133,0.21565929061285688,3628.0,139.0,102.0,58.0
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,isotonic_global_f1,test,3927,160,0.13,0.29292929292929293,0.3625,0.3240223463687151,0.7761298778869127,0.19850262484738493,3627.0,140.0,102.0,58.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,balanced_default,test,4004,161,0.8300000000000001,0.325,0.32298136645962733,0.32398753894081,0.7789802544919132,0.24497270413073738,3735.0,108.0,109.0,52.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,platt_global_f1,test,4004,161,0.24000000000000002,0.32903225806451614,0.3167701863354037,0.3227848101265823,0.7789802544919132,0.24497270413073738,3739.0,104.0,110.0,51.0
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,platt_global_f1,test,3927,160,0.22,0.29,0.3625,0.32222222222222224,0.7843973984603133,0.21565929061285688,3625.0,142.0,102.0,58.0
dnn_class_weight_core_no_BUS,DNN class weighted,0,global_f1,test,4004,161,0.8400000000000001,0.3356164383561644,0.30434782608695654,0.3192182410423453,0.7789802544919132,0.24497270413073738,3746.0,97.0,112.0,49.0
