province,test_rows,test_positive_rows,test_positive_rate,test_label_observed_rate,train_rows,train_positive_rows,train_positive_rate,train_label_observed_rate,north_positive_cases,missed_by_dnn_core,missed_by_dnn_analog_history,missed_by_rf_all_analog,missed_by_rf_analog_history,missed_by_hybrid_tcn_2w,missed_by_all_available_models,top5_analog_provinces
Lamphun,53,8,0.1509433962264151,0.9433962264150944,212,1,0.0047169811320754715,0.5754716981132075,8.0,8.0,8.0,8.0,8.0,8.0,8.0,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan
Nan,53,7,0.1320754716981132,0.9433962264150944,212,6,0.02830188679245283,0.5754716981132075,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai
Phichit,53,2,0.03773584905660377,0.9433962264150944,212,3,0.014150943396226415,0.5754716981132075,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Phitsanulok|Phetchabun|Sukhothai|Nakhon Sawan|Uthai Thani
Nakhon Sawan,53,1,0.018867924528301886,0.9433962264150944,212,1,0.0047169811320754715,0.5754716981132075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Phetchabun|Kamphaeng Phet|Phichit|Phitsanulok|Uthai Thani
Chiang Mai,53,0,0.0,0.9433962264150944,212,2,0.009433962264150943,0.5754716981132075,0.0,,,,,,,Lamphun|Mae Hong Son|Kamphaeng Phet|Nan|Lampang
Chiang Rai,53,0,0.0,0.9433962264150944,212,13,0.06132075471698113,0.5754716981132075,0.0,,,,,,,Phayao|Buri Ram|Nakhon Ratchasima|Khon Kaen|Si Sa Ket
Kamphaeng Phet,53,0,0.0,0.9433962264150944,212,0,0.0,0.5754716981132075,0.0,,,,,,,Phetchabun|Nakhon Sawan|Mae Hong Son|Lamphun|Roi Et
Lampang,53,0,0.0,0.9433962264150944,212,20,0.09433962264150944,0.5754716981132075,0.0,,,,,,,Lamphun|Phrae|Nan|Uttaradit|Chiang Mai
Mae Hong Son,53,0,0.0,0.9433962264150944,212,0,0.0,0.5754716981132075,0.0,,,,,,,Lamphun|Chiang Mai|Kamphaeng Phet|Roi Et|Nong Khai
Phayao,53,0,0.0,0.9433962264150944,212,15,0.07075471698113207,0.5754716981132075,0.0,,,,,,,Chiang Rai|Khon Kaen|Buri Ram|Si Sa Ket|Nakhon Ratchasima
Phetchabun,53,0,0.0,0.9433962264150944,212,0,0.0,0.5754716981132075,0.0,,,,,,,Kamphaeng Phet|Nakhon Sawan|Phitsanulok|Roi Et|Phichit
Phitsanulok,53,0,0.0,0.9433962264150944,212,5,0.02358490566037736,0.5754716981132075,0.0,,,,,,,Phichit|Phetchabun|Nakhon Sawan|Sukhothai|Uttaradit
Phrae,53,0,0.0,0.9433962264150944,212,32,0.1509433962264151,0.5754716981132075,0.0,,,,,,,Lampang|Uttaradit|Nan|Loei|Uthai Thani
Sukhothai,53,0,0.0,0.9433962264150944,212,9,0.04245283018867924,0.5754716981132075,0.0,,,,,,,Uttaradit|Phichit|Phitsanulok|Kamphaeng Phet|Phetchabun
Tak,53,0,0.0,0.9433962264150944,212,43,0.2028301886792453,0.5754716981132075,0.0,,,,,,,Lampang|Uthai Thani|Phetchabun|Phrae|Maha Sarakham
Uthai Thani,53,0,0.0,0.9433962264150944,212,12,0.05660377358490566,0.5754716981132075,0.0,,,,,,,Phetchabun|Phichit|Nakhon Sawan|Suphan Buri|Kamphaeng Phet
Uttaradit,53,0,0.0,0.9433962264150944,212,9,0.04245283018867924,0.5754716981132075,0.0,,,,,,,Sukhothai|Lampang|Phitsanulok|Phrae|Phetchabun
