scope,time_unit,time_value,rows,positive_rows,positive_rate,share_of_scope_positives
test_2022_north,month,1,102,1,0.00980392156862745,0.05555555555555555
test_2022_north,month,2,68,0,0.0,0.0
test_2022_north,month,3,68,1,0.014705882352941176,0.05555555555555555
test_2022_north,month,4,68,1,0.014705882352941176,0.05555555555555555
test_2022_north,month,5,85,1,0.011764705882352941,0.05555555555555555
test_2022_north,month,6,68,0,0.0,0.0
test_2022_north,month,7,85,2,0.023529411764705882,0.1111111111111111
test_2022_north,month,8,68,4,0.058823529411764705,0.2222222222222222
test_2022_north,month,9,68,0,0.0,0.0
test_2022_north,month,10,85,1,0.011764705882352941,0.05555555555555555
test_2022_north,month,11,68,3,0.04411764705882353,0.16666666666666666
test_2022_north,month,12,68,4,0.058823529411764705,0.2222222222222222
test_2022_north,week_bin,w01_13,221,2,0.00904977375565611,0.1111111111111111
test_2022_north,week_bin,w14_26,221,2,0.00904977375565611,0.1111111111111111
test_2022_north,week_bin,w27_39,221,6,0.027149321266968326,0.3333333333333333
test_2022_north,week_bin,w40_53,238,8,0.03361344537815126,0.4444444444444444
test_2022_northeast,month,1,120,1,0.008333333333333333,0.008333333333333333
test_2022_northeast,month,2,80,4,0.05,0.03333333333333333
test_2022_northeast,month,3,80,4,0.05,0.03333333333333333
test_2022_northeast,month,4,80,4,0.05,0.03333333333333333
test_2022_northeast,month,5,100,5,0.05,0.041666666666666664
test_2022_northeast,month,6,80,4,0.05,0.03333333333333333
test_2022_northeast,month,7,100,9,0.09,0.075
test_2022_northeast,month,8,80,31,0.3875,0.25833333333333336
test_2022_northeast,month,9,80,12,0.15,0.1
test_2022_northeast,month,10,100,10,0.1,0.08333333333333333
test_2022_northeast,month,11,80,18,0.225,0.15
test_2022_northeast,month,12,80,18,0.225,0.15
test_2022_northeast,week_bin,w01_13,260,10,0.038461538461538464,0.08333333333333333
test_2022_northeast,week_bin,w14_26,260,13,0.05,0.10833333333333334
test_2022_northeast,week_bin,w27_39,260,52,0.2,0.43333333333333335
test_2022_northeast,week_bin,w40_53,280,45,0.16071428571428573,0.375
train_2017_2020_north,month,1,340,17,0.05,0.09941520467836257
train_2017_2020_north,month,2,272,11,0.04044117647058824,0.06432748538011696
train_2017_2020_north,month,3,306,10,0.032679738562091505,0.05847953216374269
train_2017_2020_north,month,4,306,5,0.016339869281045753,0.029239766081871343
train_2017_2020_north,month,5,289,4,0.01384083044982699,0.023391812865497075
train_2017_2020_north,month,6,289,2,0.006920415224913495,0.011695906432748537
train_2017_2020_north,month,7,306,4,0.013071895424836602,0.023391812865497075
train_2017_2020_north,month,8,289,28,0.09688581314878893,0.16374269005847952
train_2017_2020_north,month,9,306,20,0.06535947712418301,0.11695906432748537
train_2017_2020_north,month,10,289,1,0.0034602076124567475,0.005847953216374269
train_2017_2020_north,month,11,289,31,0.10726643598615918,0.18128654970760233
train_2017_2020_north,month,12,323,38,0.11764705882352941,0.2222222222222222
train_2017_2020_north,week_bin,w01_13,918,38,0.04139433551198257,0.2222222222222222
train_2017_2020_north,week_bin,w14_26,884,11,0.012443438914027148,0.06432748538011696
train_2017_2020_north,week_bin,w27_39,884,52,0.058823529411764705,0.30409356725146197
train_2017_2020_north,week_bin,w40_53,918,70,0.07625272331154684,0.4093567251461988
train_2017_2020_northeast,month,1,396,2,0.005050505050505051,0.007434944237918215
train_2017_2020_northeast,month,2,320,1,0.003125,0.0037174721189591076
train_2017_2020_northeast,month,3,360,6,0.016666666666666666,0.022304832713754646
train_2017_2020_northeast,month,4,360,0,0.0,0.0
train_2017_2020_northeast,month,5,340,9,0.026470588235294117,0.03345724907063197
train_2017_2020_northeast,month,6,340,24,0.07058823529411765,0.08921933085501858
train_2017_2020_northeast,month,7,360,41,0.11388888888888889,0.1524163568773234
train_2017_2020_northeast,month,8,340,54,0.1588235294117647,0.20074349442379183
train_2017_2020_northeast,month,9,360,13,0.03611111111111111,0.048327137546468404
train_2017_2020_northeast,month,10,340,4,0.011764705882352941,0.01486988847583643
train_2017_2020_northeast,month,11,340,66,0.19411764705882353,0.24535315985130113
train_2017_2020_northeast,month,12,376,49,0.13031914893617022,0.1821561338289963
train_2017_2020_northeast,week_bin,w01_13,1076,9,0.008364312267657992,0.03345724907063197
train_2017_2020_northeast,week_bin,w14_26,1040,33,0.03173076923076923,0.12267657992565056
train_2017_2020_northeast,week_bin,w27_39,1040,108,0.10384615384615385,0.40148698884758366
train_2017_2020_northeast,week_bin,w40_53,1076,119,0.11059479553903345,0.4423791821561338
