province,top5_analog_provinces,top5_geographic_neighbors,analog_geo_overlap_count,analog_geo_overlap_rate,mean_analog_distance_km,same_region_rate,cross_region_rate
Amnat Charoen,Nakhon Phanom|Nong Khai|Roi Et|Trat|Khon Kaen,Mukdahan|Roi Et|Si Sa Ket|Ubon Ratchathani|Yasothon,1,0.2,255.54891049419052,0.8,0.19999999999999996
Ang Thong,Pathum Thani|Saraburi|Nonthaburi|Bangkok|Samut Prakarn,Lop Buri|Phra Nakhon Si Ayutthaya|Saraburi|Sing Buri|Suphan Buri,1,0.2,82.72551235412675,1.0,0.0
Bangkok,Nonthaburi|Samut Sakhon|Pathum Thani|Saraburi|Samut Prakarn,Nakhon Pathom|Nonthaburi|Pathum Thani|Samut Prakarn|Samut Sakhon,4,0.8,41.70370728869229,1.0,0.0
Bueng Kan,Nong Bua Lam Phu|Sakon Nakhon|Maha Sarakham|Mukdahan|Udon Thani,Kalasin|Nakhon Phanom|Nong Khai|Sakon Nakhon|Udon Thani,2,0.4,167.0007520473882,1.0,0.0
Buri Ram,Nakhon Ratchasima|Si Sa Ket|Khon Kaen|Ubon Ratchathani|Surin,Maha Sarakham|Nakhon Ratchasima|Roi Et|Si Sa Ket|Surin,3,0.6,139.4874246837342,1.0,0.0
Chachoengsao,Chon Buri|Nakhon Nayok|Rayong|Nakhon Pathom|Phichit,Bangkok|Chon Buri|Nakhon Nayok|Prachin Buri|Samut Prakarn,2,0.4,126.0089215091893,0.6,0.4
Chai Nat,Sing Buri|Prachuap Khiri Khan|Samut Songkhram|Pathum Thani|Phetchaburi,Ang Thong|Nakhon Sawan|Sing Buri|Suphan Buri|Uthai Thani,1,0.2,194.29359193946442,0.6,0.4
Chaiyaphum,Yasothon|Kalasin|Udon Thani|Roi Et|Khon Kaen,Khon Kaen|Maha Sarakham|Nakhon Ratchasima|Nong Bua Lam Phu|Phetchabun,1,0.2,182.8974165058379,1.0,0.0
Chanthaburi,Sa kaeo|Trat|Prachin Buri|Nakhon Nayok|Chachoengsao,Chachoengsao|Chon Buri|Rayong|Sa kaeo|Trat,3,0.6,141.2580056623911,1.0,0.0
Chiang Mai,Lamphun|Mae Hong Son|Kamphaeng Phet|Nan|Lampang,Lampang|Lamphun|Mae Hong Son|Phayao|Phrae,3,0.6,143.0795228314234,1.0,0.0
Chiang Rai,Phayao|Buri Ram|Nakhon Ratchasima|Khon Kaen|Si Sa Ket,Chiang Mai|Lampang|Nan|Phayao|Phrae,1,0.2,500.2789569305477,0.2,0.8
Chon Buri,Chachoengsao|Rayong|Nakhon Nayok|Nakhon Pathom|Samut Prakarn,Bangkok|Chachoengsao|Rayong|Samut Prakarn|Samut Sakhon,3,0.6,85.58197085088882,0.6,0.4
Chumphon,Surat Thani|Pattani|Phang-nga|Phuket|Krabi,Nakhon Si Thammarat|Phang-nga|Prachuap Khiri Khan|Ranong|Surat Thani,2,0.4,269.522504973691,1.0,0.0
Kalasin,Udon Thani|Chaiyaphum|Yasothon|Roi Et|Nakhon Phanom,Khon Kaen|Maha Sarakham|Mukdahan|Roi Et|Sakon Nakhon,1,0.2,123.93363748696001,1.0,0.0
Kamphaeng Phet,Phetchabun|Nakhon Sawan|Mae Hong Son|Lamphun|Roi Et,Nakhon Sawan|Phichit|Phitsanulok|Sukhothai|Tak,1,0.2,249.0691131738181,0.8,0.19999999999999996
Kanchanaburi,Phetchaburi|Prachuap Khiri Khan|Samut Sakhon|Samut Prakarn|Chai Nat,Nakhon Pathom|Ratchaburi|Samut Sakhon|Samut Songkhram|Suphan Buri,1,0.2,156.50043456162976,0.4,0.6
Khon Kaen,Udon Thani|Si Sa Ket|Maha Sarakham|Buri Ram|Surin,Chaiyaphum|Kalasin|Maha Sarakham|Nong Bua Lam Phu|Udon Thani,2,0.4,160.14729472209785,1.0,0.0
Krabi,Surat Thani|Narathiwat|Ranong|Satun|Phang-nga,Nakhon Si Thammarat|Phang-nga|Phatthalung|Phuket|Trang,1,0.2,198.78228254382685,1.0,0.0
Lampang,Lamphun|Phrae|Nan|Uttaradit|Chiang Mai,Chiang Mai|Lamphun|Phayao|Phrae|Uttaradit,4,0.8,94.82333208195148,1.0,0.0
Lamphun,Mae Hong Son|Chiang Mai|Kamphaeng Phet|Lampang|Nan,Chiang Mai|Lampang|Mae Hong Son|Phayao|Phrae,3,0.6,130.6860651571802,1.0,0.0
Loei,Nong Bua Lam Phu|Nan|Phrae|Nong Khai|Sakon Nakhon,Nong Bua Lam Phu|Nong Khai|Phetchabun|Udon Thani|Uttaradit,2,0.4,162.14443301705592,0.6,0.4
Lop Buri,Sing Buri|Chai Nat|Kanchanaburi|Saraburi|Samut Sakhon,Ang Thong|Chai Nat|Phra Nakhon Si Ayutthaya|Saraburi|Sing Buri,3,0.6,104.91684509322651,0.8,0.19999999999999996
Mae Hong Son,Lamphun|Chiang Mai|Kamphaeng Phet|Roi Et|Nong Khai,Chiang Mai|Lampang|Lamphun|Phayao|Phrae,2,0.4,341.0838476272106,0.6,0.4
Maha Sarakham,Khon Kaen|Si Sa Ket|Ubon Ratchathani|Surin|Udon Thani,Buri Ram|Kalasin|Khon Kaen|Roi Et|Yasothon,1,0.2,148.85959227990952,1.0,0.0
Mukdahan,Chiang Mai|Sakon Nakhon|Phitsanulok|Lampang|Bueng Kan,Amnat Charoen|Kalasin|Nakhon Phanom|Roi Et|Yasothon,0,0.0,400.442409706431,0.4,0.6
Nakhon Nayok,Phetchaburi|Pathum Thani|Samut Prakarn|Samut Sakhon|Saraburi,Chachoengsao|Pathum Thani|Phra Nakhon Si Ayutthaya|Prachin Buri|Saraburi,2,0.4,97.4657967529992,0.0,1.0
Nakhon Pathom,Ang Thong|Saraburi|Bangkok|Nonthaburi|Phra Nakhon Si Ayutthaya,Bangkok|Nonthaburi|Ratchaburi|Samut Sakhon|Samut Songkhram,2,0.4,70.25612838282044,1.0,0.0
Nakhon Phanom,Amnat Charoen|Nong Khai|Roi Et|Trat|Kamphaeng Phet,Amnat Charoen|Bueng Kan|Kalasin|Mukdahan|Sakon Nakhon,1,0.2,332.6744369100367,0.6,0.4
Nakhon Ratchasima,Buri Ram|Si Sa Ket|Khon Kaen|Ubon Ratchathani|Surin,Buri Ram|Chaiyaphum|Khon Kaen|Maha Sarakham|Prachin Buri,2,0.4,185.08367415202673,1.0,0.0
Nakhon Sawan,Phetchabun|Kamphaeng Phet|Phichit|Phitsanulok|Uthai Thani,Chai Nat|Kamphaeng Phet|Phichit|Sing Buri|Uthai Thani,3,0.6,94.02192128971015,1.0,0.0
Nakhon Si Thammarat,Phatthalung|Songkhla|Pattani|Trang|Yala,Krabi|Phatthalung|Songkhla|Surat Thani|Trang,3,0.6,171.28714307042213,1.0,0.0
Nan,Lamphun|Mae Hong Son|Chiang Mai|Lampang|Nong Khai,Chiang Rai|Lampang|Phayao|Phrae|Uttaradit,1,0.2,215.42680982657816,0.8,0.19999999999999996
Narathiwat,Trang|Satun|Pattani|Ranong|Phang-nga,Pattani|Phatthalung|Satun|Songkhla|Yala,2,0.4,316.56592285996817,1.0,0.0
Nong Bua Lam Phu,Udon Thani|Sakon Nakhon|Surin|Khon Kaen|Maha Sarakham,Chaiyaphum|Khon Kaen|Loei|Nong Khai|Udon Thani,2,0.4,155.22259175853569,1.0,0.0
Nong Khai,Nakhon Phanom|Amnat Charoen|Roi Et|Mae Hong Son|Trat,Bueng Kan|Loei|Nong Bua Lam Phu|Sakon Nakhon|Udon Thani,0,0.0,378.993615931146,0.6,0.4
Nonthaburi,Bangkok|Pathum Thani|Saraburi|Samut Prakarn|Samut Sakhon,Bangkok|Nakhon Pathom|Pathum Thani|Samut Prakarn|Samut Sakhon,4,0.8,42.95571496984282,1.0,0.0
Pathum Thani,Samut Prakarn|Nonthaburi|Samut Sakhon|Phetchaburi|Saraburi,Bangkok|Nakhon Nayok|Nonthaburi|Phra Nakhon Si Ayutthaya|Samut Prakarn,2,0.4,68.60007805154827,0.8,0.19999999999999996
Pattani,Yala|Phang-nga|Narathiwat|Trang|Chumphon,Narathiwat|Phatthalung|Satun|Songkhla|Yala,2,0.4,238.84100425246743,1.0,0.0
Phang-nga,Pattani|Narathiwat|Phuket|Krabi|Trang,Krabi|Nakhon Si Thammarat|Phuket|Ranong|Surat Thani,2,0.4,250.02053082296098,1.0,0.0
