project_province,boundary_province_raw,normalized_project_name,normalized_boundary_name,match_status,match_method,candidate_boundary_file,notes
Amnat Charoen,,amnatcharoen,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Ang Thong,,angthong,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Bangkok,,bangkok,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Bueng Kan,,buengkan,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Buri Ram,,buriram,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Chachoengsao,,chachoengsao,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Chai Nat,,chainat,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Chaiyaphum,,chaiyaphum,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Chanthaburi,,chanthaburi,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Chiang Mai,,chiangmai,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Chiang Rai,,chiangrai,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Chon Buri,,chonburi,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Chumphon,,chumphon,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Kalasin,,kalasin,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Kamphaeng Phet,,kamphaengphet,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Kanchanaburi,,kanchanaburi,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Khon Kaen,,khonkaen,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Krabi,,krabi,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Lampang,,lampang,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Lamphun,,lamphun,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Loei,,loei,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Lop Buri,,lopburi,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Mae Hong Son,,maehongson,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Maha Sarakham,,mahasarakham,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Mukdahan,,mukdahan,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Nakhon Nayok,,nakhonnayok,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Nakhon Pathom,,nakhonpathom,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Nakhon Phanom,,nakhonphanom,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Nakhon Ratchasima,,nakhonratchasima,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Nakhon Sawan,,nakhonsawan,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Nakhon Si Thammarat,,nakhonsithammarat,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Nan,,nan,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Narathiwat,,narathiwat,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Nong Bua Lam Phu,,nongbualamphu,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Nong Khai,,nongkhai,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Nonthaburi,,nonthaburi,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Pathum Thani,,pathumthani,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Pattani,,pattani,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Phang-nga,,phangnga,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Phatthalung,,phatthalung,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Phayao,,phayao,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Phetchabun,,phetchabun,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Phetchaburi,,phetchaburi,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Phichit,,phichit,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Phitsanulok,,phitsanulok,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Phra Nakhon Si Ayutthaya,,phranakhonsiayutthaya,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Phrae,,phrae,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Phuket,,phuket,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Prachin Buri,,prachinburi,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Prachuap Khiri Khan,,prachuapkhirikhan,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Ranong,,ranong,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Ratchaburi,,ratchaburi,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Rayong,,rayong,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Roi Et,,roiet,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Sa kaeo,,sakaeo,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Sakon Nakhon,,sakonnakhon,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Samut Prakarn,,samutprakarn,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Samut Sakhon,,samutsakhon,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Samut Songkhram,,samutsongkhram,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Saraburi,,saraburi,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Satun,,satun,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Si Sa Ket,,sisaket,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Sing Buri,,singburi,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Songkhla,,songkhla,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Sukhothai,,sukhothai,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Suphan Buri,,suphanburi,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
Surat Thani,,suratthani,,unmatched_no_local_boundary,none,,No usable local polygon boundary candidate available
