project_province,normalized_project_name,candidate_boundary_file,notes
Amnat Charoen,amnatcharoen,,No usable local polygon boundary candidate available
Ang Thong,angthong,,No usable local polygon boundary candidate available
Bangkok,bangkok,,No usable local polygon boundary candidate available
Bueng Kan,buengkan,,No usable local polygon boundary candidate available
Buri Ram,buriram,,No usable local polygon boundary candidate available
Chachoengsao,chachoengsao,,No usable local polygon boundary candidate available
Chai Nat,chainat,,No usable local polygon boundary candidate available
Chaiyaphum,chaiyaphum,,No usable local polygon boundary candidate available
Chanthaburi,chanthaburi,,No usable local polygon boundary candidate available
Chiang Mai,chiangmai,,No usable local polygon boundary candidate available
Chiang Rai,chiangrai,,No usable local polygon boundary candidate available
Chon Buri,chonburi,,No usable local polygon boundary candidate available
Chumphon,chumphon,,No usable local polygon boundary candidate available
Kalasin,kalasin,,No usable local polygon boundary candidate available
Kamphaeng Phet,kamphaengphet,,No usable local polygon boundary candidate available
Kanchanaburi,kanchanaburi,,No usable local polygon boundary candidate available
Khon Kaen,khonkaen,,No usable local polygon boundary candidate available
Krabi,krabi,,No usable local polygon boundary candidate available
Lampang,lampang,,No usable local polygon boundary candidate available
Lamphun,lamphun,,No usable local polygon boundary candidate available
Loei,loei,,No usable local polygon boundary candidate available
Lop Buri,lopburi,,No usable local polygon boundary candidate available
Mae Hong Son,maehongson,,No usable local polygon boundary candidate available
Maha Sarakham,mahasarakham,,No usable local polygon boundary candidate available
Mukdahan,mukdahan,,No usable local polygon boundary candidate available
Nakhon Nayok,nakhonnayok,,No usable local polygon boundary candidate available
Nakhon Pathom,nakhonpathom,,No usable local polygon boundary candidate available
Nakhon Phanom,nakhonphanom,,No usable local polygon boundary candidate available
Nakhon Ratchasima,nakhonratchasima,,No usable local polygon boundary candidate available
Nakhon Sawan,nakhonsawan,,No usable local polygon boundary candidate available
Nakhon Si Thammarat,nakhonsithammarat,,No usable local polygon boundary candidate available
Nan,nan,,No usable local polygon boundary candidate available
Narathiwat,narathiwat,,No usable local polygon boundary candidate available
Nong Bua Lam Phu,nongbualamphu,,No usable local polygon boundary candidate available
Nong Khai,nongkhai,,No usable local polygon boundary candidate available
Nonthaburi,nonthaburi,,No usable local polygon boundary candidate available
Pathum Thani,pathumthani,,No usable local polygon boundary candidate available
Pattani,pattani,,No usable local polygon boundary candidate available
Phang-nga,phangnga,,No usable local polygon boundary candidate available
Phatthalung,phatthalung,,No usable local polygon boundary candidate available
Phayao,phayao,,No usable local polygon boundary candidate available
Phetchabun,phetchabun,,No usable local polygon boundary candidate available
Phetchaburi,phetchaburi,,No usable local polygon boundary candidate available
Phichit,phichit,,No usable local polygon boundary candidate available
Phitsanulok,phitsanulok,,No usable local polygon boundary candidate available
Phra Nakhon Si Ayutthaya,phranakhonsiayutthaya,,No usable local polygon boundary candidate available
Phrae,phrae,,No usable local polygon boundary candidate available
Phuket,phuket,,No usable local polygon boundary candidate available
Prachin Buri,prachinburi,,No usable local polygon boundary candidate available
Prachuap Khiri Khan,prachuapkhirikhan,,No usable local polygon boundary candidate available
Ranong,ranong,,No usable local polygon boundary candidate available
Ratchaburi,ratchaburi,,No usable local polygon boundary candidate available
Rayong,rayong,,No usable local polygon boundary candidate available
Roi Et,roiet,,No usable local polygon boundary candidate available
Sa kaeo,sakaeo,,No usable local polygon boundary candidate available
Sakon Nakhon,sakonnakhon,,No usable local polygon boundary candidate available
Samut Prakarn,samutprakarn,,No usable local polygon boundary candidate available
Samut Sakhon,samutsakhon,,No usable local polygon boundary candidate available
Samut Songkhram,samutsongkhram,,No usable local polygon boundary candidate available
Saraburi,saraburi,,No usable local polygon boundary candidate available
Satun,satun,,No usable local polygon boundary candidate available
Si Sa Ket,sisaket,,No usable local polygon boundary candidate available
Sing Buri,singburi,,No usable local polygon boundary candidate available
Songkhla,songkhla,,No usable local polygon boundary candidate available
Sukhothai,sukhothai,,No usable local polygon boundary candidate available
Suphan Buri,suphanburi,,No usable local polygon boundary candidate available
Surat Thani,suratthani,,No usable local polygon boundary candidate available
Surin,surin,,No usable local polygon boundary candidate available
Tak,tak,,No usable local polygon boundary candidate available
Trang,trang,,No usable local polygon boundary candidate available
Trat,trat,,No usable local polygon boundary candidate available
Ubon Ratchathani,ubonratchathani,,No usable local polygon boundary candidate available
Udon Thani,udonthani,,No usable local polygon boundary candidate available
Uthai Thani,uthaithani,,No usable local polygon boundary candidate available
Uttaradit,uttaradit,,No usable local polygon boundary candidate available
Yala,yala,,No usable local polygon boundary candidate available
Yasothon,yasothon,,No usable local polygon boundary candidate available
