province,Amnat Charoen,Ang Thong,Bangkok,Bueng Kan,Buri Ram,Chachoengsao,Chai Nat,Chaiyaphum,Chanthaburi,Chiang Mai,Chiang Rai,Chon Buri,Chumphon,Kalasin,Kamphaeng Phet,Kanchanaburi,Khon Kaen,Krabi,Lampang,Lamphun,Loei,Lop Buri,Mae Hong Son,Maha Sarakham,Mukdahan,Nakhon Nayok,Nakhon Pathom,Nakhon Phanom,Nakhon Ratchasima,Nakhon Sawan,Nakhon Si Thammarat,Nan,Narathiwat,Nong Bua Lam Phu,Nong Khai,Nonthaburi,Pathum Thani,Pattani,Phang-nga,Phatthalung,Phayao,Phetchabun,Phetchaburi,Phichit,Phitsanulok,Phra Nakhon Si Ayutthaya,Phrae,Phuket,Prachin Buri,Prachuap Khiri Khan,Ranong,Ratchaburi,Rayong,Roi Et,Sa kaeo,Sakon Nakhon,Samut Prakarn,Samut Sakhon,Samut Songkhram,Saraburi,Satun,Si Sa Ket,Sing Buri,Songkhla,Sukhothai,Suphan Buri,Surat Thani,Surin,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uthai Thani,Uttaradit,Yala,Yasothon
Amnat Charoen,1.0,0.25461994014434397,0.2801719439796904,0.43380133289355455,0.5162052561601432,0.23710579283149316,0.35670978966797856,0.4747404027850234,0.3765905322744612,0.4447805745494774,0.41238352748371043,0.24933279995209837,0.3601831073852395,0.5189646292193885,0.5205922743731127,0.37805818096821836,0.5439226167970921,0.4271269328901405,0.34232759853624584,0.49239863955250396,0.43205665761096934,0.38714118916026874,0.5108449783179154,0.5259591263403263,0.35491136855292216,0.4831405962887209,0.17023564220296336,0.769626893502111,0.4790417465340494,0.4543401047601306,0.20544862326968427,0.42930210514123135,0.4391866944889641,0.4797167928167897,0.7234841694285273,0.2947945767624808,0.3595567398698869,0.38898318340044824,0.4189476381663518,0.3270497209565869,0.4296526905535862,0.5071880935620481,0.3393376300689316,0.3095670731615257,0.33185532733567913,0.17178180899427734,0.3183550306525326,0.4035263779355631,0.36435768103838956,0.3338260719655226,0.47296426467996,0.23823478873079032,0.3117842201312947,0.6751017617329954,0.4034467109538754,0.4627676850039088,0.35148964785635745,0.3893202484105977,0.37821886880745653,0.2976328011248026,0.46570597139313874,0.5256764587071965,0.2919452730971952,0.1958497489196188,0.3146626185009255,0.170694145758243,0.40681595954756045,0.5065159807014075,0.32559803503174606,0.44741578993328696,0.5884569035009166,0.5238428338116897,0.5405024379896021,0.2578005939781473,0.3772877969116338,0.3195344373775787,0.49949825441442003
Ang Thong,0.25461994014434397,1.0,0.6424409321407153,0.19647022396137742,0.17198628431503732,0.4266698642598962,0.6014743656961681,0.28324593009706767,0.26476592192887305,0.43537683712865377,0.21936698785765252,0.43613420072730863,0.45320775185405937,0.24432185484877073,0.407558681044921,0.6003923754759709,0.17288387870932095,0.38510528829325896,0.3538160087460783,0.439607082043432,0.3128662972885921,0.507986135207155,0.4479414679448437,0.1593678758777951,0.3406325359189359,0.4916836672070966,0.634933127162345,0.2586917991301274,0.20938808866665096,0.3932234644564517,0.294890322265217,0.3583258981279464,0.407462493354363,0.19226416019960121,0.299757185304076,0.6522474687583844,0.6985505764292628,0.4493174510169858,0.42672547989885073,0.35856988670975143,0.1706464546435286,0.4357242363686533,0.6023610309473257,0.4455722369999913,0.42499646481249354,0.6138338249290928,0.3338894080211774,0.4818068889235715,0.2298777599453467,0.5762649111934852,0.3716094183525642,0.4904531311103288,0.40595949769728445,0.30062604060331666,0.2514121799645593,0.19140686672229323,0.6392942992703365,0.6238141468471599,0.5307797994747835,0.6812897584827803,0.40023189734268494,0.15672558981278478,0.6033360416162585,0.30046977186762824,0.38440926271246956,0.54338805785845,0.39721850276776693,0.16130736479941976,0.2543565187598236,0.3963997577533907,0.3076713960944846,0.14636921680913,0.19810640058544376,0.39864478403532877,0.3780308218073156,0.46190064431862377,0.23625710085199852
Bangkok,0.2801719439796904,0.6424409321407153,1.0,0.20378941022578484,0.12289094723768837,0.4408763377787066,0.5426303160942878,0.25616293666155715,0.304988637045639,0.39370484735733263,0.14626517004309314,0.42754621587812497,0.49998330955893744,0.26069218123524057,0.3631234414690756,0.5673287490096186,0.142508499796828,0.4146064849736619,0.28810403634848936,0.4085015095043335,0.2976989995233328,0.5075181654562503,0.44659227284599146,0.14830518996153563,0.33411932851608206,0.537789822645177,0.6128832281731297,0.27999736474688747,0.12787964302520866,0.3748500501124282,0.2960822543234623,0.31624611011256565,0.45273991146652626,0.1934780529075827,0.3205857054827154,0.7750345262984419,0.6967738193609037,0.49694419478176943,0.4895382478925807,0.37354928640333124,0.14257344723617082,0.42003559364407084,0.6099953704535744,0.46864926274580465,0.42104718302591243,0.5814662243713568,0.31326418545127777,0.5357701989426159,0.25353649261495376,0.5986395150236951,0.4164836013798444,0.44961397220198257,0.4259588073471054,0.31164087946311614,0.2429208319699703,0.1700897279096612,0.6834140396967062,0.7059832312483957,0.5824972762453183,0.6921192523453119,0.42056402759405476,0.13200916609082344,0.6646589151367743,0.2948310811199166,0.37331001262009605,0.5383266723071723,0.4324930792412359,0.14702134707646625,0.24693282352248908,0.42629171446405345,0.36917202457605847,0.11746274595238561,0.18726862414865797,0.3593753767897479,0.3382102430241321,0.4888779060719538,0.2340312780720777
Bueng Kan,0.43380133289355455,0.19647022396137742,0.20378941022578484,1.0,0.4068395573437126,0.3111122714076779,0.25393839444706606,0.4264877323098438,0.3631829853615184,0.3366394694505681,0.34602727036191416,0.3053213220153631,0.17381151672274342,0.44449389487661295,0.3779195882384851,0.23736119584201515,0.45481366258798844,0.17617908851834066,0.41181854614762514,0.3515004740087244,0.48452593886837825,0.3565655938033733,0.33379643300008444,0.5105719759068776,0.48763365663846214,0.3115555046575847,0.2086300582715529,0.45631738415668,0.406975747651731,0.3732620018377849,0.23729570207737558,0.38361455734623784,0.19788418328754812,0.5426063936654337,0.47418191764449763,0.22057765146316324,0.1837571543843867,0.18517670556517563,0.19234002350311893,0.18231962616553885,0.3619659960436505,0.4000419772683357,0.18709979444118666,0.3221065875950905,0.3413898993866705,0.23875266309926488,0.43398100617012514,0.22247529796150375,0.45042773470840547,0.20812278124930536,0.26287706961977897,0.2401586163415215,0.29257636223101874,0.4299930436538841,0.4217907856715314,0.5107730169853324,0.1978963371189523,0.19136803455614967,0.24553218258867196,0.20156836011510718,0.2245900774707472,0.43489696892829355,0.28832220825903393,0.24712323815458703,0.33045773548125823,0.2545318172083554,0.18501819318441623,0.4652469281823966,0.4048385251067876,0.2199500043900774,0.32236497765601985,0.4548411729788316,0.4859677869803876,0.41684745069006424,0.3662021146716061,0.18603955435181838,0.478172163457794
Buri Ram,0.5162052561601432,0.17198628431503732,0.12289094723768837,0.4068395573437126,1.0,0.26728357991380436,0.15984720169448927,0.5054678895495863,0.3715164022187348,0.3252293517547543,0.5298342329409184,0.26751280634165003,0.15242782557029855,0.4807678989871161,0.3331578008690376,0.17991963104480957,0.6429347882393663,0.22819142892978883,0.43899731113580376,0.3355225461524669,0.3834511914201827,0.2489339013438181,0.30977467146373666,0.5908996325952437,0.34746180464019927,0.23509709752887686,0.1865657136112893,0.4823220561067651,0.6596835731042342,0.31939355037478967,0.26876762173601954,0.4103969543247449,0.20874990366751306,0.5094955752735085,0.46410697713793686,0.13102991756754975,0.14215005589973523,0.1677147506366553,0.17864238619385836,0.24122253599091054,0.5299491912312456,0.2910215681711373,0.1259975851016446,0.2512031835287187,0.2810774239670881,0.16466818733537536,0.4042593044108521,0.1626075052842379,0.3600766305093994,0.11851077057258987,0.23229966094014576,0.24923603422418122,0.2528045140072575,0.4477498189652312,0.4148947670502141,0.5162511642830001,0.1253345884200904,0.150910289412785,0.15032498799652821,0.1328373644947593,0.24584628795618668,0.6512065684989916,0.14585020976734522,0.2742782224295922,0.30365864924753544,0.21387345846691644,0.20540344787413178,0.597519782201473,0.375674207850355,0.23387915078303972,0.33810042452261685,0.6192433042161773,0.58413096598569,0.29334777251483074,0.3888189309770239,0.16657706031175762,0.48810318840090494
Chachoengsao,0.23710579283149316,0.4266698642598962,0.4408763377787066,0.3111122714076779,0.26728357991380436,1.0,0.3114876794983267,0.33988177971415,0.42678484011729273,0.35673861896966796,0.23722036369218152,0.6585275157166975,0.27278483561472144,0.35542468771713503,0.3499235972468443,0.3581654612014008,0.2961492025100956,0.18571728522187717,0.4155549533807359,0.3371409270352744,0.31392381901085864,0.2771054635270924,0.36733116730544113,0.32564725803958416,0.4395213799351356,0.541580115256044,0.4799256967252014,0.2512242183490522,0.31817185788603947,0.3278736929472857,0.2611669294602417,0.2602289736287077,0.20291576639230363,0.3382130367997034,0.24521094586661893,0.3943127461477056,0.39952449831364245,0.2746457612978786,0.27324960911026674,0.19263447649666235,0.23748896842202039,0.3601100552362255,0.40893133390220804,0.4732858305487819,0.45257957750389066,0.43508626959835095,0.37327035962507227,0.2850841794302221,0.4481042663184527,0.37046931275970263,0.1761013996655586,0.2892463309865251,0.539556084448257,0.32986218166013814,0.36121609779328856,0.3362527260934188,0.4308031509901601,0.39654017662535823,0.2671767362301022,0.4102040569753074,0.17253551373159653,0.2920316488041071,0.3511509410783986,0.26509929998058573,0.47215752773927594,0.39313554846381926,0.20508148132128184,0.3026884759676148,0.4061246022953743,0.19851650040992333,0.3117514104241963,0.28836763641256,0.31416135218998426,0.40614940568619884,0.4293825842722018,0.2777405642952781,0.34164490441399653
Chai Nat,0.35670978966797856,0.6014743656961681,0.5426303160942878,0.25393839444706606,0.15984720169448927,0.3114876794983267,1.0,0.31821523695634024,0.2611439262491452,0.42322804942089,0.23221309659651446,0.3226158477636567,0.5607492719094627,0.2819562231691166,0.5650404462714854,0.6477823962876023,0.1905363535321701,0.5195459892143931,0.28796839759471576,0.44347466869366414,0.37399536221547514,0.5777001982703481,0.5021458742578346,0.1423077919261611,0.28281019379614775,0.5270240945949634,0.48110077730310574,0.3791375116092184,0.17677919076708482,0.5211078278792903,0.3313031197154882,0.413150600176869,0.5275795395542575,0.23747725842319412,0.4159105718582234,0.555928284617796,0.6711142629532456,0.5630842946808471,0.5360611698210278,0.4149250246882835,0.1988007284506711,0.5381598552156671,0.6688545640792215,0.4199880482321932,0.42275384312385844,0.4927452481499862,0.2824064404612215,0.5440700472731935,0.31595265504595965,0.6844651451885606,0.5113669511680925,0.552902837442253,0.3497099875397272,0.40382006748827265,0.2924904979720755,0.22718036150776194,0.6413450283044939,0.5988036594757112,0.6821036005674832,0.6112702504287953,0.5216178806569272,0.15538407863112505,0.7236782415981018,0.30286246908269876,0.3570380832522472,0.5813949063111957,0.5307753746363323,0.1815127093928091,0.2401071115400922,0.5333086927438269,0.4018876952609406,0.14075736181940046,0.24187443278157178,0.42827977311337195,0.3407514217568423,0.4921330071957557,0.24750025763949488
Chaiyaphum,0.4747404027850234,0.28324593009706767,0.25616293666155715,0.4264877323098438,0.5054678895495863,0.33988177971415,0.31821523695634024,1.0,0.30947215359371705,0.44773377639409123,0.3675483087390995,0.35718310572189477,0.20777817244303476,0.5889066295039491,0.4903478977685511,0.3516377067477623,0.5424059965129584,0.19393041248176612,0.4195485246432428,0.4553109370584061,0.36212006761271437,0.4154478489971442,0.4647674319348195,0.46046991413599236,0.3974109526728153,0.4018773772645833,0.2219804335866724,0.47517989891799167,0.4847587884673603,0.4622856791323978,0.16194363235853426,0.48244904256076876,0.19045390925226585,0.4652633282738125,0.4747615377645646,0.2544471868668293,0.28160741914885457,0.23278649200412532,0.22961273513564656,0.19824156606642698,0.38952403797629487,0.45417401466966134,0.3101548011781364,0.4101443356145559,0.41705716564320217,0.2598908990057763,0.33470830071140545,0.24389965812835238,0.3205936420023841,0.2718868462242028,0.20131266716078106,0.27423644737584624,0.3890169509062629,0.5540743502874337,0.3585848745761676,0.4978849346142134,0.3090129014714034,0.2857602555052308,0.2210115281047588,0.2822877850854929,0.21320519280205236,0.45291291239911613,0.32852404475168173,0.1390648040271262,0.41088270885512224,0.3669456065775052,0.19540331586547402,0.5144730324309497,0.37460362764555843,0.23718790248374083,0.3373427943451896,0.4180264727588697,0.5648153274512283,0.4125840061372562,0.4276664205120788,0.22049463245482004,0.6239762426888439
Chanthaburi,0.3765905322744612,0.2647659219288731,0.304988637045639,0.3631829853615184,0.3715164022187348,0.42678484011729273,0.2611439262491452,0.30947215359371705,1.0,0.26487639626369464,0.307082196086097,0.4188121578340045,0.306057717667402,0.3009278150719696,0.32305084844158205,0.2862309506154129,0.3735877184234485,0.3104995356109629,0.30799023275998516,0.27500215216524626,0.3837420832537538,0.3231764449933961,0.2850225566819541,0.3694714089291554,0.33791190374874325,0.45778451297277545,0.3000147615351486,0.3501379076971072,0.3593191055707402,0.3022626164693719,0.34878276941255804,0.258536566069443,0.3144546136032774,0.41168590475722455,0.3418872312112202,0.3040301811296434,0.29406900934593116,0.30872254970620683,0.3314158829622215,0.30061013857033964,0.37952824482691344,0.303959483934815,0.2880750514894766,0.2731754695455152,0.3445600426011528,0.2733544540560784,0.31538524755779196,0.29227200028526895,0.5325499341991571,0.3135344847421595,0.31807288656131066,0.3359984306027985,0.3973393091751696,0.329710685381512,0.6089415667758465,0.3223407988655752,0.28491302591254963,0.3386647193671196,0.34068315024523427,0.2912306928920011,0.31442126264529635,0.380721834857383,0.27723984836846943,0.3130683836350412,0.3384246873525132,0.23243885675176185,0.3173083887026249,0.37265362793758217,0.30250537847206693,0.3310912818089219,0.5635225945583164,0.3594814819562695,0.33929478110999844,0.26524935911132796,0.3547514454170578,0.30408885853485934,0.3265038781065631
Chiang Mai,0.4447805745494774,0.43537683712865377,0.39370484735733263,0.3366394694505681,0.3252293517547543,0.35673861896966796,0.42322804942089,0.44773377639409123,0.26487639626369464,1.0,0.35419034402355387,0.34220070435129235,0.3203035825580046,0.42790425169048707,0.5792251643759571,0.45845934034032704,0.3543162461869908,0.30184807597125496,0.5348902861561875,0.7229244222297686,0.42625878812606105,0.3603961956526699,0.707208388521524,0.2998840579463126,0.4932691331836412,0.4569810058426964,0.2897692171703882,0.47473962370600714,0.35393845992261325,0.4329156825295002,0.23186867003869033,0.5491112193713684,0.32202424698721466,0.3618458592533628,0.5053251367148692,0.40418069279315694,0.43510166724719557,0.3629305435218534,0.32643160555075457,0.28591803382686,0.3476835515191672,0.5027251998246187,0.4088340787651929,0.42716820287745016,0.42486493326655217,0.3080337001819117,0.382759941694868,0.36054043233577115,0.2806330441259882,0.39208123116784865,0.3081559190032642,0.25856765166479895,0.4773500774724064,0.5047505560985033,0.29300715171761366,0.3873684831477936,0.4390824992099168,0.390478408737015,0.3362610773674214,0.4019057630313325,0.3207606960730876,0.3376633483666947,0.4083936177439134,0.12991975462990213,0.4383245005078729,0.3147486274233276,0.28891237660998864,0.33387553092025346,0.37923937411725317,0.35056914858379185,0.3748148147750695,0.3073166054620263,0.38505856287061313,0.3454357364683641,0.4443690151976737,0.3430081542792094,0.4158027616490707
