province,Amnat Charoen,Ang Thong,Bangkok,Bueng Kan,Buri Ram,Chachoengsao,Chai Nat,Chaiyaphum,Chanthaburi,Chiang Mai,Chiang Rai,Chon Buri,Chumphon,Kalasin,Kamphaeng Phet,Kanchanaburi,Khon Kaen,Krabi,Lampang,Lamphun,Loei,Lop Buri,Mae Hong Son,Maha Sarakham,Mukdahan,Nakhon Nayok,Nakhon Pathom,Nakhon Phanom,Nakhon Ratchasima,Nakhon Sawan,Nakhon Si Thammarat,Nan,Narathiwat,Nong Bua Lam Phu,Nong Khai,Nonthaburi,Pathum Thani,Pattani,Phang-nga,Phatthalung,Phayao,Phetchabun,Phetchaburi,Phichit,Phitsanulok,Phra Nakhon Si Ayutthaya,Phrae,Phuket,Prachin Buri,Prachuap Khiri Khan,Ranong,Ratchaburi,Rayong,Roi Et,Sa kaeo,Sakon Nakhon,Samut Prakarn,Samut Sakhon,Samut Songkhram,Saraburi,Satun,Si Sa Ket,Sing Buri,Songkhla,Sukhothai,Suphan Buri,Surat Thani,Surin,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uthai Thani,Uttaradit,Yala,Yasothon
Amnat Charoen,1.0,0.12830207182444825,0.1571847413796067,0.5423689868130501,0.560295857861784,0.16071746075202556,0.17168312309443914,0.5130379969347492,0.5055160235332362,0.19381402210901877,0.47058518023527984,0.18668408330540184,0.13057051357053368,0.49745895968050513,0.3287264594446932,0.2693168216722089,0.5872089386032083,0.28644585011633683,0.22222805666742235,0.2031784566694235,0.28320238021171473,0.6081765773415161,0.18542350837308258,0.6276490533926559,0.2519971731151659,0.19106430423208037,0.10638859771439763,0.6712757954565924,0.5020398347781958,0.4266519899499672,0.18167834415454542,0.2360102269370369,0.2613938329172334,0.5094063502034323,0.5441535946256947,0.1757843589523817,0.15085911658055792,0.16550628612351387,0.2573961112442261,0.22403259944767112,0.5376167035356828,0.37383293285692043,0.15032780922271177,0.2160230208818238,0.27235737358302675,0.16875194131328286,0.2799136622682569,0.2545807370377068,0.49825202109425903,0.12590176350263527,0.39343204087880584,0.24315038196724664,0.166635151409672,0.4952278129847866,0.6154446914708753,0.5018884996711092,0.16314709134457056,0.25371338226046064,0.2338689842944756,0.15138846837652267,0.35834599825959634,0.5401344074053819,0.2595677289429045,0.24388213962931782,0.210973836987651,0.1428998004969248,0.23536925388123747,0.5192259357578638,0.41069623892482976,0.28657107512725627,0.5031186977357479,0.5280486328015608,0.5074037486677148,0.25481886212406224,0.3226236594205648,0.16375508718934512,0.5287906243957738
Ang Thong,0.12830207182444825,1.0,0.6842337940911105,0.2891610550966646,0.11319407598231783,0.6083444468099373,0.5125989842180815,0.27449662005992526,0.1738542350714543,0.669259453226776,0.183590917532016,0.5294663111518934,0.40798449803343495,0.27973230064300275,0.41394783875629826,0.575373594394044,0.16467610098596625,0.21162022035348854,0.691008901908283,0.6770265326675704,0.47497916237765014,0.23945553922164564,0.6749622414407861,0.15051795012505803,0.630454841880046,0.5301295668795416,0.7295060784549887,0.17682196472513523,0.17005067216813366,0.2744712484888362,0.34601438770694404,0.562368859904846,0.3026151930801084,0.26503948104056746,0.30596771684129614,0.636808990786788,0.6534934430477679,0.41862444634462315,0.33473315325588626,0.2771987320351207,0.14679599414435884,0.41250216722584365,0.5349636673920458,0.5061459916914929,0.4309191889573357,0.5917171437492109,0.5658893171466053,0.43934150850472653,0.17695435091443137,0.6007648922531793,0.21668713150205066,0.3299240911772061,0.5819880666691459,0.20003703673132944,0.10242659410058053,0.26501159766085,0.5854772346041562,0.5015789990550329,0.40812264516937447,0.6457692726077668,0.24458769252149049,0.1485031622065312,0.5111526965035373,0.28424661469139584,0.5065491191388998,0.6064216260409886,0.2610357190479624,0.13959960145146555,0.37674843093249405,0.29391145211561337,0.1680922204539376,0.12626743381672773,0.24745715544336083,0.5172338560485961,0.4367977756119521,0.42346809438187816,0.24596534361897143
Bangkok,0.1571847413796067,0.6842337940911105,1.0,0.280536620664637,0.10530450737050939,0.5983115883821681,0.44862523288785294,0.271444111752818,0.25130499969623804,0.5730430744478628,0.10582809848633447,0.5660276198568912,0.4485141418201233,0.30944287430089645,0.2762121990698811,0.49573490295564693,0.14039503599415004,0.2402436624829905,0.6113516668250275,0.6007026193064373,0.47780351532579046,0.23966026628298398,0.7226888698319937,0.14007195802619166,0.560897705369241,0.5732762486313874,0.6922896066141722,0.1559541009133061,0.11838317681111693,0.17020851252891694,0.3076822906558572,0.5190223373216176,0.35603262131331853,0.33395886455910606,0.3159234838244315,0.7707426057388496,0.7796797631399318,0.49821095061519843,0.4380034126788682,0.2639186865760481,0.12324196017749828,0.2972132419574501,0.5770706006538171,0.41957153107206296,0.39883910505068565,0.5912222150409074,0.5479716354657918,0.5497301592101633,0.1456758441504319,0.618274547176147,0.2250917078634575,0.28439919472884256,0.6095795970159229,0.19821333631921093,0.12388044422748151,0.25362482702835537,0.680066983927098,0.6037449086965039,0.430046192112142,0.6359351499652901,0.2657765673185527,0.12456497793845595,0.5365969088365571,0.2590732212440465,0.4121097799574283,0.4923285121499594,0.2790221366738981,0.1558123582028284,0.3148858450566714,0.3535920133515652,0.20973364638412634,0.10493454730687218,0.25355445765480494,0.3779801591207487,0.3813382338099437,0.4985115625155806,0.2925869274587929
Bueng Kan,0.5423689868130501,0.2891610550966646,0.280536620664637,1.0,0.3726759445050556,0.2175726754267748,0.3334239642899478,0.4189939824637799,0.3566679077022683,0.34230916666974276,0.4536500752785095,0.22710667390891082,0.13853858730203972,0.45106017944908694,0.4241532593386616,0.3242603959796148,0.47180555153549125,0.23594734095799802,0.4191593340953163,0.37696924068296617,0.48308297610671214,0.6440535602827763,0.28796043091052126,0.47059321915176855,0.36602521690048906,0.2777591836746014,0.24709247121345845,0.6046751374148523,0.3656015089538768,0.38277071599391554,0.19813799165520019,0.44872665291993097,0.2877224558831446,0.5887325299521342,0.7132802893812201,0.3144540801943777,0.281720902520957,0.19580067867823536,0.2399872656948589,0.21903825043869865,0.4374735741552924,0.4704932253415486,0.21804474278130137,0.21226381912617814,0.27797048303146327,0.2648618320479872,0.5015887869368132,0.34350245074412655,0.5350188368399607,0.2355717961746846,0.4480608862557288,0.304425948217913,0.22488575618357434,0.3310139678804248,0.4328780761580579,0.47137687938470063,0.2339180014907834,0.23422548809944055,0.3373246923080636,0.31051593476509415,0.4154195684617355,0.3854620494224474,0.4725275868152997,0.2631854848682291,0.22172524520031062,0.23662184607769726,0.20882718305900086,0.3207832250987587,0.4348167441683367,0.3251261708753807,0.3621673607927272,0.3903139282567826,0.49894415658147545,0.43268983627811514,0.3751922986153721,0.19642355988837853,0.3843522714334348
Buri Ram,0.560295857861784,0.11319407598231783,0.10530450737050939,0.3726759445050556,1.0,0.16968054248066083,0.14679630115915865,0.4891059203121659,0.40852614233111206,0.18559572441996552,0.48187356837553763,0.16083413388500784,0.14733287217445012,0.44348823171076746,0.3476189284906703,0.2724198895387932,0.5870930824327834,0.2884435548803359,0.16407432605780692,0.16303914404875924,0.18670651586230988,0.45059083097069813,0.15556908685183124,0.6065178885338176,0.23303603310555043,0.1324682629083264,0.08157109071675503,0.5412795006664257,0.6218869024968837,0.4956268008892664,0.22128882625021995,0.16327524545994593,0.217824454832371,0.3312813097878678,0.3740129147776283,0.11138812110110782,0.09869328365895286,0.139399785361297,0.18926153937816736,0.24849031771664046,0.5201513334515422,0.3590453256036342,0.12332043691478584,0.3014066216437415,0.28840239017093566,0.15341181638445495,0.1750488003453341,0.159141183594797,0.39842236756655464,0.07994282148221674,0.31621264196950283,0.23040215452185406,0.15026962739080077,0.5653403696343943,0.5607804170505077,0.4827106534579104,0.12782062280810058,0.21280928809468086,0.1717341659833062,0.09006851695093916,0.2825405382994532,0.7018327887353639,0.11931102581947872,0.25051492259802277,0.27450552498491726,0.21083064266100662,0.24505438870486235,0.6222890797256773,0.3759662123830454,0.22116932996663513,0.44466278228500494,0.647015333894949,0.45253873335648687,0.23582050653028847,0.28462335505762626,0.1420172690630798,0.4725019121209527
Chachoengsao,0.16071746075202556,0.6083444468099373,0.5983115883821681,0.2175726754267748,0.16968054248066083,1.0,0.42160357665020126,0.40119470340185215,0.22376901708149255,0.5417415898709418,0.14016268508889174,0.6780240616906028,0.3779910508574178,0.38605430207025937,0.372913244961825,0.5510687451611016,0.22100595011644736,0.16815801388760218,0.544335077068921,0.49853264455789487,0.3012736057371423,0.2513807013304175,0.5819983539763515,0.21956694692786044,0.5556110342695575,0.6228469721071129,0.6204566489701723,0.16341088078430815,0.2229192723908481,0.29609064821447556,0.2739355391808229,0.3512243521766624,0.21968041622155315,0.28069947148458435,0.21024811825502515,0.524658530341517,0.5603626948146914,0.3867050788266929,0.3682955181853252,0.21139561085093006,0.1266087681088561,0.40704840037711043,0.6294402011163834,0.5962308592607553,0.5900943702216125,0.6331185469297802,0.3750423244831844,0.3689021101330816,0.14171144003348368,0.5649543430020195,0.10232349468523455,0.25869629226482604,0.6771636784100721,0.32862797361188667,0.130130050104456,0.29471972310553385,0.6150221963567623,0.5561886626299302,0.26450401138622615,0.6163830187323124,0.13129574087426912,0.1905793666219365,0.43064241139079784,0.20795118391231038,0.5885623858853808,0.524845613805331,0.2204211120234624,0.23855804440639405,0.40075329866257814,0.21014872652158517,0.16058271826402704,0.177320028240917,0.28817985754314124,0.39427356267238395,0.5359178740750519,0.3740549956262078,0.3878915667109176
Chai Nat,0.17168312309443914,0.5125989842180815,0.44862523288785294,0.3334239642899478,0.14679630115915865,0.42160357665020126,1.0,0.225598072272237,0.2166928634509722,0.4033028608483038,0.2809671985391589,0.3758018946988146,0.4656845438963394,0.32326953668361924,0.4359146935097734,0.3288258939799676,0.23421674805576026,0.3743271770368536,0.4904198463411724,0.41254495494272875,0.5724907012209621,0.28615482879378246,0.3799594019347922,0.19331471893844762,0.35283270997157534,0.5049946631975188,0.5803180711613859,0.2303149464465205,0.16929879665693015,0.3697205068849045,0.4923751926992277,0.5341056850835846,0.4384378606714015,0.3926789436427348,0.34762265657811375,0.4420843479750393,0.5004080223895849,0.46633077513806304,0.4330924558416737,0.44956053979275334,0.17710469780976393,0.38576159730666104,0.4503442328070352,0.38987333850676414,0.4193670386036951,0.5683732910098999,0.4800669347093087,0.3967538977258956,0.3863105196708674,0.5719260553320168,0.3760307741978066,0.5800327472808403,0.3680625694696531,0.17244742289682474,0.13578532481599823,0.3375857254683524,0.3828537138991303,0.27898981281380375,0.5124869874441097,0.5904901226695243,0.41179301442134597,0.1635932944505384,0.6230250363007594,0.4831547516740576,0.4081311268875416,0.6140997096782709,0.4316577901948685,0.16966677871610641,0.2461999739419634,0.43940061902316424,0.18968679885038253,0.19081471171083272,0.3754376930873631,0.5132347277142469,0.42062078611659043,0.4527498424570486,0.2075396025118592
Chaiyaphum,0.5130379969347492,0.27449662005992526,0.271444111752818,0.4189939824637799,0.4891059203121659,0.40119470340185215,0.225598072272237,1.0,0.3550799376400723,0.32896638967343,0.3498622046578602,0.39586002902677037,0.12236431189502776,0.6413522517098049,0.4204088459724513,0.42674530702354413,0.5807392436367181,0.12586828584490511,0.3447707289001485,0.2774603226552669,0.1889602619092513,0.5356582835369341,0.302577877227091,0.5977201778767507,0.4035403401376355,0.3723725585315379,0.2520448044916167,0.5029772290174533,0.5071749703799558,0.5063863140221134,0.11512927852053163,0.17225222711537805,0.10673702113074456,0.44271258046345885,0.3951309170954662,0.2395157299453711,0.24375186288457273,0.14585930402095704,0.22659283192754065,0.10782153363411326,0.3565860857314398,0.5006344538726477,0.34096830525179345,0.4642006429470905,0.5399416236470619,0.37954365997837336,0.23195637229436553,0.1996200809910359,0.3310069920737708,0.22887538713599914,0.15904873459184665,0.16447921988768213,0.363157339501311,0.622259459892149,0.4136601211509865,0.558387035891285,0.31036725993296493,0.3500519985306534,0.09025424029109892,0.3134294785994812,0.1365603103568776,0.5062505916162543,0.2768244942515023,0.12014554278373024,0.43941019525045755,0.3012597125545396,0.11765163547697649,0.5333017207779972,0.4835282659890652,0.11949735274634277,0.29979737237865056,0.49810363451574113,0.5499215554199537,0.30475676036814486,0.5351661497631501,0.1298019431592513,0.6906951588407896
Chanthaburi,0.5055160235332362,0.1738542350714543,0.25130499969623804,0.3566679077022683,0.40852614233111206,0.22376901708149255,0.21669286345097222,0.3550799376400723,1.0,0.15490449656644523,0.3472978585725239,0.2832633071628766,0.34488604550527713,0.3311296453916104,0.2072422241997775,0.28001691242294235,0.34011636850946025,0.4482477510012016,0.18795697913308448,0.19047645792981469,0.2631203066120532,0.47415841540121684,0.23754593791856526,0.38498457681053605,0.19638567057320092,0.2878756235257656,0.22299918207926464,0.38732133610698033,0.3447380977046044,0.25922804731354,0.34914702646372436,0.2375753469048753,0.4116593720401589,0.4411817632499332,0.394221241112259,0.24707824931154093,0.2415716561319894,0.3561883918588478,0.47820301264912785,0.38097334482493833,0.4693589502610433,0.2402705947334871,0.251369742446202,0.19370707145702837,0.2439362179572831,0.2025953034478299,0.25053296828586086,0.3425112688763836,0.4626205218013089,0.3196289150835753,0.41273764359684745,0.3783249230316693,0.25428716114831124,0.35240457672802733,0.5475930895752893,0.26490246028918235,0.26221392850338854,0.4078233343140632,0.3806612980572288,0.2316839114297643,0.42121095445116796,0.35625864296206877,0.2924928504927635,0.38873619218574096,0.2351901343306635,0.1374753437162797,0.42063296977802916,0.39466773225310814,0.35915234069009916,0.42369850065503295,0.6597125647722927,0.33764705718559473,0.29480666328896743,0.2082074512803982,0.3081660202822492,0.3517679741382177,0.45733432526301177
Chiang Mai,0.19381402210901877,0.669259453226776,0.5730430744478628,0.34230916666974276,0.18559572441996552,0.5417415898709418,0.4033028608483038,0.32896638967343,0.15490449656644523,1.0,0.2472641379419951,0.4714706982704226,0.2959559855887101,0.2961374483520891,0.46239189178653634,0.6062663223142367,0.23461218347841184,0.14748823042732465,0.6586290767870939,0.7363169239182251,0.4240274036762291,0.2905770708407538,0.6400358660973577,0.22444894641786794,0.7362862791459204,0.4239315365252717,0.5585226265263274,0.26150927214744896,0.25568539230739623,0.32772952991531334,0.26942003945880033,0.5269122320067463,0.22058174808678527,0.24488029570800385,0.35006533039261,0.5521663028237579,0.5302214335326064,0.30319832981543104,0.22113383546349374,0.20680973857779048,0.21220783847843364,0.47069662918256905,0.4472446977670886,0.5098574927621908,0.402137779495523,0.4843341057948294,0.5483345394196975,0.37079185147578747,0.18310499708654804,0.45382764480379534,0.2012513190594859,0.2475901461042609,0.5396343344249294,0.25724633501074146,0.15876154422017896,0.3094656101565198,0.5202406947247762,0.4523675098779585,0.3237078898321216,0.5165424190492498,0.20704177068263152,0.23103378897207885,0.41752369911538156,0.21547059018168052,0.49637617348526253,0.5341823092377078,0.17702627941441013,0.18832035143343467,0.4419486764710932,0.21473333186531463,0.17992637361965041,0.1968548439024735,0.26954229266090246,0.5300655306775737,0.4251077594625548,0.31545897418914526,0.2737905363909261
