province,Amnat Charoen,Ang Thong,Bangkok,Bueng Kan,Buri Ram,Chachoengsao,Chai Nat,Chaiyaphum,Chanthaburi,Chiang Mai,Chiang Rai,Chon Buri,Chumphon,Kalasin,Kamphaeng Phet,Kanchanaburi,Khon Kaen,Krabi,Lampang,Lamphun,Loei,Lop Buri,Mae Hong Son,Maha Sarakham,Mukdahan,Nakhon Nayok,Nakhon Pathom,Nakhon Phanom,Nakhon Ratchasima,Nakhon Sawan,Nakhon Si Thammarat,Nan,Narathiwat,Nong Bua Lam Phu,Nong Khai,Nonthaburi,Pathum Thani,Pattani,Phang-nga,Phatthalung,Phayao,Phetchabun,Phetchaburi,Phichit,Phitsanulok,Phra Nakhon Si Ayutthaya,Phrae,Phuket,Prachin Buri,Prachuap Khiri Khan,Ranong,Ratchaburi,Rayong,Roi Et,Sa kaeo,Sakon Nakhon,Samut Prakarn,Samut Sakhon,Samut Songkhram,Saraburi,Satun,Si Sa Ket,Sing Buri,Songkhla,Sukhothai,Suphan Buri,Surat Thani,Surin,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uthai Thani,Uttaradit,Yala,Yasothon
Amnat Charoen,1.0,0.5971743652038226,0.6581755787471054,0.16950733385482777,0.1676544755856309,0.15737190319158778,1.0,0.43254372270200725,0.25730687253318063,0.7048150176914603,0.2233004417600355,0.2403985645320299,1.0,0.38405132655397084,1.0,1.0,0.1904064521089135,1.0,0.15206776678682976,0.8208588781539694,0.4421280328476226,0.6558209694086043,1.0,0.08274256659738728,0.2503937840825431,1.0,0.25739301616613497,1.0,0.1562561482558251,0.8098418074711571,0.15336246208991816,0.49687724381434994,1.0,0.16897010088344888,1.0,0.6943164522325964,1.0,1.0,1.0,0.5718368618938852,0.1904064521089135,1.0,1.0,0.4741851745400365,0.4825640291255363,0.2384800199553059,0.09053450518814396,1.0,0.1812515816938285,1.0,1.0,0.45110785672443743,0.3858496871207129,1.0,0.267066455469128,0.1418484601308967,1.0,1.0,1.0,0.7272937604980072,1.0,0.13539224527149776,0.6581755787471054,0.07951498007605376,0.3080973746176804,0.3206635305472352,1.0,0.1376936416450929,0.11125101123600471,1.0,1.0,0.0912475691912695,0.23119827555663366,0.25602773568469506,0.32203728330974957,0.7306451526537294,0.2936664793542678
Ang Thong,0.5971743652038226,1.0,0.5314830428071655,0.17325028532706688,0.26632905576672883,0.2678923686179046,0.5971743652038226,0.3690228921767575,0.25754837208534875,0.5518024461890103,0.3464079736654222,0.4107160864004664,0.5971743652038226,0.33083061763829474,0.5971743652038226,0.5971743652038226,0.1856070255262644,0.5971743652038226,0.25087552657625556,0.5874193294732496,0.39576508327692295,0.5289419286866849,0.5971743652038226,0.15492024810778432,0.23741336458620618,0.5971743652038226,0.43168710843887537,0.5971743652038226,0.30875915070391813,0.5876140626027766,0.15419731326184422,0.41542403390846555,0.5971743652038226,0.1697392250134396,0.5971743652038226,0.5497529856536645,0.5971743652038226,0.5971743652038226,0.5971743652038226,0.47554457864940264,0.1856070255262644,0.5971743652038226,0.5971743652038226,0.4080935361561397,0.42002772783243114,0.22316403352044897,0.19151163371237023,0.5971743652038226,0.19701535501270698,0.5971743652038226,0.5971743652038226,0.5451594949530125,0.32659444561419027,0.5971743652038226,0.29138093160469375,0.14406388038502976,0.5971743652038226,0.5971743652038226,0.5971743652038226,0.5618298209268002,0.5971743652038226,0.1359527473102785,0.5314830428071655,0.1858520559866648,0.28027195869535415,0.27929763255324613,0.5971743652038226,0.1430350489675622,0.1399506976708373,0.5971743652038226,0.5971743652038226,0.15147550457083964,0.21278855603845104,0.30580577603030934,0.4139441377239287,0.6408424835331323,0.2555689386333157
Bangkok,0.6581755787471054,0.5314830428071655,1.0,0.17057780613627765,0.15958287400030283,0.2557353184081136,0.6581755787471054,0.39173076298592385,0.24532211589998992,0.6006120961599903,0.20367432231860966,0.2301068844408134,0.6581755787471054,0.367956326488678,0.6581755787471054,0.6581755787471054,0.1769340064704226,0.6581755787471054,0.15643126248648642,0.6446330186799993,0.40036843896367597,0.5716487255368526,0.6581755787471054,0.13014621590026754,0.23738192491049837,0.6581755787471054,0.24969134833025247,0.6581755787471054,0.15351803474359743,0.6432551087508078,0.15679326195498947,0.4424708062693442,0.6581755787471054,0.15837352116752562,0.6581755787471054,0.5998988142036392,0.6581755787471054,0.6581755787471054,0.6581755787471054,0.5346596465390134,0.1769340064704226,0.6581755787471054,0.6581755787471054,0.6253614901476897,0.43672181061053433,0.23837768930699138,0.15190764846340488,0.6581755787471054,0.27608310267450076,0.6581755787471054,0.6581755787471054,0.39777712079244515,0.3692005597613404,0.6581755787471054,0.2486616898236561,0.1387865420358403,0.6581755787471054,0.6581755787471054,0.6581755787471054,0.6297430066047776,0.6581755787471054,0.13844196246410043,1.0,0.09462796327771977,0.3597134256251376,0.38092564563546716,0.6581755787471054,0.13416263990999205,0.18918318615132518,0.6581755787471054,0.6581755787471054,0.09886166864044543,0.2111428087265627,0.32933112868105074,0.38636965824106717,0.6173013648193922,0.27174407056366584
Bueng Kan,0.16950733385482777,0.17325028532706688,0.17057780613627765,1.0,0.3357742446948898,0.30050462131508443,0.16950733385482777,0.26210172243539487,0.33240421318017077,0.18971050208691806,0.3164258011631946,0.2849132987547538,0.16950733385482777,0.25511970893832026,0.16950733385482777,0.16950733385482777,0.3693633971581917,0.16950733385482777,0.32864581393861936,0.1730949928623723,0.27432325727739326,0.18928264971252995,0.16950733385482777,0.3672046547866951,0.359776512432297,0.16950733385482777,0.27093069759492505,0.16950733385482777,0.3422839207224133,0.17318685842122072,0.3767945372093179,0.2405738475903739,0.16950733385482777,0.38500216440778323,0.16950733385482777,0.22685050556622569,0.16950733385482777,0.16950733385482777,0.16950733385482777,0.18203898886486647,0.3693633971581917,0.16950733385482777,0.16950733385482777,0.23935515860571085,0.230528672366362,0.3611883739493248,0.34231613719248966,0.16950733385482777,0.34287395228371587,0.16950733385482777,0.16950733385482777,0.22763782750313458,0.25911701338103355,0.16950733385482777,0.34181607829716926,0.3986400531931332,0.16950733385482777,0.16950733385482777,0.16950733385482777,0.1645742327539272,0.16950733385482777,0.3764231049598359,0.17057780613627765,0.3510387287369377,0.23748757081667426,0.28394861787257764,0.16950733385482777,0.3937703675798119,0.319493243595016,0.16950733385482777,0.16950733385482777,0.4272403697324682,0.34220468120236563,0.322451934105659,0.23532348791021596,0.16993080723399767,0.324585812438117
Buri Ram,0.1676544755856309,0.26632905576672883,0.15958287400030283,0.3357742446948898,1.0,0.3622881123299722,0.1676544755856309,0.38623512517698716,0.39059802104750124,0.17297605855434256,0.6116779175876023,0.44891490704403064,0.1676544755856309,0.3372251015774259,0.1676544755856309,0.1676544755856309,0.533631979099305,0.1676544755856309,0.5729059581348608,0.1846852295722639,0.2978646703924265,0.2422545620957051,0.1676544755856309,0.49109382199446727,0.3649375508692785,0.1676544755856309,0.41039984197594126,0.1676544755856309,0.4464715522031021,0.18616120951532744,0.3701696579379802,0.36325052504071154,0.1676544755856309,0.49006799602754464,0.1676544755856309,0.15948179122361344,0.1676544755856309,0.1676544755856309,0.1676544755856309,0.18392465049463683,0.533631979099305,0.1676544755856309,0.1676544755856309,0.18032333388006067,0.31432787529099493,0.22304224497554975,0.5258561401559233,0.1676544755856309,0.30915078197548007,0.1676544755856309,0.1676544755856309,0.4673931037926902,0.21161148567471,0.1676544755856309,0.35765274685158255,0.4187593048327787,0.1676544755856309,0.1676544755856309,0.1676544755856309,0.15462135218239817,0.1676544755856309,0.45409790710674836,0.15958287400030283,0.4166547600279935,0.2304960276893849,0.4096142738623003,0.1676544755856309,0.4785333067978752,0.32973107737094753,0.1676544755856309,0.1676544755856309,0.39722177480962173,0.5649706740716878,0.39814452196535566,0.38649744137883735,0.16859416983612618,0.4003016051535807
Chachoengsao,0.15737190319158778,0.2678923686179046,0.2557353184081136,0.30050462131508443,0.3622881123299722,1.0,0.15737190319158778,0.18726847702671276,0.361145162358101,0.1503390260234895,0.32554262041530485,0.4396718774570925,0.15737190319158778,0.29498650462578113,0.15737190319158778,0.15737190319158778,0.33143360570268127,0.15737190319158778,0.4086628106364021,0.14635141203846636,0.286497333331279,0.15855448818017331,0.15737190319158778,0.4261801079260864,0.3048138229875482,0.15737190319158778,0.4617237541827537,0.15737190319158778,0.4764144494767916,0.14639725420910982,0.33557851112516324,0.16945301864673062,0.15737190319158778,0.35436732008760485,0.15737190319158778,0.15500788234060128,0.15737190319158778,0.15737190319158778,0.15737190319158778,0.19408977479383713,0.33143360570268127,0.15737190319158778,0.15737190319158778,0.33775758288530555,0.23378182600222233,0.2494970231399405,0.4624203711785263,0.15737190319158778,0.4662943458720883,0.15737190319158778,0.15737190319158778,0.23173741547356125,0.21430797957784037,0.15737190319158778,0.3402623934392098,0.3235114154566921,0.15737190319158778,0.15737190319158778,0.15737190319158778,0.16607588142949614,0.15737190319158778,0.3578001100174329,0.2557353184081136,0.40277386133567133,0.3632250865863192,0.306235591277565,0.15737190319158778,0.34133141286954216,0.4303129331224894,0.15737190319158778,0.15737190319158778,0.3466047647675538,0.2935442733743485,0.4180701620161491,0.4651107282418707,0.2098739385943184,0.22003731331186147
Chai Nat,1.0,0.5971743652038226,0.6581755787471054,0.16950733385482777,0.1676544755856309,0.15737190319158778,1.0,0.43254372270200725,0.25730687253318063,0.7048150176914603,0.2233004417600355,0.2403985645320299,1.0,0.38405132655397084,1.0,1.0,0.1904064521089135,1.0,0.15206776678682976,0.8208588781539694,0.4421280328476226,0.6558209694086043,1.0,0.08274256659738728,0.2503937840825431,1.0,0.25739301616613497,1.0,0.1562561482558251,0.8098418074711571,0.15336246208991816,0.49687724381434994,1.0,0.16897010088344888,1.0,0.6943164522325964,1.0,1.0,1.0,0.5718368618938852,0.1904064521089135,1.0,1.0,0.4741851745400365,0.4825640291255363,0.2384800199553059,0.09053450518814396,1.0,0.1812515816938285,1.0,1.0,0.45110785672443743,0.3858496871207129,1.0,0.267066455469128,0.1418484601308967,1.0,1.0,1.0,0.7272937604980072,1.0,0.13539224527149776,0.6581755787471054,0.07951498007605376,0.3080973746176804,0.3206635305472352,1.0,0.1376936416450929,0.11125101123600471,1.0,1.0,0.0912475691912695,0.23119827555663366,0.25602773568469506,0.32203728330974957,0.7306451526537294,0.2936664793542678
Chaiyaphum,0.43254372270200725,0.3690228921767575,0.39173076298592385,0.26210172243539487,0.38623512517698716,0.18726847702671276,0.43254372270200725,1.0,0.1934103827396937,0.3797386691049727,0.41370647211898964,0.3234709090207233,0.43254372270200725,0.571282826397679,0.43254372270200725,0.43254372270200725,0.4590175167591539,0.43254372270200725,0.3238937640657527,0.48891009749831227,0.2589723694210047,0.5323241852026708,0.43254372270200725,0.2840942251921934,0.180258401607659,0.43254372270200725,0.3181677401199669,0.43254372270200725,0.2247555079474658,0.4930743254640123,0.22609743082616757,0.706488302622071,0.43254372270200725,0.3285131905505032,0.43254372270200725,0.40280538512719344,0.43254372270200725,0.43254372270200725,0.43254372270200725,0.39429405457527966,0.4590175167591539,0.43254372270200725,0.43254372270200725,0.32246426120778426,0.2879059080051283,0.2144303225957863,0.30731362346686153,0.43254372270200725,0.16139263988444627,0.43254372270200725,0.43254372270200725,0.5435367241807332,0.2973093135727567,0.43254372270200725,0.17259879362589509,0.3184845231114961,0.43254372270200725,0.43254372270200725,0.43254372270200725,0.4074830609086874,0.43254372270200725,0.26041126184583513,0.39173076298592385,0.2578920902018218,0.2468865205721274,0.6270517183282198,0.43254372270200725,0.36378185689145404,0.2390395404947131,0.43254372270200725,0.43254372270200725,0.19761689554690842,0.5527125096125443,0.49648868111377004,0.21176358926366123,0.4278594906254136,0.57875444712247
Chanthaburi,0.25730687253318063,0.25754837208534875,0.24532211589998992,0.33240421318017077,0.39059802104750124,0.361145162358101,0.25730687253318063,0.1934103827396937,1.0,0.28733609136223204,0.3034345719173189,0.2986701547072865,0.25730687253318063,0.20315772764507076,0.25730687253318063,0.25730687253318063,0.45222572994317783,0.25730687253318063,0.38251586860018416,0.24259448030967762,0.5898472193959499,0.2191558215841861,0.25730687253318063,0.38804086837294793,0.4830244915912589,0.25730687253318063,0.27302436626911597,0.25730687253318063,0.4357897053596645,0.24242620542139026,0.45018603220727627,0.24828189789304012,0.25730687253318063,0.5300856384013614,0.25730687253318063,0.24715260651796117,0.25730687253318063,0.25730687253318063,0.25730687253318063,0.23206033861545744,0.45222572994317783,0.25730687253318063,0.25730687253318063,0.24247797515442202,0.4404153734578906,0.23782636327214632,0.3196148690804562,0.25730687253318063,0.4489342430511294,0.25730687253318063,0.25730687253318063,0.2700635305297098,0.25303452875350396,0.25730687253318063,0.5906845658538072,0.3964519039765852,0.25730687253318063,0.25730687253318063,0.25730687253318063,0.24540491588987567,0.25730687253318063,0.4815864949521287,0.24532211589998992,0.29313399639107873,0.26502780610910137,0.19232383509052198,0.25730687253318063,0.4104310974031372,0.23366303706296332,0.25730687253318063,0.25730687253318063,0.3619585390208836,0.3730336480703291,0.18172244383597186,0.36842889407143553,0.24700636931518904,0.1897084869564459
Chiang Mai,0.7048150176914603,0.5518024461890103,0.6006120961599903,0.18971050208691806,0.17297605855434253,0.1503390260234895,0.7048150176914603,0.3797386691049727,0.28733609136223204,1.0,0.24439967946316943,0.2253421402649214,0.7048150176914603,0.3373333687817218,0.7048150176914603,0.7048150176914603,0.17865895263386106,0.7048150176914603,0.1593953890492486,0.6860670691447475,0.45503357195006866,0.5907010367402199,0.7048150176914603,0.08918326734977573,0.36725634794153633,0.7048150176914603,0.23488709819476067,0.7048150176914603,0.1738173853641143,0.6858402855484621,0.2420369896301817,0.457688904218142,0.7048150176914603,0.20207550305413063,0.7048150176914603,0.6464353329329716,0.7048150176914603,0.7048150176914603,0.7048150176914603,0.5247181612714876,0.17865895263386106,0.7048150176914603,0.7048150176914603,0.4489676023128363,0.5227670149191752,0.287723485382919,0.0821018551705838,0.7048150176914603,0.2513109745334474,0.7048150176914603,0.7048150176914603,0.41284982935713177,0.4600246267931809,0.7048150176914603,0.3498711137469364,0.219278900665099,0.7048150176914603,0.7048150176914603,0.7048150176914603,0.6467872192202375,0.7048150176914603,0.19849828029581218,0.6006120961599903,0.07501843296709962,0.2898405718346904,0.27185292617132917,0.7048150176914603,0.17265593390561673,0.10174736051591358,0.7048150176914603,0.7048150176914603,0.16028475756063384,0.21813775292776277,0.21119791403212088,0.32135916420502203,0.6493536580458745,0.3267126824735889
Chiang Rai,0.2233004417600355,0.3464079736654222,0.20367432231860966,0.3164258011631946,0.6116779175876023,0.32554262041530485,0.2233004417600355,0.41370647211898964,0.3034345719173189,0.24439967946316943,1.0,0.46978673092551587,0.2233004417600355,0.3405282784333427,0.2233004417600355,0.2233004417600355,0.4689839779263379,0.2233004417600355,0.47767965110118715,0.23241282055571216,0.25355924070703106,0.3285586567586604,0.2233004417600355,0.439894958123658,0.34381278921306935,0.2233004417600355,0.4404763405630229,0.2233004417600355,0.43148165598310734,0.23389952134322117,0.3432264691652759,0.34909963187748333,0.2233004417600355,0.4497030275496072,0.2233004417600355,0.21507215277530242,0.2233004417600355,0.2233004417600355,0.2233004417600355,0.22843726332139228,0.4689839779263379,0.2233004417600355,0.2233004417600355,0.20679404790914557,0.27534376619768597,0.258735825979046,0.48758726387719686,0.2233004417600355,0.2978332095908002,0.2233004417600355,0.2233004417600355,0.5076365993898955,0.2662972893481332,0.2233004417600355,0.3516297269656419,0.43457469553065153,0.2233004417600355,0.2233004417600355,0.2233004417600355,0.2038333508265907,0.2233004417600355,0.41379282401576695,0.20367432231860966,0.3883049930112036,0.2169264914791511,0.4321621913135427,0.2233004417600355,0.47728608053341803,0.3030317172604112,0.2233004417600355,0.2233004417600355,0.40329192713095985,0.5108444058112397,0.40952417469472147,0.3808914198822423,0.22003834568288066,0.4855322556605741
Chon Buri,0.2403985645320299,0.4107160864004665,0.2301068844408134,0.2849132987547538,0.44891490704403064,0.4396718774570925,0.2403985645320299,0.3234709090207233,0.2986701547072865,0.2253421402649214,0.46978673092551587,1.0,0.2403985645320299,0.28822774222742076,0.2403985645320299,0.2403985645320299,0.3735921684289126,0.2403985645320299,0.3777513485663715,0.23607487926412446,0.26139030220417464,0.3072856212404045,0.2403985645320299,0.35977821250923053,0.2807537096856437,0.2403985645320299,0.7119328179523821,0.2403985645320299,0.563497329529431,0.2367406852240472,0.2677569552940628,0.2747816120110275,0.2403985645320299,0.36190742496609574,0.2403985645320299,0.231507268378369,0.2403985645320299,0.2403985645320299,0.2403985645320299,0.2476906021525021,0.3735921684289126,0.2403985645320299,0.2403985645320299,0.23278160104385193,0.2683634012489446,0.23829979439892052,0.40080519626944855,0.2403985645320299,0.3108732695215912,0.2403985645320299,0.2403985645320299,0.3648655906888372,0.22183218524573964,0.2403985645320299,0.2920005377612981,0.3229611219374557,0.2403985645320299,0.2403985645320299,0.2403985645320299,0.22920582496561562,0.2403985645320299,0.33009478865800973,0.2301068844408134,0.42572894217581436,0.24636848670635575,0.3482431245318296,0.2403985645320299,0.37366670491405696,0.28373006797633726,0.2403985645320299,0.2403985645320299,0.31914493398193045,0.38823621146229637,0.41157781726042475,0.3396634551837295,0.33098838103034367,0.3406151268238792
Chumphon,1.0,0.5971743652038226,0.6581755787471054,0.16950733385482777,0.1676544755856309,0.15737190319158778,1.0,0.43254372270200725,0.25730687253318063,0.7048150176914603,0.2233004417600355,0.2403985645320299,1.0,0.38405132655397084,1.0,1.0,0.1904064521089135,1.0,0.15206776678682976,0.8208588781539694,0.4421280328476226,0.6558209694086043,1.0,0.08274256659738728,0.2503937840825431,1.0,0.25739301616613497,1.0,0.1562561482558251,0.8098418074711571,0.15336246208991816,0.49687724381434994,1.0,0.16897010088344888,1.0,0.6943164522325964,1.0,1.0,1.0,0.5718368618938852,0.1904064521089135,1.0,1.0,0.4741851745400365,0.4825640291255363,0.2384800199553059,0.09053450518814396,1.0,0.1812515816938285,1.0,1.0,0.45110785672443743,0.3858496871207129,1.0,0.267066455469128,0.1418484601308967,1.0,1.0,1.0,0.7272937604980072,1.0,0.13539224527149776,0.6581755787471054,0.07951498007605376,0.3080973746176804,0.3206635305472352,1.0,0.1376936416450929,0.11125101123600471,1.0,1.0,0.0912475691912695,0.23119827555663366,0.25602773568469506,0.32203728330974957,0.7306451526537294,0.2936664793542678
Kalasin,0.38405132655397084,0.33083061763829474,0.367956326488678,0.25511970893832026,0.3372251015774259,0.29498650462578113,0.38405132655397084,0.571282826397679,0.20315772764507076,0.3373333687817218,0.3405282784333427,0.28822774222742076,0.38405132655397084,1.0,0.38405132655397084,0.38405132655397084,0.38495011242902055,0.38405132655397084,0.3917540397032703,0.42497913579740815,0.2455296862604744,0.4256641639207802,0.38405132655397084,0.29037947582013907,0.19146689146814166,0.38405132655397084,0.33642082997660766,0.38405132655397084,0.21638222448290786,0.4282047976510068,0.24572786680064213,0.5481477813814641,0.38405132655397084,0.2853895202852273,0.38405132655397084,0.3608088706931949,0.38405132655397084,0.38405132655397084,0.38405132655397084,0.378930090973688,0.38495011242902055,0.38405132655397084,0.38405132655397084,0.3257322868693229,0.2689263093012404,0.23010933422341012,0.34070183522854125,0.38405132655397084,0.19565551041300033,0.38405132655397084,0.38405132655397084,0.44806740502534714,0.3084168770324442,0.38405132655397084,0.18247228216881928,0.2900412892706229,0.38405132655397084,0.38405132655397084,0.38405132655397084,0.38009820614699397,0.38405132655397084,0.25819992711158746,0.367956326488678,0.26103991619631156,0.36222679170442484,0.50982663033682,0.38405132655397084,0.3132104145483685,0.3628161446022597,0.38405132655397084,0.38405132655397084,0.20571966453364748,0.44341372801206413,0.5289271872931016,0.36181778453135816,0.3783046566759727,0.4672508971897822
Kamphaeng Phet,1.0,0.5971743652038226,0.6581755787471054,0.16950733385482777,0.1676544755856309,0.15737190319158778,1.0,0.43254372270200725,0.25730687253318063,0.7048150176914603,0.2233004417600355,0.2403985645320299,1.0,0.38405132655397084,1.0,1.0,0.1904064521089135,1.0,0.15206776678682976,0.8208588781539694,0.4421280328476226,0.6558209694086043,1.0,0.08274256659738728,0.2503937840825431,1.0,0.25739301616613497,1.0,0.1562561482558251,0.8098418074711571,0.15336246208991816,0.49687724381434994,1.0,0.16897010088344888,1.0,0.6943164522325964,1.0,1.0,1.0,0.5718368618938852,0.1904064521089135,1.0,1.0,0.4741851745400365,0.4825640291255363,0.2384800199553059,0.09053450518814396,1.0,0.1812515816938285,1.0,1.0,0.45110785672443743,0.3858496871207129,1.0,0.267066455469128,0.1418484601308967,1.0,1.0,1.0,0.7272937604980072,1.0,0.13539224527149776,0.6581755787471054,0.07951498007605376,0.3080973746176804,0.3206635305472352,1.0,0.1376936416450929,0.11125101123600471,1.0,1.0,0.0912475691912695,0.23119827555663366,0.25602773568469506,0.32203728330974957,0.7306451526537294,0.2936664793542678
Kanchanaburi,1.0,0.5971743652038226,0.6581755787471054,0.16950733385482777,0.1676544755856309,0.15737190319158778,1.0,0.43254372270200725,0.25730687253318063,0.7048150176914603,0.2233004417600355,0.2403985645320299,1.0,0.38405132655397084,1.0,1.0,0.1904064521089135,1.0,0.15206776678682976,0.8208588781539694,0.4421280328476226,0.6558209694086043,1.0,0.08274256659738728,0.2503937840825431,1.0,0.25739301616613497,1.0,0.1562561482558251,0.8098418074711571,0.15336246208991816,0.49687724381434994,1.0,0.16897010088344888,1.0,0.6943164522325964,1.0,1.0,1.0,0.5718368618938852,0.1904064521089135,1.0,1.0,0.4741851745400365,0.4825640291255363,0.2384800199553059,0.09053450518814396,1.0,0.1812515816938285,1.0,1.0,0.45110785672443743,0.3858496871207129,1.0,0.267066455469128,0.1418484601308967,1.0,1.0,1.0,0.7272937604980072,1.0,0.13539224527149776,0.6581755787471054,0.07951498007605376,0.3080973746176804,0.3206635305472352,1.0,0.1376936416450929,0.11125101123600471,1.0,1.0,0.0912475691912695,0.23119827555663366,0.25602773568469506,0.32203728330974957,0.7306451526537294,0.2936664793542678
Khon Kaen,0.1904064521089135,0.1856070255262644,0.1769340064704226,0.3693633971581917,0.533631979099305,0.33143360570268127,0.1904064521089135,0.4590175167591539,0.45222572994317783,0.17865895263386106,0.4689839779263379,0.3735921684289126,0.1904064521089135,0.38495011242902055,0.1904064521089135,0.1904064521089135,1.0,0.1904064521089135,0.4418490406720027,0.21525905367957046,0.3964114156419531,0.28823688009996146,0.1904064521089135,0.48638500258058304,0.33341188238820907,0.1904064521089135,0.3379602259819535,0.1904064521089135,0.4337626242486056,0.2172213480953836,0.4164988787176433,0.4119930959719175,0.1904064521089135,0.6554256564779914,0.1904064521089135,0.1783536251447962,0.1904064521089135,0.1904064521089135,0.1904064521089135,0.20424518343637,1.0,0.1904064521089135,0.1904064521089135,0.1875023695073273,0.2788563803328571,0.21406502823088358,0.44675747783134584,0.1904064521089135,0.35784360433793555,0.1904064521089135,0.1904064521089135,0.3685359048222921,0.20760068343529864,0.1904064521089135,0.40170931402986215,0.5036688303873937,0.1904064521089135,0.1904064521089135,0.1904064521089135,0.17421667723001655,0.1904064521089135,0.5148695816623291,0.1769340064704226,0.3895005545376789,0.22179316931289758,0.4741653263107713,0.1904064521089135,0.6014765340697945,0.30402006012878846,0.1904064521089135,0.1904064521089135,0.37767483679317626,0.6864504641573447,0.39735142199853807,0.2503387757641575,0.19140086428925848,0.4581543589288593
