province,Amnat Charoen,Ang Thong,Bangkok,Bueng Kan,Buri Ram,Chachoengsao,Chai Nat,Chaiyaphum,Chanthaburi,Chiang Mai,Chiang Rai,Chon Buri,Chumphon,Kalasin,Kamphaeng Phet,Kanchanaburi,Khon Kaen,Krabi,Lampang,Lamphun,Loei,Lop Buri,Mae Hong Son,Maha Sarakham,Mukdahan,Nakhon Nayok,Nakhon Pathom,Nakhon Phanom,Nakhon Ratchasima,Nakhon Sawan,Nakhon Si Thammarat,Nan,Narathiwat,Nong Bua Lam Phu,Nong Khai,Nonthaburi,Pathum Thani,Pattani,Phang-nga,Phatthalung,Phayao,Phetchabun,Phetchaburi,Phichit,Phitsanulok,Phra Nakhon Si Ayutthaya,Phrae,Phuket,Prachin Buri,Prachuap Khiri Khan,Ranong,Ratchaburi,Rayong,Roi Et,Sa kaeo,Sakon Nakhon,Samut Prakarn,Samut Sakhon,Samut Songkhram,Saraburi,Satun,Si Sa Ket,Sing Buri,Songkhla,Sukhothai,Suphan Buri,Surat Thani,Surin,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uthai Thani,Uttaradit,Yala,Yasothon
Amnat Charoen,1.0,0.09453185255401325,0.07935035670401451,0.6113797712602693,0.6973369061669767,0.46546600588929976,0.09779265356770522,0.6702322590215977,0.5317086882604187,0.5021899323956349,0.43640946969424144,0.41282921080159396,0.09486507298902722,0.6456450475310814,0.48360386062592464,0.10633013931601829,0.8044277260092416,0.08252221427741566,0.5283766540293376,0.5197243511113936,0.5556296335229653,0.08434767239616162,0.5244067985060992,0.6710257852482922,0.5378641031560885,0.5555752415818008,0.07310094768255432,0.7094716872352416,0.6880135525480786,0.32430110593899225,0.16244344245069248,0.5036807349591905,0.11793082374721765,0.666449609690376,0.6535880947584422,0.07752524714483985,0.08620832309914472,0.1423964263498092,0.10397267047575309,0.16832028542531205,0.4658854232130301,0.33277495054612455,0.08927389868842307,0.3336177057696051,0.31605994562902834,0.07955538365911438,0.38911750783139254,0.09455582695101877,0.5340619831102855,0.07691210304212713,0.09275274558668167,0.09029225109086733,0.5448000019263707,0.7292811964731731,0.5173304262837721,0.6728551809567243,0.08273384020843957,0.08034005690909049,0.07692191401445321,0.08871516007647182,0.12915945694244288,0.7848999143172541,0.09452692348326772,0.09479143561714368,0.47030387792509076,0.0847494442838092,0.10135814485321734,0.8045026993716062,0.327876016023618,0.18901783883287854,0.5377899554564044,0.7920863342980424,0.8145545615516195,0.29424316463683164,0.45263116456107183,0.128644400092698,0.7440491559226481
Ang Thong,0.09453185255401325,1.0,0.6700746745826254,0.1123691938874033,0.10269871003910988,0.17105333732656325,0.778167910075704,0.10505874033054646,0.1390527910913913,0.19029222415239316,0.20609356996161643,0.20615869357836383,0.5008177822556928,0.10324884716568775,0.1822258713280338,0.681286714177578,0.09180897392120749,0.5292918356343584,0.17396120754872796,0.18382982795706548,0.1315623727054913,0.7517606258875058,0.18708011167899136,0.10315238606686811,0.14295251176131,0.14142026557965112,0.6979248590057079,0.0916814418360965,0.10201062268260014,0.2762308574870312,0.44853618929778344,0.19822351817694975,0.5073821638197802,0.09095306295945452,0.10198583892888027,0.6785100983587917,0.6789464587231402,0.47927266354299985,0.4946625045403921,0.46600338857229795,0.2010718685683096,0.2858204744032897,0.6897492231704105,0.29482733750965107,0.29581848583786047,0.7121796326692535,0.25907590469770697,0.5086970062916634,0.13677245617823042,0.6027893710776235,0.49044912711051336,0.643913189952865,0.14092326979069497,0.09144460568603432,0.15948739023969252,0.09793271294597253,0.7325973589286716,0.7520683529926038,0.694215057378867,0.7237236130073559,0.4924442454701554,0.0946539932087825,0.8105016932771552,0.5021918325812523,0.20596721624280204,0.7205622611205021,0.49066166359013524,0.09933351650688753,0.26720129405997395,0.4353864893487772,0.14849092756657611,0.08920158291415059,0.0885747567172887,0.3138198341738579,0.2280561384530249,0.49511641389525984,0.10468226010952948
Bangkok,0.07935035670401451,0.6700746745826254,1.0,0.13105577467253954,0.06847223857691502,0.2198582791157569,0.6228619046653088,0.06993988415341672,0.17506573469729297,0.13918754754806772,0.1494893119587751,0.2723929854122229,0.5435702964209694,0.07464967928526481,0.1659433642291926,0.6382393177546603,0.07394832171149923,0.528778819121741,0.14646858535722362,0.1430378502393486,0.17001933070244996,0.7553560711561487,0.13664109438778038,0.11068844958449384,0.16839957623782253,0.18014485591321933,0.7282517962192565,0.07453378553985884,0.06567719511234826,0.3241588566648369,0.39807882062145933,0.12906916994852052,0.4778163201596686,0.09875373161857605,0.07553399518111245,0.8960603472531918,0.6589523941813764,0.4328555924553871,0.4780234324017579,0.41679071920213456,0.1442652260352688,0.34674643117179593,0.6538446497243526,0.3414204260113846,0.3612890856842047,0.8121596112112635,0.30892604948581504,0.5145108155560112,0.16381908339746232,0.6648883243455458,0.49760315070846844,0.7249464134516728,0.13271668360965413,0.0921855259350361,0.20221280743356168,0.09677984914154272,0.7483380808029687,0.713906442212062,0.7937839954332369,0.7741276571206905,0.46089833240470773,0.07446544177206899,0.6395059479986185,0.5450863497710411,0.22246536355312344,0.7692607159198848,0.5227380945385296,0.08211298104034617,0.3164102375008416,0.3785280543203536,0.16741160768282842,0.07867445233156238,0.07524983036202333,0.3769692063122171,0.23782749924602942,0.45565570633886227,0.09475137815669771
Bueng Kan,0.6113797712602693,0.1123691938874033,0.13105577467253954,1.0,0.5369556720027533,0.48395648261190183,0.09941578658907047,0.5312756930646647,0.5107143244421206,0.36987189063858106,0.307018117945396,0.4481381898024488,0.17019910416130773,0.5065405913614571,0.3867008393332343,0.13871984744165167,0.5847781663362438,0.12155995367317791,0.4564038955176961,0.40815249411575216,0.7300503475235189,0.12931360923479915,0.3997567277583843,0.765537396105208,0.6742091908089389,0.5793678912716876,0.12750798337039632,0.5647390228216829,0.5340513189409216,0.4352493703794109,0.13845249522829423,0.3624758791633642,0.11386053897234769,0.7016519224492194,0.5212702980197118,0.12514236294518397,0.0970098416423564,0.1120941762956978,0.12850610863113593,0.1409663982680298,0.32922027302115486,0.4554941928430415,0.11813682616392969,0.4639920257962286,0.4422143450738347,0.1299814961291107,0.4589926664842646,0.15557183884160009,0.5376313444287018,0.14188445030700883,0.1351891649226123,0.147906332064594,0.4309893174421967,0.6648729702158018,0.5300233909048383,0.6743041560261092,0.10888243128520653,0.12186989481078955,0.12058794384835145,0.13591150969864396,0.13622966764810235,0.6080260071691979,0.09693576203338797,0.1892537446815198,0.45127193389050424,0.13479046787576213,0.1764211310564756,0.6298873436270996,0.3907925703784868,0.13921340240037983,0.47821761533976365,0.6381496179987356,0.6074019063832905,0.43950600447516747,0.4266331771042695,0.11575744379460716,0.6809918183886794
Buri Ram,0.6973369061669767,0.10269871003910988,0.06847223857691503,0.5369556720027533,1.0,0.41621251070485343,0.11528622906499793,0.8001585365676733,0.4923249169565588,0.532321048447639,0.482146745537294,0.3594058418263468,0.08282638082721791,0.6767687956633304,0.4834042878796315,0.11032013750283523,0.7300904697492846,0.09298184987614808,0.5234450722353533,0.5371612430440205,0.48336461070522097,0.08034907212856185,0.5477967006410597,0.5873926103774453,0.47223538116791247,0.49545384179303054,0.06874946816785266,0.6726374967880249,0.8368521968907852,0.27430532148665276,0.20017900602747296,0.5586439777850546,0.14403081473988857,0.5893814488463701,0.7277478369106999,0.06876853429572544,0.09170223382131029,0.17836247035303038,0.12280315300343465,0.2043892474834529,0.5084788822021675,0.27391616751151104,0.09491101334963623,0.27518654995543235,0.25375048418465873,0.07244746669901317,0.3394162410643888,0.09914036383797885,0.4879910165644471,0.06556006295363244,0.10320749206833384,0.0767686094568156,0.5456245377862997,0.6188042899011704,0.46834098011119185,0.5955858352843231,0.08230989753716345,0.08140236279827881,0.07239666986492974,0.08148128030423292,0.15503539725904525,0.6914860577263989,0.10907076541792061,0.077019492441188,0.43844037013778564,0.07799192806738729,0.09268184975038402,0.686930151182645,0.2841183915110375,0.23244706873544238,0.514327258849884,0.6678835478232152,0.702556670102598,0.2327983784385806,0.4326767050101372,0.15935581861733933,0.6338695638714257
Chachoengsao,0.46546600588929976,0.17105333732656328,0.2198582791157569,0.48395648261190183,0.41621251070485343,1.0,0.1741513439801276,0.4245910991802352,0.6196377198599475,0.40975686090366464,0.3727642999717634,0.7483446752634888,0.22224250908854054,0.465491467217824,0.4854169344508266,0.17462181560411988,0.4724481745129937,0.22406385799223516,0.4279641122618484,0.4042303559009317,0.4943667738038975,0.18633168196571592,0.3954992508673722,0.48374754510824525,0.5185985094834401,0.6021077269416044,0.19928843565194732,0.5049231855265569,0.4202777608610048,0.4965953422784939,0.1774604049466138,0.3130776895373903,0.17742706216758714,0.5328019505973542,0.4294128983137119,0.22357825454887964,0.24210669124659323,0.18916280024656495,0.22414696308610169,0.1404878331879828,0.3767116304212105,0.46903364911369316,0.22137072026993831,0.443561251823483,0.4765350379706385,0.20425372524294927,0.41332017811693184,0.19887541178156543,0.7585820819539428,0.23905071087507476,0.22891250019589587,0.23626085679866793,0.5646940755395298,0.5241666233711508,0.5564118192607737,0.5171901448528562,0.2150741019395025,0.1713374009180457,0.19807585278883114,0.18930212659439877,0.15912374758084016,0.4680361113038342,0.17926819354166118,0.22631277680156875,0.43893955334582857,0.1872409476257705,0.2067537086730783,0.4396055795828765,0.5712402367222007,0.1579966124682603,0.5469629659361593,0.4928536481206687,0.47735785918390894,0.4180831911197783,0.36016088784762385,0.1777313868223592,0.45476507818928846
Chai Nat,0.09779265356770522,0.778167910075704,0.6228619046653088,0.09941578658907047,0.11528622906499793,0.1741513439801276,1.0,0.12045103059080922,0.12895408093706626,0.22215039967379668,0.24844219163756126,0.19710947345803503,0.4789537411021923,0.12462781451335783,0.19800564824695588,0.645048691688952,0.09976726716490786,0.5358021399187884,0.18292928926560337,0.19953194052916456,0.10887306980274694,0.6754550402727647,0.20996743752592895,0.09506010885594329,0.1358358132885882,0.1204620489513754,0.6602928058567115,0.10676092572460177,0.11798166550472644,0.2692303077640224,0.47562440369358544,0.22796637515679377,0.5165715638529507,0.09267894657349575,0.11411744109529706,0.6334269553033384,0.6869904183451578,0.505581806739597,0.5151797493598146,0.4766024656805388,0.24079226648503219,0.2583001511768861,0.6778984837768693,0.27474531741042796,0.2692208295152384,0.6559793314933349,0.22175671339902475,0.5048406636554786,0.14710219031182165,0.578133093266106,0.4958147809031022,0.6050004994000062,0.1607885399638807,0.09277170193702693,0.13555923328376351,0.10303614428641167,0.6815305954008295,0.6825809488395994,0.6399956653696917,0.6530480419204961,0.49836359806821934,0.10433462119268022,0.8710822829015132,0.4824213453405046,0.18550073539273704,0.6537920211010517,0.47205577778549435,0.10068685178040608,0.26977816795412074,0.4572829631188074,0.1410870613661061,0.09457248868376983,0.09400731303655094,0.2838428616419756,0.20234880908383646,0.5129489748765481,0.1020303639846453
Chaiyaphum,0.6702322590215977,0.10505874033054646,0.06993988415341672,0.5312756930646647,0.8001585365676733,0.4245910991802352,0.12045103059080922,1.0,0.4869341640291438,0.5370549691614861,0.4927631302389934,0.3659500907793045,0.07594030505911226,0.6785126161546482,0.4836163328648034,0.10825181153907676,0.7132361934504289,0.09557081099246771,0.5213862792397491,0.5384519225929121,0.4756485771843731,0.08132464585531395,0.5495871963289487,0.5800052160460892,0.475863064175475,0.48678113100499537,0.07217343336078094,0.6770351621665485,0.7876963776517808,0.284444494119077,0.19860881822219742,0.5567290255522535,0.13992827444775513,0.5895717362770501,0.7261452881172028,0.07153333561798406,0.09986452220190412,0.1767152437872492,0.12692104662378267,0.19575256589981163,0.5131021645688794,0.27826697312890564,0.10128004981933061,0.2798853683812301,0.2570665410746492,0.07476538773387213,0.329488211426271,0.09782459243893095,0.49556196837642885,0.06655116945502466,0.10464457303816968,0.07758572149812715,0.547667334159439,0.6130010136076749,0.4573724571655845,0.5955325807618921,0.085838503635354,0.08139291203887962,0.07203810550734877,0.08123843958404038,0.15026752638024238,0.6786476510980841,0.11321602833420477,0.0729910848316373,0.42805002579161183,0.07784945654422129,0.08518357538438955,0.6609245850298127,0.29729132823348897,0.22541979807599005,0.5072520706782969,0.6620462555185223,0.6873321429636117,0.2323024755496115,0.4160618255268307,0.15650365538130745,0.6196325717828743
Chanthaburi,0.5317086882604187,0.13905279109139132,0.17506573469729297,0.5107143244421206,0.4923249169565588,0.6196377198599475,0.12895408093706626,0.4869341640291438,1.0,0.43692782925095114,0.35458565415708976,0.609183886175314,0.21655596539838362,0.49023512014239556,0.513628712408741,0.17653136275048914,0.5378978645763477,0.17821048035473078,0.4906446875056686,0.4907145774994654,0.5357910594747196,0.14806178785590576,0.4583101779440054,0.5377452001787977,0.4574830486668759,0.7471497673034859,0.13853516724466552,0.5222211909392079,0.4798443263086209,0.3650223071571812,0.17205648096125697,0.38508345888541146,0.1932199135675814,0.5420547337038513,0.5214575172464103,0.17412801400792527,0.1673233231009657,0.18238926083199508,0.16337693601117392,0.20006723966040507,0.378761942825586,0.4129213648211326,0.17394759466944304,0.34886544586358875,0.3977561967606945,0.15452872293825087,0.4998080157440734,0.17349699325292484,0.6209277219194915,0.18926182157502686,0.19252062334886583,0.1928106181774703,0.6205505961116844,0.5450174133476249,0.7752158514724516,0.5075503691218575,0.17175999707343134,0.1454412280185119,0.17394910272649144,0.15651933492527162,0.18500992398686184,0.5042228970472508,0.13735189581624097,0.18460085480388017,0.5458074992188069,0.15210486815767454,0.20434161650948757,0.5148882581158523,0.4074159056631609,0.20439693710907975,0.7758175026201111,0.5363316100499587,0.5482081922719609,0.35450837832566395,0.53467417376985,0.18000847954342325,0.5072838313464489
Chiang Mai,0.5021899323956349,0.19029222415239316,0.13918754754806772,0.36987189063858106,0.532321048447639,0.40975686090366464,0.22215039967379668,0.5370549691614861,0.43692782925095114,1.0,0.6091337703447994,0.35295124177712867,0.12820712278018892,0.5598073189378506,0.6757209460429882,0.14893573478765745,0.5238417076565375,0.2007832306432098,0.6458958112027446,0.7089466528468465,0.3174443767532203,0.14860125709935726,0.7799224594461971,0.41460019726933217,0.3415784369901355,0.38974652482971306,0.14025421439694413,0.5402261044690341,0.5374832321818404,0.31862479142462463,0.30730024767090675,0.6539865301242898,0.25456763205397454,0.44484149387573363,0.530733167806549,0.14665597458270802,0.2136923796929135,0.31090057764836965,0.2351162342282933,0.290986717817112,0.6670041208930093,0.28379564348506214,0.16724128961245704,0.2766170485781876,0.2675078343348649,0.14345431662530428,0.3336799768131608,0.16358500679378146,0.4592397060844433,0.11075005136003839,0.19418822715748885,0.1219144058700701,0.5859889596387493,0.47455707250477974,0.373794003875767,0.45734568692309874,0.17733408866753325,0.14886466353651262,0.1432458100600258,0.14426232025150793,0.23909789207582566,0.5082871328127861,0.2165646053877933,0.11225737388024339,0.4986913533668801,0.13984490243349357,0.13006504268935465,0.4795943010788344,0.38488036296963457,0.3357219379068894,0.4720805380720734,0.49617112091104976,0.5087538202341045,0.21366164233060858,0.44762208278955323,0.2765231265500695,0.4525035457480424
