province,Amnat Charoen,Ang Thong,Bangkok,Bueng Kan,Buri Ram,Chachoengsao,Chai Nat,Chaiyaphum,Chanthaburi,Chiang Mai,Chiang Rai,Chon Buri,Chumphon,Kalasin,Kamphaeng Phet,Kanchanaburi,Khon Kaen,Krabi,Lampang,Lamphun,Loei,Lop Buri,Mae Hong Son,Maha Sarakham,Mukdahan,Nakhon Nayok,Nakhon Pathom,Nakhon Phanom,Nakhon Ratchasima,Nakhon Sawan,Nakhon Si Thammarat,Nan,Narathiwat,Nong Bua Lam Phu,Nong Khai,Nonthaburi,Pathum Thani,Pattani,Phang-nga,Phatthalung,Phayao,Phetchabun,Phetchaburi,Phichit,Phitsanulok,Phra Nakhon Si Ayutthaya,Phrae,Phuket,Prachin Buri,Prachuap Khiri Khan,Ranong,Ratchaburi,Rayong,Roi Et,Sa kaeo,Sakon Nakhon,Samut Prakarn,Samut Sakhon,Samut Songkhram,Saraburi,Satun,Si Sa Ket,Sing Buri,Songkhla,Sukhothai,Suphan Buri,Surat Thani,Surin,Tak,Trang,Trat,Ubon Ratchathani,Udon Thani,Uthai Thani,Uttaradit,Yala,Yasothon
Amnat Charoen,1.0,0.1984714709950917,0.22597709908803498,0.411949239646071,0.6395337850261814,0.16486780149305955,0.15736338200976985,0.2831476324817395,0.21183054477100932,0.37830332600179567,0.519239018245285,0.1574193411693678,0.2152968429813972,0.5487031831119966,0.270038777421833,0.13658576288464627,0.5936473504670052,0.3395396671668095,0.46663791666139365,0.4258328722752295,0.4472665838615747,0.20021953749479282,0.3335496063924798,0.7224191001229698,0.3793904138578911,0.1859228393410024,0.24406000724876653,0.69776009131661,0.5698574505540981,0.25656551568040575,0.3243102443835812,0.48064021485434794,0.3774221212914054,0.5740411104899017,0.6961949883299727,0.23155224872010516,0.20115951979984487,0.2480300211284699,0.3144217709454279,0.34400913705947933,0.5247021833567183,0.32214449084514735,0.11774881236459164,0.21444239145463745,0.25643996100512534,0.20033989104940625,0.513854447322337,0.26496894775352686,0.2438651382551853,0.13249042131732794,0.4056722722543526,0.16838866514060985,0.1498520400684233,0.4758980374740218,0.2139452705917263,0.5344785992569051,0.16007765987241965,0.2232275544728397,0.20208457692089732,0.22313381554820885,0.3753184303705157,0.6422792678346521,0.1555108612155032,0.36521044035596,0.26927538447327987,0.13446380770500277,0.2905364394557871,0.5646416460310668,0.4525688739425316,0.31407424577301296,0.31291896081151394,0.6839887989558865,0.6088531661824403,0.2261126134670003,0.41185908035514895,0.25509310957454234,0.43148675798499037
Ang Thong,0.1984714709950917,1.0,0.6839722170819599,0.2111003615343749,0.20572329547199275,0.6593893042851798,0.5179562032870642,0.38440546782104135,0.48860828946729806,0.3301532249464355,0.14137549027155538,0.5981957117785109,0.30685436192328697,0.2634756539480977,0.43688664889152934,0.5477348281284389,0.2494434144038457,0.20233473198136634,0.29941839895104666,0.3101526380758426,0.24915857079430404,0.5117864470327836,0.3325491534557747,0.22888091921147002,0.3517094254481813,0.6980104711653713,0.680614462749808,0.1690894247554553,0.2567319091119519,0.43457768924716267,0.23081339879429644,0.2572871805215242,0.222678251313741,0.24332487178494328,0.19390082024230515,0.7439178002342932,0.8645880387423206,0.30219832897649757,0.2803318965953019,0.2155328475821845,0.14911093033518155,0.4473999386416573,0.587556868023024,0.5732220826426817,0.5532204566223469,0.9282744897774579,0.31908077652802713,0.38201467569407344,0.40876887767601805,0.5043310162393158,0.18212704959387027,0.4428157483582317,0.5743322087151066,0.3138481547920802,0.45235380391327024,0.2586192758973207,0.6419282383446958,0.6444348701371805,0.42360713014706974,0.7938363273891984,0.2667212861752713,0.24779245652554693,0.5602067338771763,0.2295885842112,0.5448487567728223,0.5672707117190628,0.24000226322914736,0.26326129227176387,0.23352565237598927,0.2591267243453496,0.316928071153602,0.21853234593480209,0.24360513414267443,0.45771966988855195,0.433325235440357,0.28817558546422467,0.33881186104617755
Bangkok,0.22597709908803498,0.6839722170819599,1.0,0.23298743942968497,0.15820416900302617,0.689600165208788,0.440858548076884,0.29153698775407,0.5482616978890351,0.2619766712734096,0.12606894740865343,0.6416573738025724,0.3496732212475515,0.29071984486612307,0.3521626238301235,0.477165196581062,0.17875663501124012,0.2312278795428107,0.23816463072521987,0.24563254979154872,0.1426047131014147,0.4634075988490157,0.2688635484170863,0.21231413633518953,0.3697981075467663,0.7395626072889964,0.7813001615288377,0.2313259937872795,0.173940165433772,0.36177772250515133,0.3217746440615431,0.1744221269107802,0.3189351256460124,0.1828260942851231,0.23270976417821232,0.8334363379980874,0.690287541375201,0.3985346573093871,0.3839505677425915,0.27882809329612895,0.12585259626149362,0.3780071226999321,0.5508906526890226,0.4882436037520814,0.48733873075822487,0.6841053819262648,0.2442514083900995,0.4206642422571838,0.42856794023742006,0.45321960982598225,0.28506396820034635,0.39133315983496963,0.5923383890015043,0.29798907685111214,0.396928386395182,0.19116769343290646,0.6470755153096528,0.8481059953379115,0.44798333868878903,0.7286711956904894,0.29740563190585306,0.19056428218866844,0.48253280371192153,0.28053679018685923,0.4989514813446948,0.5107918155233782,0.2700365070054105,0.21599740915269838,0.16725202538111822,0.3148712114371895,0.4413672654901738,0.18738031553066242,0.20912739985124093,0.35322101304497494,0.3473055807994882,0.38404299061397995,0.2770427361091543
Bueng Kan,0.411949239646071,0.2111003615343749,0.23298743942968497,1.0,0.3819523681721516,0.2424153062769504,0.41340649305441823,0.4935795312755358,0.25294549612151385,0.4446663184070307,0.30701508706055636,0.2611271255953391,0.21700104157279848,0.5652550997575876,0.5313169204272166,0.3169572060919663,0.3933075353220269,0.17770172558735897,0.4430651410388686,0.44778516837380694,0.4506471745658886,0.46361255598338813,0.4779612394766043,0.43895263358383907,0.5505237064121236,0.21958760982922174,0.18898908090743174,0.4863480425353569,0.38596624198971236,0.5018410625565924,0.23579778421668998,0.4826818497112825,0.22044640443987246,0.4950389578525981,0.49266974932223057,0.21586365714686565,0.1867905395194056,0.26330463343194155,0.23135938583165316,0.18723486709056048,0.31180673983996293,0.5046731570339248,0.24271027496468783,0.37281534685224443,0.41484609707502207,0.19897895027063683,0.43302643406693314,0.22131956840546063,0.3861868052812435,0.2855275446607003,0.29875089344594696,0.28066435758044445,0.2553133619172704,0.5545779026644817,0.3824455973260599,0.4987709793373866,0.2792775818449915,0.23986942145954082,0.35470876034344495,0.1952717632427634,0.17720373991832325,0.3696767141616931,0.4132476780511704,0.1850149943316615,0.41134619201754397,0.3627663370073846,0.18531712476736065,0.5165467764239162,0.47425154228531097,0.24595311042972132,0.27956760063676067,0.36366077592733986,0.4953204037544189,0.47274202790131514,0.42765949505656686,0.2620464064902901,0.5227587515709446
Buri Ram,0.6395337850261814,0.20572329547199275,0.15820416900302617,0.3819523681721516,1.0,0.120953154139731,0.2096518009681696,0.346371976141519,0.19461652853976696,0.41002457559707023,0.5436387002632396,0.100896342611215,0.21189757369389522,0.4655894669969406,0.33395351152021785,0.1692840215519789,0.7209236216760926,0.36368583537704047,0.49556388811519386,0.4572045679448241,0.5658689687207734,0.2225411401803074,0.3680784227764249,0.6785942094752443,0.3196382534180556,0.14481180982851954,0.1855424535846082,0.5477167513869791,0.7335236408261654,0.3214808696079118,0.28343299672840494,0.5564180690132673,0.30548986951216184,0.6272515464322515,0.5870126812777883,0.18448122364975228,0.21055023053304694,0.18544227124666296,0.23485037680820053,0.328085928268912,0.5575345701719676,0.363470303983773,0.11810441455652543,0.24789622863564031,0.26782894622176323,0.20977122128248366,0.5767160360777622,0.22449399811854476,0.2447423559311158,0.1608857222688794,0.34212403413711556,0.22238026912536493,0.10371240517721962,0.4392001407397291,0.2728049241875742,0.5679488635569881,0.12355335774946669,0.14177503117254953,0.1895146405522461,0.20517830854146693,0.37815474068061733,0.7574095204274554,0.19543617383167877,0.35292371465116446,0.271192674178054,0.15705698927697154,0.3162230774556499,0.6023265910996942,0.5128811501363896,0.3142457288444505,0.22575718136994755,0.7648525603369234,0.6164577864119876,0.3066276831250982,0.45147822246149494,0.19634098373048514,0.4457396724576604
Chachoengsao,0.16486780149305955,0.6593893042851798,0.689600165208788,0.2424153062769504,0.120953154139731,1.0,0.49282389417139005,0.3464728392477999,0.5025874611696298,0.3251169990805759,0.1104118492927661,0.7680694484556061,0.3335338793213399,0.27516647695467583,0.38399230638313797,0.5495993808487941,0.1597090797082601,0.19327536581608357,0.2812578135557722,0.2994492956438046,0.1735575631711159,0.512154982632063,0.3344551611864529,0.1730944321961445,0.3790621529999966,0.7839938587838708,0.6382339480959323,0.17919090389375586,0.15307594881551323,0.37241152708706343,0.2576932625883669,0.2071608341540474,0.25718368398848646,0.18498340502926994,0.18381086370615093,0.6740063173598244,0.6382567040016973,0.36534326292666874,0.34318405197805224,0.22456468715389943,0.11520186945533381,0.4069862682625108,0.6275425110309226,0.5155936282255837,0.5099070758210893,0.6534757830807338,0.24229856472164638,0.4151872926146535,0.4258291974142959,0.5205002939701284,0.2157977005895162,0.43029075940904504,0.7020586042655856,0.3092822264659275,0.4180601283687148,0.209589620958593,0.7357444024727879,0.7012627397618691,0.4487551775537636,0.6690552011450223,0.24235066327968913,0.15171100727322476,0.538957840973022,0.22335937787279253,0.4979030851395751,0.5542200411466106,0.23577920139699893,0.19125886701164646,0.22219194067422876,0.2685487594582601,0.382088054305011,0.13669210452110062,0.19756341865853827,0.39417070693648393,0.3563408469242606,0.3493019361382269,0.30388565944391865
Chai Nat,0.15736338200976985,0.5179562032870642,0.440858548076884,0.41340649305441823,0.2096518009681696,0.49282389417139005,1.0,0.49426812226030753,0.4416218880753615,0.3626439194699991,0.1761425544493022,0.47715345836574724,0.2983588026393187,0.2958762149255186,0.6262414433292124,0.6172549994814895,0.2377549467990988,0.16805463990193023,0.3264566879852575,0.3409629011487937,0.3724896449905691,0.6933699546062411,0.41865665757061754,0.19811377331286617,0.39217846784188437,0.4826396662309592,0.4263992160281905,0.17947417426575135,0.26358015265085755,0.6356386893970773,0.20385042037922155,0.3936530966527476,0.15530873369267784,0.295581042593097,0.20190218975948268,0.45388538296020975,0.49705861107823984,0.28042459684572824,0.195972474082623,0.16170023138595666,0.18689949739897482,0.5085776723791214,0.5471755397329815,0.5411483624715442,0.5198634752509641,0.5081483501414044,0.33726760854840854,0.2746856277114,0.549146328507321,0.5878014321561198,0.17362224957146122,0.5754702463637278,0.48413915360466214,0.350061145119239,0.6315509783194121,0.326251116145387,0.500995803918016,0.4336438762494417,0.5759317494561315,0.47424907662715365,0.17631491013814357,0.2182161536097838,0.7424300684430294,0.16635879924017924,0.5264230961110296,0.7370243639182252,0.21938793056496636,0.31800356542963104,0.33319929302827994,0.236551188833336,0.2767769208272737,0.1863946776917298,0.26685444944573944,0.6600137674125702,0.41799880851719284,0.27218805879569663,0.38676458470720726
Chaiyaphum,0.2831476324817395,0.38440546782104135,0.29153698775407,0.4935795312755358,0.346371976141519,0.3464728392477999,0.49426812226030753,1.0,0.20246412996595853,0.5451750776364762,0.2138614279405547,0.34345139406078085,0.2002643501159917,0.4644788237536641,0.6248226895349425,0.439009985726421,0.4166310322055328,0.1217388303876844,0.48814332636732116,0.5164214054871331,0.5248990619362284,0.5124842813936581,0.5743609314812311,0.3800600374289361,0.5299820047704917,0.3158120968197926,0.24553575637432518,0.2881634817859575,0.41940829789023865,0.5652375829243886,0.10793900186524033,0.49432661495337243,0.08260661872855649,0.5002558058042378,0.3452262231435821,0.30393429677676886,0.35026956880693405,0.17602769750628783,0.13239333928925565,0.09509811015650342,0.22939038484570648,0.6052509089750848,0.3658271269394142,0.5740270699221187,0.5833145898459695,0.37082422571507345,0.47007499565812394,0.24561023638143542,0.29441296767489045,0.35957710560378014,0.10901363831110067,0.31134412393684247,0.3479338163915451,0.5484932049479038,0.39070812636220453,0.5191355986921805,0.4073021196152875,0.27905238874938304,0.2892100439185803,0.32700016124976256,0.1334492117690822,0.366342145036291,0.532324893435096,0.10523049829131549,0.5291840938062923,0.46162153888304,0.1462343298985228,0.4998839670245345,0.47855537586496655,0.17129073641062328,0.1097780116218037,0.3143391054543071,0.4692951018088037,0.6167881075174984,0.5476741174946733,0.1678134406533077,0.6068227930092415
Chanthaburi,0.21183054477100932,0.48860828946729806,0.5482616978890351,0.25294549612151385,0.19461652853976696,0.5025874611696298,0.4416218880753615,0.20246412996595853,1.0,0.18033716787515022,0.22301069969745543,0.4841312832905407,0.4054819872327666,0.1791887671088017,0.31402558462462893,0.4310686547550395,0.16411091066480823,0.35823303855473854,0.1708433958010033,0.17622309292202745,0.1462097475322926,0.4513297551322758,0.18692723833206518,0.16711499035433997,0.21475440416363717,0.5388057885286697,0.5655003305475483,0.23370223120905997,0.17690429291007115,0.3423739059853763,0.4237415380179747,0.1632055605944449,0.3956322962721887,0.1334214836737525,0.19456329395303112,0.5477618546811462,0.5100741856175889,0.4390056736008038,0.4267767106554036,0.3893396311805577,0.21776635627784666,0.3053391036514596,0.46967599630908075,0.30765138570702183,0.296132382228743,0.49846742656608667,0.19158513712077718,0.3957728664785868,0.5977172500246988,0.4879403297768552,0.4097264067663487,0.5027946506723444,0.46148495068717876,0.16411387891721507,0.5222727602018379,0.12045846207467586,0.448371305540198,0.5440874426027229,0.5508153276640362,0.5313146093230927,0.3941572996099749,0.18081930446808375,0.4337925312648833,0.3858024911594649,0.307673309751481,0.4478513800425712,0.3869520959898023,0.17062742397823125,0.20979023047204445,0.4389628169383942,0.561253438307681,0.20198872156864106,0.14113062080873642,0.31655916300327774,0.20773669354469632,0.4375726111426075,0.15168886886034597
Chiang Mai,0.37830332600179567,0.3301532249464355,0.2619766712734096,0.4446663184070307,0.41002457559707023,0.3251169990805759,0.3626439194699991,0.5451750776364762,0.18033716787515022,1.0,0.31596378834425143,0.3190387370926969,0.15223620417165912,0.5183388706902867,0.4739728019828433,0.3738202865679538,0.4801521409791528,0.1543058251230251,0.675640867585663,0.7603670430092551,0.5085298001247263,0.41170541793034854,0.7040602108510808,0.4713038207482748,0.5279554686569725,0.30943094432434065,0.22541292956352083,0.39240810051608527,0.4487678298371021,0.39946812322960085,0.10871740339487251,0.5578572111362957,0.1081325901166385,0.5555861443755833,0.4356870309688577,0.27146516083319017,0.2916778380718021,0.13280824893215262,0.14466133481977098,0.12115751764104994,0.33286329407136456,0.5515935089393835,0.3160353099897657,0.4732306678565861,0.5070471043166457,0.31662289292459406,0.5669233953760296,0.2029698533820555,0.228876498799514,0.2989322108161006,0.13236911210462193,0.25191622532773306,0.3237523890327659,0.5823837991870315,0.2896019450275723,0.5633837348464568,0.3539401957558975,0.2558664438421288,0.173275591886078,0.3000310936043348,0.13208810384243297,0.4128341913861016,0.39887407031248845,0.11693262149058498,0.4683899033446587,0.3131143718507798,0.14374316664472947,0.494931537263128,0.5883810965123711,0.14700630687150296,0.14243732971709389,0.37595569947394825,0.5438003856596828,0.42681785883315326,0.5833870543335649,0.1306968583317483,0.6102042819837256
