feature_group,feature
weather,weather_mean_temperature_mean
weather,weather_mean_humidity_mean
weather,weather_mean_rainfall_sum
weather,weather_mean_leaf_wet_hours
weather,weather_mean_leaf_wet_ratio
weather,weather_mean_regional_leaf_wet_accumulation
weather,weather_std_temperature_mean
weather,weather_std_humidity_mean
weather,weather_std_rainfall_sum
weather,weather_std_leaf_wet_hours
weather,weather_std_leaf_wet_ratio
weather,weather_std_regional_leaf_wet_accumulation
host,host_mean_susceptibility_score
host,host_mean_host_weighted_risk
host,host_mean_host_weighted_rolling_2w
host,host_mean_host_weighted_rolling_3w
host,host_mean_total_pov_area
host,host_mean_pov_variety_count
host,host_std_susceptibility_score
host,host_std_host_weighted_risk
host,host_std_host_weighted_rolling_2w
host,host_std_host_weighted_rolling_3w
host,host_std_total_pov_area
host,host_std_pov_variety_count
pressure,pressure_mean_neighbor_prevweek_blast
pressure,pressure_mean_neighbor_prevweek_risk
pressure,pressure_mean_regional_neighbor_pressure_2w
pressure,pressure_mean_regional_neighbor_pressure_3w
pressure,pressure_mean_regional_host_pressure
pressure,pressure_mean_regional_wind_alignment_frequency
pressure,pressure_mean_wind_aligned_neighbor_blast
pressure,pressure_std_neighbor_prevweek_blast
pressure,pressure_std_neighbor_prevweek_risk
pressure,pressure_std_regional_neighbor_pressure_2w
pressure,pressure_std_regional_neighbor_pressure_3w
pressure,pressure_std_regional_host_pressure
pressure,pressure_std_regional_wind_alignment_frequency
pressure,pressure_std_wind_aligned_neighbor_blast
outbreak_history,outbreak_history_blast_any_frequency
outbreak_history,outbreak_history_tplus1_frequency
outbreak_history,outbreak_history_positive_weeks
outbreak_history,outbreak_history_rows
outbreak_history,outbreak_history_month_01
outbreak_history,outbreak_history_month_02
outbreak_history,outbreak_history_month_03
outbreak_history,outbreak_history_month_04
outbreak_history,outbreak_history_month_05
outbreak_history,outbreak_history_month_06
outbreak_history,outbreak_history_month_07
outbreak_history,outbreak_history_month_08
outbreak_history,outbreak_history_month_09
outbreak_history,outbreak_history_month_10
outbreak_history,outbreak_history_month_11
outbreak_history,outbreak_history_month_12
outbreak_history,outbreak_history_week_q1
outbreak_history,outbreak_history_week_q2
outbreak_history,outbreak_history_week_q3
outbreak_history,outbreak_history_week_q4
