model,sequence_length,feature_set,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
gru,2,core_no_BUS,train,15700,638,0.7999999999999999,0.4065934065934066,0.6959247648902821,0.5132947976878612,0.9508916436930072,0.557154794560954,14414,648,194,444
gru,2,core_no_BUS,validation,3871,294,0.7999999999999999,0.27139874739039666,0.4421768707482993,0.33635187580853815,0.7656741198016808,0.2882363117095545,3228,349,164,130
gru,2,core_no_BUS,test,3927,160,0.7999999999999999,0.22746781115879827,0.33125,0.26972010178117045,0.7545493761614017,0.20420071146078123,3587,180,107,53
tcn,2,core_no_BUS,train,15700,638,0.85,0.5507399577167019,0.8166144200626959,0.6578282828282829,0.9825693299461494,0.6967912179354845,14637,425,117,521
tcn,2,core_no_BUS,validation,3871,294,0.85,0.3421828908554572,0.3945578231292517,0.36650868878357035,0.7659156477799396,0.2855098034167847,3354,223,178,116
tcn,2,core_no_BUS,test,3927,160,0.85,0.23076923076923078,0.31875,0.2677165354330709,0.7518897663923547,0.19356781156915603,3597,170,109,51
hybrid_dnn_gru,2,core_no_BUS,train,15700,638,0.75,0.41080196399345337,0.786833855799373,0.5397849462365591,0.9612968590848527,0.5654467339499059,14342,720,136,502
hybrid_dnn_gru,2,core_no_BUS,validation,3871,294,0.75,0.272552783109405,0.48299319727891155,0.34846625766871164,0.7785350091951793,0.2663182650690563,3198,379,152,142
hybrid_dnn_gru,2,core_no_BUS,test,3927,160,0.75,0.2581967213114754,0.39375,0.3118811881188119,0.7720118794796922,0.1972437341306218,3586,181,97,63
hybrid_dnn_tcn,2,core_no_BUS,train,15700,638,0.7999999999999999,0.4231111111111111,0.7460815047021944,0.5399886557005105,0.9547733526918414,0.5330395878267239,14413,649,162,476
hybrid_dnn_tcn,2,core_no_BUS,validation,3871,294,0.7999999999999999,0.3068181818181818,0.45918367346938777,0.3678474114441417,0.7789847837373697,0.28104747117893986,3272,305,159,135
hybrid_dnn_tcn,2,core_no_BUS,test,3927,160,0.7999999999999999,0.27705627705627706,0.4,0.3273657289002557,0.7843973984603133,0.21565929061285688,3600,167,96,64
gru,4,core_no_BUS,train,15084,627,0.85,0.4104903078677309,0.5741626794258373,0.4787234042553191,0.939636091807868,0.4559170115524232,13940,517,267,360
gru,4,core_no_BUS,validation,3717,268,0.85,0.31788079470198677,0.3582089552238806,0.3368421052631579,0.7728635382092149,0.2726966340764413,3243,206,172,96
gru,4,core_no_BUS,test,3773,159,0.85,0.24855491329479767,0.27044025157232704,0.25903614457831325,0.7624037199848248,0.19767648022448273,3484,130,116,43
tcn,4,core_no_BUS,train,15084,627,0.85,0.409919028340081,0.645933014354067,0.5015479876160991,0.9370003262162587,0.4449726033696412,13874,583,222,405
tcn,4,core_no_BUS,validation,3717,268,0.85,0.2786885245901639,0.3805970149253731,0.3217665615141956,0.7552394594150154,0.2375194297981023,3185,264,166,102
tcn,4,core_no_BUS,test,3773,159,0.85,0.2336065573770492,0.3584905660377358,0.2828784119106699,0.777733691131275,0.16184578497558957,3427,187,102,57
hybrid_dnn_gru,4,core_no_BUS,train,15084,627,0.85,0.5182232346241458,0.7256778309409888,0.6046511627906976,0.9660293259260069,0.6168632119513455,14034,423,172,455
hybrid_dnn_gru,4,core_no_BUS,validation,3717,268,0.85,0.32407407407407407,0.3917910447761194,0.35472972972972977,0.7762914191004964,0.26654349595829985,3230,219,163,105
hybrid_dnn_gru,4,core_no_BUS,test,3773,159,0.85,0.2660098522167488,0.33962264150943394,0.29834254143646405,0.7662009724586079,0.1768835598121578,3465,149,105,54
hybrid_dnn_tcn,4,core_no_BUS,train,15084,627,0.7999999999999999,0.4769392033542977,0.7256778309409888,0.575585072738773,0.959386351583903,0.5477792380360762,13958,499,172,455
hybrid_dnn_tcn,4,core_no_BUS,validation,3717,268,0.7999999999999999,0.3160621761658031,0.4552238805970149,0.3730886850152905,0.779784752664627,0.26674462337561805,3185,264,146,122
hybrid_dnn_tcn,4,core_no_BUS,test,3773,159,0.7999999999999999,0.2727272727272727,0.33962264150943394,0.3025210084033614,0.7736162303828924,0.1948766518147569,3470,144,105,54
