model,sequence_length,region,rows,positive_rows,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
gru,2,Central,714,10,0.14285714285714285,0.3,0.19354838709677416,0.5553977272727273,0.06669575238228564,686,18,7,3
gru,2,East,408,6,0.18181818181818182,0.3333333333333333,0.23529411764705885,0.8810116086235489,0.3034320893326834,393,9,4,2
gru,2,North,867,18,0.0,0.0,0.0,0.2777777777777778,0.014233601065912769,834,15,18,0
gru,2,Northeast,1020,120,0.281437125748503,0.39166666666666666,0.32752613240418116,0.7187777777777777,0.2955051131908912,780,120,73,47
gru,2,South,714,4,0.05263157894736842,0.25,0.08695652173913043,0.9323943661971831,0.06169356123359245,692,18,3,1
gru,2,West,204,2,0.0,0.0,0.0,0.4430693069306931,0.013084975369458128,202,0,2,0
gru,4,Central,686,10,0.0,0.0,0.0,0.6502958579881657,0.04487295787396624,663,13,10,0
gru,4,East,392,5,0.0,0.0,0.0,0.8098191214470284,0.13663293391307985,385,2,5,0
gru,4,North,833,18,0.0,0.0,0.0,0.25153374233128833,0.014340132313039038,815,0,18,0
gru,4,Northeast,980,120,0.28104575163398693,0.35833333333333334,0.31501831501831506,0.7115988372093023,0.27451948166585766,750,110,77,43
gru,4,South,686,4,0.0,0.0,0.0,0.9409824046920822,0.07288402457757295,677,5,4,0
gru,4,West,196,2,0.0,0.0,0.0,0.3221649484536082,0.011015981735159816,194,0,2,0
hybrid_dnn_gru,2,Central,714,10,0.09523809523809523,0.2,0.12903225806451613,0.5561079545454546,0.052995645334786255,685,19,8,2
hybrid_dnn_gru,2,East,408,6,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.8325041459369817,0.3322032436162871,395,7,4,2
hybrid_dnn_gru,2,North,867,18,0.0,0.0,0.0,0.286284517733281,0.014349386212430622,828,21,18,0
hybrid_dnn_gru,2,Northeast,1020,120,0.3240223463687151,0.48333333333333334,0.38795986622073575,0.747462962962963,0.28890583266034864,779,121,62,58
hybrid_dnn_gru,2,South,714,4,0.07142857142857142,0.25,0.11111111111111112,0.9228873239436619,0.05452035886818496,697,13,3,1
hybrid_dnn_gru,2,West,204,2,0.0,0.0,0.0,0.48267326732673266,0.014107699154428126,202,0,2,0
hybrid_dnn_gru,4,Central,686,10,0.04,0.1,0.05714285714285714,0.592603550295858,0.04144566643872306,652,24,9,1
hybrid_dnn_gru,4,East,392,5,0.5,0.4,0.4444444444444445,0.7984496124031009,0.260314237370075,385,2,3,2
hybrid_dnn_gru,4,North,833,18,0.0,0.0,0.0,0.3464212678936605,0.016314506153679784,804,11,18,0
hybrid_dnn_gru,4,Northeast,980,120,0.35766423357664234,0.4083333333333333,0.3813229571984436,0.7366182170542636,0.2869805725181207,772,88,71,49
hybrid_dnn_gru,4,South,686,4,0.07692307692307693,0.5,0.13333333333333336,0.9314516129032258,0.058182315360330125,658,24,2,2
hybrid_dnn_gru,4,West,196,2,0.0,0.0,0.0,0.3969072164948454,0.012640649480131036,194,0,2,0
hybrid_dnn_tcn,2,Central,714,10,0.125,0.1,0.11111111111111112,0.6160511363636364,0.05042006033562849,697,7,9,1
hybrid_dnn_tcn,2,East,408,6,0.4,0.3333333333333333,0.3636363636363636,0.8171641791044776,0.22681170115079105,399,3,4,2
hybrid_dnn_tcn,2,North,867,18,0.0,0.0,0.0,0.31494568773720716,0.015135293986441058,831,18,18,0
hybrid_dnn_tcn,2,Northeast,1020,120,0.3279569892473118,0.5083333333333333,0.39869281045751637,0.7480277777777777,0.3161495596857794,775,125,59,61
hybrid_dnn_tcn,2,South,714,4,0.0,0.0,0.0,0.9355633802816901,0.056681293129312936,696,14,4,0
hybrid_dnn_tcn,2,West,204,2,0.0,0.0,0.0,0.4034653465346535,0.012262312705771687,202,0,2,0
hybrid_dnn_tcn,4,Central,686,10,0.0,0.0,0.0,0.6096153846153847,0.034364288957806924,663,13,10,0
hybrid_dnn_tcn,4,East,392,5,0.0,0.0,0.0,0.8454780361757106,0.12239947502019155,384,3,5,0
hybrid_dnn_tcn,4,North,833,18,0.0,0.0,0.0,0.3316291751874574,0.01612974307665585,803,12,18,0
hybrid_dnn_tcn,4,Northeast,980,120,0.34394904458598724,0.45,0.3898916967509025,0.7246899224806203,0.289622414213924,757,103,66,54
hybrid_dnn_tcn,4,South,686,4,0.0,0.0,0.0,0.939516129032258,0.05616461241461241,669,13,4,0
hybrid_dnn_tcn,4,West,196,2,0.0,0.0,0.0,0.4948453608247423,0.014780577001219016,194,0,2,0
tcn,2,Central,714,10,0.05,0.1,0.06666666666666667,0.575,0.05872346465353656,685,19,9,1
tcn,2,East,408,6,0.13333333333333333,0.3333333333333333,0.19047619047619044,0.8971807628524047,0.1846706874243499,389,13,4,2
tcn,2,North,867,18,0.0,0.0,0.0,0.3296688915063474,0.01548865640271869,826,23,18,0
tcn,2,Northeast,1020,120,0.32653061224489793,0.4,0.35955056179775274,0.727611111111111,0.2980905421477955,801,99,72,48
tcn,2,South,714,4,0.0,0.0,0.0,0.9242957746478873,0.04423829403464878,694,16,4,0
tcn,2,West,204,2,0.0,0.0,0.0,0.23019801980198018,0.00944622760329907,202,0,2,0
tcn,4,Central,686,10,0.0,0.0,0.0,0.5670118343195265,0.029810561180563105,667,9,10,0
tcn,4,East,392,5,0.0,0.0,0.0,0.6775193798449612,0.022457870773502493,382,5,5,0
tcn,4,North,833,18,0.0,0.0,0.0,0.3222222222222222,0.016001273007672512,795,20,18,0
tcn,4,Northeast,980,120,0.296875,0.475,0.3653846153846154,0.7341085271317829,0.25510680884236586,725,135,63,57
tcn,4,South,686,4,0.0,0.0,0.0,0.9303519061583578,0.06177442287700044,664,18,4,0
tcn,4,West,196,2,0.0,0.0,0.0,0.29381443298969073,0.01066610896162292,194,0,2,0
