model,sequence_length,epoch,loss,val_loss,roc_auc,val_roc_auc,pr_auc,val_pr_auc
gru,2,1,0.5670429468154907,0.6516637206077576,0.7916842103004456,0.7294378280639648,0.19676730036735535,0.1963784396648407
gru,2,2,0.4620528221130371,0.6385219097137451,0.8661671876907349,0.7477235198020935,0.2668721079826355,0.23092776536941528
gru,2,3,0.4161965250968933,0.5276216268539429,0.8939672112464905,0.7604618072509766,0.29456835985183716,0.26363101601600647
gru,2,4,0.38958173990249634,0.5404080748558044,0.9071573615074158,0.7645111680030823,0.334613561630249,0.27221035957336426
gru,2,5,0.3737528920173645,0.5308981537818909,0.9131758213043213,0.7663501501083374,0.3510112762451172,0.280526340007782
gru,2,6,0.3517741858959198,0.5046400427818298,0.9238651990890503,0.7690441608428955,0.39500290155410767,0.27831828594207764
gru,2,7,0.33482518792152405,0.49956098198890686,0.9304344654083252,0.7691853046417236,0.41783082485198975,0.279157429933548
gru,2,8,0.32451215386390686,0.5207147598266602,0.9346413016319275,0.7653089761734009,0.435862272977829,0.285495400428772
gru,2,9,0.32082369923591614,0.5481378436088562,0.9359617829322815,0.7639577388763428,0.4579682946205139,0.2684604227542877
gru,2,10,0.31652238965034485,0.5270310044288635,0.9374862909317017,0.7582034468650818,0.4533405900001526,0.25980937480926514
gru,2,11,0.30719342827796936,0.560267984867096,0.9416828155517578,0.7668276429176331,0.48003214597702026,0.26724478602409363
gru,2,12,0.2976328134536743,0.5471230149269104,0.9449812769889832,0.7649709582328796,0.4864724278450012,0.26829665899276733
gru,2,13,0.2883650064468384,0.544701874256134,0.9479001760482788,0.7693108916282654,0.513542652130127,0.2802104651927948
gru,2,14,0.2816919684410095,0.5120571255683899,0.950558602809906,0.767301619052887,0.506158709526062,0.2735704183578491
gru,2,15,0.2687390148639679,0.5119147896766663,0.9547842144966125,0.7659223675727844,0.5307875871658325,0.27176547050476074
gru,2,16,0.2621798515319824,0.5857523679733276,0.9574964642524719,0.7602702379226685,0.5389844179153442,0.262145072221756
tcn,2,1,0.5732060074806213,0.6088735461235046,0.785219132900238,0.7079770565032959,0.17957039177417755,0.16814559698104858
tcn,2,2,0.4473223388195038,0.5913195013999939,0.8753575086593628,0.7324212193489075,0.2782251536846161,0.2255595326423645
tcn,2,3,0.38137713074684143,0.5742624998092651,0.9108809232711792,0.7483929991722107,0.3790943920612335,0.23723962903022766
tcn,2,4,0.3362136483192444,0.5116719007492065,0.9306013584136963,0.7592816948890686,0.42570406198501587,0.256197452545166
tcn,2,5,0.3149111270904541,0.5067060589790344,0.9384366869926453,0.7642999887466431,0.4248519539833069,0.257940411567688
tcn,2,6,0.30767622590065,0.44582244753837585,0.9421007633209229,0.7599382996559143,0.4530494809150696,0.24440598487854004
tcn,2,7,0.282151460647583,0.5058817863464355,0.9502158761024475,0.7666392922401428,0.4706729054450989,0.26384782791137695
tcn,2,8,0.27645400166511536,0.48867425322532654,0.951816976070404,0.7674955725669861,0.4771294891834259,0.26478880643844604
tcn,2,9,0.2689048945903778,0.47290799021720886,0.9550393223762512,0.7655680775642395,0.5160551071166992,0.26946794986724854
tcn,2,10,0.2674020528793335,0.5512774586677551,0.9546257257461548,0.7615353465080261,0.49283719062805176,0.26627376675605774
tcn,2,11,0.2498837113380432,0.5163565278053284,0.9607160091400146,0.766189455986023,0.5385714769363403,0.26823607087135315
tcn,2,12,0.2428450882434845,0.4833729863166809,0.9625177383422852,0.7582747340202332,0.5416219234466553,0.266771137714386
tcn,2,13,0.2327347844839096,0.5041760802268982,0.9652151465415955,0.7596392035484314,0.5467077493667603,0.2754940390586853
tcn,2,14,0.22860310971736908,0.5197147130966187,0.9657906293869019,0.7599001526832581,0.5549105405807495,0.26647651195526123
tcn,2,15,0.22442090511322021,0.4952521324157715,0.9670119881629944,0.750649094581604,0.5664185285568237,0.24852320551872253
tcn,2,16,0.22357997298240662,0.5434120893478394,0.9678354263305664,0.7551862597465515,0.5657190680503845,0.2672387659549713
tcn,2,17,0.22509434819221497,0.48259004950523376,0.9671885967254639,0.7479355931282043,0.5804864168167114,0.2634317874908447
tcn,2,18,0.205038920044899,0.48107147216796875,0.9719571471214294,0.752113401889801,0.5733734369277954,0.2583453953266144
tcn,2,19,0.2121511548757553,0.5045901536941528,0.9700586795806885,0.7590101957321167,0.5883800983428955,0.2804147005081177
tcn,2,20,0.19771169126033783,0.5345563292503357,0.9735502004623413,0.7464622259140015,0.5947022438049316,0.25883373618125916
tcn,2,21,0.19462448358535767,0.5702318549156189,0.973996102809906,0.7349192500114441,0.6049251556396484,0.2412721812725067
tcn,2,22,0.19483014941215515,0.5556578040122986,0.974473774433136,0.7599202990531921,0.6197261810302734,0.27169209718704224
tcn,2,23,0.19083097577095032,0.5584046840667725,0.9747075438499451,0.7499139308929443,0.595283031463623,0.26918578147888184
tcn,2,24,0.18267294764518738,0.6034895777702332,0.9765980839729309,0.7512784004211426,0.6168148517608643,0.25299882888793945
tcn,2,25,0.18825049698352814,0.5484709739685059,0.9757335782051086,0.7433119416236877,0.6366692185401917,0.26309651136398315
tcn,2,26,0.17874972522258759,0.5621730089187622,0.9775857925415039,0.7474343776702881,0.6277987957000732,0.2680305242538452
tcn,2,27,0.17154258489608765,0.5660081505775452,0.9791885018348694,0.7421659827232361,0.6479297876358032,0.26787054538726807
hybrid_dnn_gru,2,1,0.5403665900230408,0.579761266708374,0.8061904907226562,0.7352601885795593,0.22714988887310028,0.20982323586940765
hybrid_dnn_gru,2,2,0.4443358778953552,0.5653916001319885,0.8784840703010559,0.7539699673652649,0.29588010907173157,0.24689693748950958
hybrid_dnn_gru,2,3,0.3882509768009186,0.5328981876373291,0.9089221358299255,0.7664129137992859,0.37397828698158264,0.24212205410003662
hybrid_dnn_gru,2,4,0.3532005250453949,0.4798387885093689,0.9243438243865967,0.7737410068511963,0.4111865758895874,0.2424284964799881
hybrid_dnn_gru,2,5,0.3245411813259125,0.5227397680282593,0.9360841512680054,0.7743533849716187,0.42547333240509033,0.2584258019924164
hybrid_dnn_gru,2,6,0.30650314688682556,0.4653840661048889,0.9424300193786621,0.770934522151947,0.47304627299308777,0.2400299310684204
hybrid_dnn_gru,2,7,0.28644153475761414,0.4858577251434326,0.9500229358673096,0.7769697904586792,0.4757557511329651,0.26096776127815247
hybrid_dnn_gru,2,8,0.2736228406429291,0.4598057270050049,0.9538629651069641,0.7724463939666748,0.5126470327377319,0.24101132154464722
hybrid_dnn_gru,2,9,0.26515790820121765,0.46964406967163086,0.9565290808677673,0.7711816430091858,0.5345116853713989,0.24208404123783112
hybrid_dnn_gru,2,10,0.2533166706562042,0.5279934406280518,0.9605749845504761,0.7575467824935913,0.5474678874015808,0.23333662748336792
hybrid_dnn_gru,2,11,0.24269786477088928,0.48328137397766113,0.963518500328064,0.7705190181732178,0.5643521547317505,0.24398358166217804
hybrid_dnn_gru,2,12,0.22723352909088135,0.4881284832954407,0.9677734971046448,0.7645439505577087,0.5826042890548706,0.23304630815982819
hybrid_dnn_gru,2,13,0.2187352478504181,0.48929014801979065,0.9699577689170837,0.7679214477539062,0.5984325408935547,0.24239693582057953
hybrid_dnn_gru,2,14,0.22311942279338837,0.46471238136291504,0.9687890410423279,0.7660712003707886,0.5824061036109924,0.24263224005699158
hybrid_dnn_gru,2,15,0.19974707067012787,0.48152536153793335,0.9749937057495117,0.7602193355560303,0.6567642092704773,0.2230224460363388
hybrid_dnn_tcn,2,1,0.542629599571228,0.6097577214241028,0.8082793354988098,0.7440140843391418,0.2190307229757309,0.20660553872585297
hybrid_dnn_tcn,2,2,0.43385055661201477,0.5721271634101868,0.8829635977745056,0.7662308812141418,0.3124053180217743,0.2590034008026123
hybrid_dnn_tcn,2,3,0.36303290724754333,0.5363376140594482,0.9199073910713196,0.7672626376152039,0.3988017439842224,0.27370694279670715
hybrid_dnn_tcn,2,4,0.31973275542259216,0.5038377642631531,0.9375168681144714,0.7786096930503845,0.45605820417404175,0.27792906761169434
hybrid_dnn_tcn,2,5,0.29614731669425964,0.5580986738204956,0.9461304545402527,0.7755877375602722,0.4829467535018921,0.2719026803970337
hybrid_dnn_tcn,2,6,0.28198280930519104,0.4601249694824219,0.9515954256057739,0.7720732092857361,0.5165514349937439,0.2566044330596924
hybrid_dnn_tcn,2,7,0.2582249045372009,0.5192610025405884,0.9587032198905945,0.7665774822235107,0.5390908122062683,0.26319587230682373
hybrid_dnn_tcn,2,8,0.250530868768692,0.4838871955871582,0.9606203436851501,0.7696170210838318,0.5632232427597046,0.26900750398635864
hybrid_dnn_tcn,2,9,0.23511047661304474,0.45240363478660583,0.9653922319412231,0.7682676911354065,0.5807551741600037,0.2594287693500519
hybrid_dnn_tcn,2,10,0.2307710349559784,0.5061495304107666,0.9670418500900269,0.7655470967292786,0.6012874245643616,0.25458574295043945
hybrid_dnn_tcn,2,11,0.21885669231414795,0.5522937774658203,0.969715416431427,0.772369921207428,0.6054909825325012,0.26681751012802124
hybrid_dnn_tcn,2,12,0.20930209755897522,0.5060127973556519,0.9721760153770447,0.7499661445617676,0.6232039928436279,0.22958073019981384
gru,4,1,0.5543482303619385,0.6908624768257141,0.8012259602546692,0.7178329229354858,0.20595167577266693,0.1846277266740799
gru,4,2,0.44759178161621094,0.6679062843322754,0.875102698802948,0.7475354671478271,0.27552005648612976,0.23692801594734192
gru,4,3,0.3989127576351166,0.6015225648880005,0.9018856287002563,0.7718271613121033,0.3194669783115387,0.26335904002189636
gru,4,4,0.37222108244895935,0.5566543340682983,0.9141722917556763,0.7728407979011536,0.3788488507270813,0.27132102847099304
gru,4,5,0.34147173166275024,0.5745736956596375,0.9277746081352234,0.7726861238479614,0.4052606523036957,0.26382777094841003
gru,4,6,0.3333317041397095,0.5333320498466492,0.9309011697769165,0.7662273645401001,0.407523512840271,0.26909729838371277
gru,4,7,0.31105756759643555,0.5375255942344666,0.9401412606239319,0.7701253294944763,0.46397292613983154,0.26865386962890625
gru,4,8,0.30333223938941956,0.5229703783988953,0.9431774020195007,0.7653495073318481,0.4745660424232483,0.25889474153518677
gru,4,9,0.29117122292518616,0.5447734594345093,0.9475038051605225,0.7604913711547852,0.49988114833831787,0.2475535124540329
gru,4,10,0.2801623046398163,0.5031958818435669,0.9519233107566833,0.7661554217338562,0.5264527797698975,0.24685506522655487
gru,4,11,0.2652111053466797,0.522780179977417,0.95661860704422,0.7663604021072388,0.5506359338760376,0.24096819758415222
gru,4,12,0.26338571310043335,0.4752192795276642,0.9568694233894348,0.7644097805023193,0.543781578540802,0.251427561044693
tcn,4,1,0.5597001910209656,0.6476266980171204,0.7953180074691772,0.696063756942749,0.18818672001361847,0.14515361189842224
tcn,4,2,0.44107136130332947,0.6666173338890076,0.8803852796554565,0.7388195395469666,0.27977025508880615,0.20261232554912567
tcn,4,3,0.37146496772766113,0.5844767689704895,0.91529381275177,0.7554049491882324,0.35501033067703247,0.23519007861614227
tcn,4,4,0.3406767249107361,0.5452145934104919,0.9286752343177795,0.7630515694618225,0.40286752581596375,0.2281932681798935
tcn,4,5,0.3064953088760376,0.5348067879676819,0.9417096376419067,0.7625203728675842,0.45634377002716064,0.22915200889110565
