model,feature_set,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
random_forest_core_no_BUS,core_no_BUS,train,16008,643,0.49999999999999994,0.3837129054520359,0.864696734059098,0.5315487571701721,0.9774951554678561,0.7115633965617297,14472,893,87,556
random_forest_core_no_BUS,core_no_BUS,validation,3948,308,0.49999999999999994,0.22566995768688294,0.5194805194805194,0.31465093411996065,0.7418251391465677,0.19476160929546388,3091,549,148,160
random_forest_core_no_BUS,core_no_BUS,test,4004,161,0.49999999999999994,0.36619718309859156,0.32298136645962733,0.3432343234323432,0.7886243116871361,0.24073598690125192,3753,90,109,52
xgboost_core_no_BUS,core_no_BUS,train,16008,643,0.65,0.3795830337886413,0.8211508553654744,0.5191740412979351,0.9625516273528688,0.6369433546915407,14502,863,115,528
xgboost_core_no_BUS,core_no_BUS,validation,3948,308,0.65,0.2572614107883817,0.6038961038961039,0.3608147429679922,0.7789380262594549,0.28012370630892486,3103,537,122,186
xgboost_core_no_BUS,core_no_BUS,test,4004,161,0.65,0.2653061224489796,0.32298136645962733,0.2913165266106443,0.7755247501709165,0.2523368353803849,3699,144,109,52
dnn_no_class_weight_core_no_BUS,core_no_BUS,train,16008,643,0.2,0.45905707196029777,0.5754276827371695,0.5106970324361628,0.9237615128807114,0.5019746073438058,14929,436,273,370
dnn_no_class_weight_core_no_BUS,core_no_BUS,validation,3948,308,0.2,0.33724340175953077,0.37337662337662336,0.35439137134052395,0.765447052947053,0.28485994461888275,3414,226,193,115
dnn_no_class_weight_core_no_BUS,core_no_BUS,test,4004,161,0.2,0.3923076923076923,0.3167701863354037,0.35051546391752575,0.7817601737772799,0.2903871400135668,3764,79,110,51
dnn_class_weight_core_no_BUS,core_no_BUS,train,16008,643,0.7999999999999999,0.4550898203592814,0.7091757387247278,0.5544072948328267,0.9563601912812086,0.527953266753786,14819,546,187,456
dnn_class_weight_core_no_BUS,core_no_BUS,validation,3948,308,0.7999999999999999,0.3393782383419689,0.4253246753246753,0.37752161383285304,0.7669812330526617,0.28948817018917106,3385,255,177,131
dnn_class_weight_core_no_BUS,core_no_BUS,test,4004,161,0.7999999999999999,0.29064039408866993,0.36645962732919257,0.3241758241758242,0.7789802544919132,0.24497270413073738,3699,144,102,59
