column,dtype,missing_count,missing_rate,unique_count,infinite_count,is_constant,min,max,mean,finite_count
province,object,0,0.0,77,,,,,,
region,object,0,0.0,6,,,,,,
datetime,datetime64[ns],0,0.0,418,,,,,,
year,int64,0,0.0,8,0.0,False,2015.0,2022.0,2018.495948931991,32584.0
week,Int64,0,0.0,53,0.0,False,1.0,53.0,26.70924380063835,32584.0
label_source_available,int64,0,0.0,2,0.0,False,0.0,1.0,0.874754480726737,32584.0
label_observed,int64,0,0.0,2,0.0,False,0.0,1.0,0.5252577952369261,32584.0
temperature_mean,float64,28,0.000859317456420329,24784,0.0,False,15.257251908396947,36.0009900990099,27.939965338934062,32556.0
humidity_mean,float64,28,0.000859317456420329,32242,0.0,False,34.48327380952381,97.42066666666666,73.87439877958151,32556.0
rainfall_sum,float64,0,0.0,14255,0.0,False,0.0,898.05,51.52862355757425,32584.0
leaf_wet_hours,int64,0,0.0,137,0.0,False,0.0,145.0,23.214246255831082,32584.0
leaf_wet_ratio,float64,28,0.000859317456420329,3588,0.0,False,0.0,0.9333333333333333,0.18349981715355243,32556.0
rolling_2w_leaf_wet_hours,float64,0,0.0,247,0.0,False,0.0,259.0,46.294162779278174,32584.0
rolling_3w_leaf_wet_hours,float64,0,0.0,352,0.0,False,0.0,396.0,69.15016572550945,32584.0
risk_score,float64,28,0.000859317456420329,18228,0.0,False,0.0,90.19047619047619,23.1040273976361,32556.0
rolling_2w_risk,float64,24,0.0007365578197888534,26360,0.0,False,-2.842170943040401e-14,167.98076923076923,45.99440059120829,32560.0
rolling_3w_risk,float64,20,0.0006137981831573779,27891,0.0,False,-1.0658141036401503e-14,237.14285714285714,68.65275404566937,32564.0
susceptibility_score,float64,0,0.0,3991,0.0,False,0.5,0.6491096664782363,0.5173028296561863,32584.0
total_pov_area,float64,8374,0.2569972992879941,4681,0.0,False,3.0,2649066.0,100138.23841387856,24210.0
pov_variety_count,float64,8374,0.2569972992879941,11,0.0,False,1.0,11.0,6.337050805452292,24210.0
host_weighted_risk,float64,28,0.000859317456420329,27929,0.0,False,0.0,90.81124060150377,23.573051574860557,32556.0
host_weighted_rolling_2w,float64,24,0.0007365578197888534,30905,0.0,False,-2.842170943040401e-14,171.69187722253415,46.917185734164455,32560.0
host_weighted_rolling_3w,float64,20,0.0006137981831573779,31329,0.0,False,-1.075694059397256e-14,237.30998797836105,70.01226499303567,32564.0
neighbor_prevweek_risk,float64,0,0.0,32050,0.0,False,0.0,81.76739659367396,23.399999947942884,32584.0
neighbor_prevweek_blast,float64,0,0.0,7,0.0,False,0.0,1.0,0.03258654554382699,32584.0
spatial_host_weather_risk,float64,28,0.000859317456420329,32314,0.0,False,0.0,81.76739659367396,23.520317732458302,32556.0
prevailing_wind_direction,object,29,0.0008900073655781979,32551,,,,,,
wind_direction_variability,float64,29,0.0008900073655781979,32552,0.0,False,0.0,0.9976494481863808,0.4849640095581635,32555.0
mean_wind_speed,float64,28,0.000859317456420329,25894,0.0,False,0.0,21.685714285714283,6.330858419945924,32556.0
max_wind_speed,float64,28,0.000859317456420329,591,0.0,False,0.0,283.7,20.91312507679111,32556.0
mean_wind_gust,float64,23112,0.7093051804566658,1088,0.0,False,18.4,252.0,39.83121517553833,9472.0
humid_wind_hours,int64,0,0.0,144,0.0,False,0.0,152.0,28.728332924134545,32584.0
leaf_wet_wind_hours,int64,0,0.0,127,0.0,False,0.0,139.0,17.021360176773875,32584.0
wind_aligned_neighbor_blast,float64,0,0.0,5,0.0,False,0.0,0.8,0.008611588509697813,32584.0
wind_aligned_neighbor_count,int64,0,0.0,6,0.0,False,0.0,5.0,1.2919531058188067,32584.0
regional_neighbor_pressure_2w,float64,0,0.0,173,0.0,False,0.0,0.5700000000000001,0.032111116297733854,32584.0
regional_neighbor_pressure_3w,float64,0,0.0,245,0.0,False,0.0,0.54,0.03158867303366179,32584.0
regional_leaf_wet_accumulation,float64,0,0.0,1940,0.0,False,0.0,251.5,69.14674504941,32584.0
regional_host_pressure,float64,0,0.0,531,0.0,False,0.5,0.5748064572170655,0.5173028296561696,32584.0
regional_wind_alignment_frequency,float64,0,0.0,45,0.0,False,0.0,0.17500000000000002,0.008611588509697914,32584.0
bus_feature_available,int32,0,0.0,3,0.0,False,0.0,2.0,0.10376258286275472,32584.0
bus_observed_days,float64,0,0.0,15,0.0,False,0.0,14.0,0.2619997544807267,32584.0
avgbus_mean,float64,31337,0.9617296832801375,270,0.0,False,0.0,5.5,0.3164982624966586,1247.0
avgbus_max,float64,31337,0.9617296832801375,69,0.0,False,0.0,8.0,0.8341058540497194,1247.0
maxbus_max,float64,31337,0.9617296832801375,46,0.0,False,0.0,8.5,1.2049719326383366,1247.0
bus_critical_days,float64,0,0.0,8,0.0,False,0.0,7.0,0.011600785661674442,32584.0
bus_critical_any,float64,0,0.0,2,0.0,False,0.0,1.0,0.005616253375890007,32584.0
bus_critical_ratio,float64,0,0.0,25,0.0,False,0.0,1.0,0.0017242613961862695,32584.0
blast_any,object,4081,0.12524551927326294,2,,,,,,
blast_days,object,4081,0.12524551927326294,2,,,,,,
blast_area,object,4081,0.12524551927326294,1010,,,,,,
blast_t_plus_1,object,4620,0.14178738030935428,2,,,,,,
blast_t_plus_2,object,5159,0.15832924134544563,2,,,,,,
