grouping,year,rows,known_label_rows,positive_rows,positive_rate,blast_t_plus_1_positive,blast_t_plus_2_positive,region
year,2015.0,4081,0,0,,0,0,
year,2016.0,4081,4081,1,0.0002450379808870375,1,1,
year,2017.0,4077,4077,32,0.007848908511160166,32,32,
year,2018.0,4077,4077,28,0.006867794947265146,28,28,
year,2019.0,4081,4081,119,0.029159519725557463,116,115,
year,2020.0,4081,4081,471,0.11541288899779466,467,463,
year,2021.0,4025,4025,308,0.07652173913043478,308,294,
year,2022.0,4081,4081,161,0.03945111492281304,161,160,
region,,5916,5174,59,0.01140316969462698,59,58,Central
region,,3384,2960,115,0.03885135135135135,114,113,East
region,,7200,6299,307,0.04873789490395301,303,294,North
region,,8464,7404,499,0.06739600216099406,497,488,Northeast
region,,5936,5194,119,0.022911051212938006,119,119,South
region,,1684,1472,21,0.014266304347826086,21,21,West
year+region,2015.0,742,0,0,,0,0,Central
year+region,2015.0,424,0,0,,0,0,East
year+region,2015.0,901,0,0,,0,0,North
year+region,2015.0,1060,0,0,,0,0,Northeast
year+region,2015.0,742,0,0,,0,0,South
year+region,2015.0,212,0,0,,0,0,West
year+region,2016.0,742,742,0,0.0,0,0,Central
year+region,2016.0,424,424,0,0.0,0,0,East
year+region,2016.0,901,901,1,0.0011098779134295228,1,1,North
year+region,2016.0,1060,1060,0,0.0,0,0,Northeast
year+region,2016.0,742,742,0,0.0,0,0,South
year+region,2016.0,212,212,0,0.0,0,0,West
year+region,2017.0,742,742,5,0.006738544474393531,5,5,Central
year+region,2017.0,424,424,2,0.0047169811320754715,2,2,East
year+region,2017.0,901,901,13,0.014428412874583796,13,13,North
year+region,2017.0,1056,1056,12,0.011363636363636364,12,12,Northeast
year+region,2017.0,742,742,0,0.0,0,0,South
year+region,2017.0,212,212,0,0.0,0,0,West
year+region,2018.0,742,742,1,0.0013477088948787063,1,1,Central
year+region,2018.0,424,424,8,0.018867924528301886,8,8,East
year+region,2018.0,901,901,7,0.00776914539400666,7,7,North
year+region,2018.0,1056,1056,12,0.011363636363636364,12,12,Northeast
year+region,2018.0,742,742,0,0.0,0,0,South
year+region,2018.0,212,212,0,0.0,0,0,West
year+region,2019.0,742,742,4,0.005390835579514825,4,4,Central
year+region,2019.0,424,424,8,0.018867924528301886,7,7,East
year+region,2019.0,901,901,45,0.049944506104328525,43,42,North
year+region,2019.0,1060,1060,34,0.03207547169811321,34,34,Northeast
year+region,2019.0,742,742,28,0.03773584905660377,28,28,South
year+region,2019.0,212,212,0,0.0,0,0,West
year+region,2020.0,742,742,38,0.05121293800539083,38,38,Central
year+region,2020.0,424,424,65,0.15330188679245282,65,65,East
year+region,2020.0,901,901,110,0.1220865704772475,108,105,North
year+region,2020.0,1060,1060,213,0.2009433962264151,211,210,Northeast
year+region,2020.0,742,742,38,0.05121293800539083,38,38,South
year+region,2020.0,212,212,7,0.0330188679245283,7,7,West
year+region,2021.0,722,722,1,0.0013850415512465374,1,0,Central
year+region,2021.0,416,416,25,0.06009615384615385,25,25,East
year+region,2021.0,893,893,113,0.1265397536394177,113,108,North
year+region,2021.0,1052,1052,108,0.10266159695817491,108,100,Northeast
year+region,2021.0,742,742,49,0.0660377358490566,49,49,South
year+region,2021.0,200,200,12,0.06,12,12,West
year+region,2022.0,742,742,10,0.013477088948787063,10,10,Central
year+region,2022.0,424,424,7,0.01650943396226415,7,6,East
year+region,2022.0,901,901,18,0.01997780244173141,18,18,North
year+region,2022.0,1060,1060,120,0.11320754716981132,120,120,Northeast
year+region,2022.0,742,742,4,0.005390835579514825,4,4,South
year+region,2022.0,212,212,2,0.009433962264150943,2,2,West
