model,level,value,rows,positive_rows,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
dnn_class_weight_core_no_BUS,region,Central,728,10,0.11764705882352941,0.2,0.14814814814814817,0.6474930362116992,0.06369093133591654,703,15,8,2
dnn_class_weight_core_no_BUS,region,East,416,7,0.4,0.2857142857142857,0.3333333333333333,0.8361858190709046,0.2306364255488472,406,3,5,2
dnn_class_weight_core_no_BUS,region,North,884,18,0.0,0.0,0.0,0.2842571208622017,0.014059244826693497,852,14,18,0
dnn_class_weight_core_no_BUS,region,Northeast,1040,120,0.35714285714285715,0.4583333333333333,0.40145985401459855,0.7578260869565219,0.35158656440987424,821,99,65,55
dnn_class_weight_core_no_BUS,region,South,728,4,0.0,0.0,0.0,0.9033149171270718,0.04361935140882509,711,13,4,0
dnn_class_weight_core_no_BUS,region,West,208,2,0.0,0.0,0.0,0.16747572815533984,0.008622994652406417,206,0,2,0
dnn_no_class_weight_core_no_BUS,region,Central,728,10,0.0,0.0,0.0,0.7229805013927576,0.08579385659445021,718,0,10,0
dnn_no_class_weight_core_no_BUS,region,East,416,7,0.4,0.2857142857142857,0.3333333333333333,0.7474676912329724,0.2847670399184848,406,3,5,2
dnn_no_class_weight_core_no_BUS,region,North,884,18,0.0,0.0,0.0,0.3464203233256351,0.014999759698467495,865,1,18,0
dnn_no_class_weight_core_no_BUS,region,Northeast,1040,120,0.4152542372881356,0.4083333333333333,0.4117647058823529,0.7372916666666667,0.38811017109070234,851,69,71,49
dnn_no_class_weight_core_no_BUS,region,South,728,4,0.0,0.0,0.0,0.8846685082872929,0.04916316100399656,718,6,4,0
dnn_no_class_weight_core_no_BUS,region,West,208,2,0.0,0.0,0.0,0.25485436893203883,0.009484527448599305,206,0,2,0
random_forest_core_no_BUS,region,Central,728,10,0.07142857142857142,0.1,0.08333333333333333,0.7416434540389971,0.04277197549597929,705,13,9,1
random_forest_core_no_BUS,region,East,416,7,0.3,0.42857142857142855,0.3529411764705882,0.703807195249738,0.37245568867769074,402,7,4,3
random_forest_core_no_BUS,region,North,884,18,0.0,0.0,0.0,0.5221324095458044,0.02364663071371244,866,0,18,0
random_forest_core_no_BUS,region,Northeast,1040,120,0.41025641025641024,0.4,0.4050632911392405,0.718179347826087,0.32356293953970205,851,69,72,48
random_forest_core_no_BUS,region,South,728,4,0.0,0.0,0.0,0.7907458563535912,0.01738394637491023,723,1,4,0
random_forest_core_no_BUS,region,West,208,2,0.0,0.0,0.0,0.38349514563106796,0.011416361416361417,206,0,2,0
xgboost_core_no_BUS,region,Central,728,10,0.09090909090909091,0.2,0.12500000000000003,0.6725626740947076,0.047753873378765285,698,20,8,2
xgboost_core_no_BUS,region,East,416,7,0.15,0.42857142857142855,0.2222222222222222,0.7488648271044359,0.11219643409424333,392,17,4,3
xgboost_core_no_BUS,region,North,884,18,0.0,0.0,0.0,0.44264819091608926,0.02041055104677865,848,18,18,0
xgboost_core_no_BUS,region,Northeast,1040,120,0.3700787401574803,0.39166666666666666,0.38056680161943324,0.7267934782608697,0.35494671818456075,840,80,73,47
xgboost_core_no_BUS,region,South,728,4,0.0,0.0,0.0,0.863950276243094,0.04661349242589688,715,9,4,0
xgboost_core_no_BUS,region,West,208,2,0.0,0.0,0.0,0.46116504854368934,0.013000000000000001,206,0,2,0
