model,feature_set,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
random_forest_core_no_BUS,core_no_BUS,train,12004,176,0.35,0.2857142857142857,1.0,0.4444444444444445,0.996733482952624,0.8104102708491497,11388,440,0,176
random_forest_core_no_BUS,core_no_BUS,validation,4004,467,0.35,0.3333333333333333,0.3147751605995717,0.32378854625550657,0.7266619808097814,0.2698542972646223,3243,294,320,147
random_forest_core_no_BUS,core_no_BUS,test,3948,308,0.35,0.2542857142857143,0.288961038961039,0.2705167173252279,0.6898200014271443,0.1870683786235612,3379,261,219,89
xgboost_core_no_BUS,core_no_BUS,train,12004,176,0.44999999999999996,0.14986853637160386,0.9715909090909091,0.25968109339407747,0.988067605373997,0.6926026299527587,10858,970,5,171
xgboost_core_no_BUS,core_no_BUS,validation,4004,467,0.44999999999999996,0.27218934911242604,0.39400428265524623,0.3219597550306212,0.6677594278653499,0.26337804314682717,3045,492,283,184
xgboost_core_no_BUS,core_no_BUS,test,3948,308,0.44999999999999996,0.17832167832167833,0.33116883116883117,0.2318181818181818,0.6672902989867275,0.1763732838321468,3170,470,206,102
dnn_no_class_weight_core_no_BUS,core_no_BUS,train,12004,176,0.05,0.18299445471349354,0.5625,0.2761506276150628,0.8922058981768991,0.34161474823463645,11386,442,77,99
dnn_no_class_weight_core_no_BUS,core_no_BUS,validation,4004,467,0.05,0.2547332185886403,0.3169164882226981,0.2824427480916031,0.7006669778463099,0.25043664532870685,3104,433,319,148
dnn_no_class_weight_core_no_BUS,core_no_BUS,test,3948,308,0.05,0.21456692913385828,0.3538961038961039,0.26715686274509803,0.706689738832596,0.2212613750287417,3241,399,199,109
dnn_class_weight_core_no_BUS,core_no_BUS,train,12004,176,0.7,0.1638608305274972,0.8295454545454546,0.2736644798500468,0.9724550949980018,0.44159517585811686,11083,745,30,146
dnn_class_weight_core_no_BUS,core_no_BUS,validation,4004,467,0.7,0.33400402414486924,0.3554603854389722,0.3443983402489627,0.711394199829396,0.31441811575698275,3206,331,301,166
dnn_class_weight_core_no_BUS,core_no_BUS,test,3948,308,0.7,0.28150134048257375,0.3409090909090909,0.30837004405286345,0.6730421364349936,0.20482726885971392,3372,268,203,105
