feature,feature_type,feature_set,included,notes
temperature_mean,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
humidity_mean,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
rainfall_sum,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
leaf_wet_hours,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
leaf_wet_ratio,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
rolling_2w_leaf_wet_hours,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
rolling_3w_leaf_wet_hours,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
risk_score,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
rolling_2w_risk,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
rolling_3w_risk,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
susceptibility_score,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
total_pov_area,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
pov_variety_count,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
host_weighted_risk,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
host_weighted_rolling_2w,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
host_weighted_rolling_3w,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
neighbor_prevweek_risk,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
neighbor_prevweek_blast,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
spatial_host_weather_risk,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
prevailing_wind_direction,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
wind_direction_variability,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
mean_wind_speed,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
max_wind_speed,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
mean_wind_gust,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
humid_wind_hours,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
leaf_wet_wind_hours,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
wind_aligned_neighbor_blast,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
wind_aligned_neighbor_count,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
regional_neighbor_pressure_2w,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
regional_neighbor_pressure_3w,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
regional_leaf_wet_accumulation,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
regional_host_pressure,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
regional_wind_alignment_frequency,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
week_sin,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
week_cos,numeric,core_no_BUS,True,Corrected-label core epidemiological predictor; BUS excluded.
province,categorical_encoded,core_no_BUS,True,Safely one-hot encoded metadata.
region,categorical_encoded,core_no_BUS,True,Safely one-hot encoded metadata.
avgbus_max,excluded,excluded,False,Excluded by Step 9.8 feature policy.
avgbus_mean,excluded,excluded,False,Excluded by Step 9.8 feature policy.
blast_any,excluded,excluded,False,Excluded by Step 9.8 feature policy.
blast_area,excluded,excluded,False,Excluded by Step 9.8 feature policy.
blast_days,excluded,excluded,False,Excluded by Step 9.8 feature policy.
blast_t_plus_1,excluded,excluded,False,Excluded by Step 9.8 feature policy.
blast_t_plus_2,excluded,excluded,False,Excluded by Step 9.8 feature policy.
bus_critical_any,excluded,excluded,False,Excluded by Step 9.8 feature policy.
bus_critical_days,excluded,excluded,False,Excluded by Step 9.8 feature policy.
bus_critical_ratio,excluded,excluded,False,Excluded by Step 9.8 feature policy.
bus_feature_available,excluded,excluded,False,Excluded by Step 9.8 feature policy.
bus_observed_days,excluded,excluded,False,Excluded by Step 9.8 feature policy.
datetime,excluded,excluded,False,Excluded by Step 9.8 feature policy.
label_observed,excluded,excluded,False,Excluded by Step 9.8 feature policy.
label_source_available,excluded,excluded,False,Excluded by Step 9.8 feature policy.
maxbus_max,excluded,excluded,False,Excluded by Step 9.8 feature policy.
week,excluded,excluded,False,Excluded by Step 9.8 feature policy.
year,excluded,excluded,False,Excluded by Step 9.8 feature policy.
