model,level,value,rows,positive_rows,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
dnn_class_weight_core_no_BUS,region,Central,708,1,0.0,0.0,0.0,0.8528995756718529,0.009523809523809525,703,4,1,0
dnn_class_weight_core_no_BUS,region,East,408,25,0.32432432432432434,0.48,0.3870967741935484,0.7068407310704962,0.5171192770218651,358,25,13,12
dnn_class_weight_core_no_BUS,region,North,876,113,0.24285714285714285,0.3008849557522124,0.26877470355731226,0.575975133091314,0.19735020796817315,657,106,79,34
dnn_class_weight_core_no_BUS,region,Northeast,1032,108,0.2913907284768212,0.4074074074074074,0.33976833976833976,0.7106481481481483,0.24145145892378275,817,107,64,44
dnn_class_weight_core_no_BUS,region,South,728,49,0.36585365853658536,0.30612244897959184,0.3333333333333333,0.6213819843106609,0.23320057956830387,653,26,34,15
dnn_class_weight_core_no_BUS,region,West,196,12,0.0,0.0,0.0,0.7740036231884058,0.32979060827590667,184,0,12,0
dnn_no_class_weight_core_no_BUS,region,Central,708,1,0.0,0.0,0.0,0.45685997171145687,0.0025974025974025974,701,6,1,0
dnn_no_class_weight_core_no_BUS,region,East,408,25,0.23404255319148937,0.44,0.3055555555555556,0.80355091383812,0.28813217130878516,347,36,14,11
dnn_no_class_weight_core_no_BUS,region,North,876,113,0.14594594594594595,0.23893805309734514,0.18120805369127518,0.5665108618749928,0.18455318323811704,605,158,86,27
dnn_no_class_weight_core_no_BUS,region,Northeast,1032,108,0.25339366515837103,0.5185185185185185,0.3404255319148936,0.7124919833253166,0.290582515999513,759,165,52,56
dnn_no_class_weight_core_no_BUS,region,South,728,49,0.28205128205128205,0.22448979591836735,0.25,0.6530311682846923,0.20761139085171598,651,28,38,11
dnn_no_class_weight_core_no_BUS,region,West,196,12,0.4,0.3333333333333333,0.3636363636363636,0.7780797101449275,0.35543879819077023,178,6,8,4
random_forest_core_no_BUS,region,Central,708,1,0.0,0.0,0.0,0.11315417256011318,0.0015923566878980893,702,5,1,0
random_forest_core_no_BUS,region,East,408,25,0.17647058823529413,0.12,0.14285714285714282,0.7884073107049608,0.17612190646276707,369,14,22,3
random_forest_core_no_BUS,region,North,876,113,0.2169811320754717,0.20353982300884957,0.2100456621004566,0.5798025957155616,0.1717824524465002,680,83,90,23
random_forest_core_no_BUS,region,Northeast,1032,108,0.26627218934911245,0.4166666666666667,0.3249097472924188,0.6254810004810005,0.21480913830067005,800,124,63,45
random_forest_core_no_BUS,region,South,728,49,0.3125,0.30612244897959184,0.30927835051546393,0.7551922094316372,0.2551684426076071,646,33,34,15
random_forest_core_no_BUS,region,West,196,12,0.6,0.25,0.35294117647058826,0.823822463768116,0.46147507173779295,182,2,9,3
xgboost_core_no_BUS,region,Central,708,1,0.0,0.0,0.0,0.4073550212164073,0.002380952380952381,628,79,1,0
xgboost_core_no_BUS,region,East,408,25,0.1111111111111111,0.32,0.16494845360824742,0.7330548302872063,0.12094924201453339,319,64,17,8
xgboost_core_no_BUS,region,North,876,113,0.18292682926829268,0.26548672566371684,0.21660649819494585,0.5826441967547756,0.1864081919714986,629,134,83,30
xgboost_core_no_BUS,region,Northeast,1032,108,0.25,0.3888888888888889,0.30434782608695654,0.6400462962962963,0.18140453289261385,798,126,66,42
xgboost_core_no_BUS,region,South,728,49,0.23170731707317074,0.3877551020408163,0.29007633587786263,0.7587989540440624,0.28826364533652443,616,63,30,19
xgboost_core_no_BUS,region,West,196,12,0.42857142857142855,0.25,0.3157894736842105,0.7527173913043478,0.28204883927212177,180,4,9,3
