year,region,rows,old_positive,updated_positive,disagreements,old_positive_updated_negative,old_negative_updated_positive,level,province
2016,Central,742,0,0,0,0,0,region,
2016,East,424,0,0,0,0,0,region,
2016,North,901,2,1,1,1,0,region,
2016,Northeast,1060,0,0,0,0,0,region,
2016,South,742,0,0,0,0,0,region,
2016,West,212,0,0,0,0,0,region,
2017,Central,742,10,5,5,5,0,region,
2017,East,424,3,2,1,1,0,region,
2017,North,901,25,13,12,12,0,region,
2017,Northeast,1060,27,12,15,15,0,region,
2017,South,742,0,0,0,0,0,region,
2017,West,212,0,0,0,0,0,region,
2018,Central,742,1,1,0,0,0,region,
2018,East,424,7,8,1,0,1,region,
2018,North,901,7,7,0,0,0,region,
2018,Northeast,1060,12,12,0,0,0,region,
2018,South,742,0,0,0,0,0,region,
2018,West,212,0,0,0,0,0,region,
2019,Central,742,6,4,2,2,0,region,
2019,East,424,9,8,3,2,1,region,
2019,North,901,54,45,15,12,3,region,
2019,Northeast,1060,40,34,6,6,0,region,
2019,South,742,39,28,11,11,0,region,
2019,West,212,0,0,0,0,0,region,
2020,Central,742,43,38,5,5,0,region,
2020,East,424,79,65,14,14,0,region,
2020,North,901,134,110,24,24,0,region,
2020,Northeast,1060,251,213,38,38,0,region,
2020,South,742,56,38,18,18,0,region,
2020,West,212,10,7,3,3,0,region,
2021,Central,742,2,1,1,1,0,region,
2021,East,424,28,25,9,6,3,region,
2021,North,901,130,113,17,17,0,region,
2021,Northeast,1060,128,108,22,21,1,region,
2021,South,742,57,49,26,17,9,region,
2021,West,212,14,12,6,4,2,region,
2016,Central,53,0,0,0,0,0,province,Ang Thong
2016,Central,53,0,0,0,0,0,province,Bangkok
2016,Central,53,0,0,0,0,0,province,Chai Nat
2016,Central,53,0,0,0,0,0,province,Lop Buri
2016,Central,53,0,0,0,0,0,province,Nakhon Pathom
2016,Central,53,0,0,0,0,0,province,Nonthaburi
2016,Central,53,0,0,0,0,0,province,Pathum Thani
2016,Central,53,0,0,0,0,0,province,Phra Nakhon Si Ayutthaya
2016,Central,53,0,0,0,0,0,province,Samut Prakarn
2016,Central,53,0,0,0,0,0,province,Samut Sakhon
2016,Central,53,0,0,0,0,0,province,Samut Songkhram
2016,Central,53,0,0,0,0,0,province,Saraburi
2016,Central,53,0,0,0,0,0,province,Sing Buri
2016,Central,53,0,0,0,0,0,province,Suphan Buri
2016,East,53,0,0,0,0,0,province,Chachoengsao
2016,East,53,0,0,0,0,0,province,Chanthaburi
2016,East,53,0,0,0,0,0,province,Chon Buri
2016,East,53,0,0,0,0,0,province,Nakhon Nayok
2016,East,53,0,0,0,0,0,province,Prachin Buri
2016,East,53,0,0,0,0,0,province,Rayong
2016,East,53,0,0,0,0,0,province,Sa kaeo
2016,East,53,0,0,0,0,0,province,Trat
2016,North,53,0,0,0,0,0,province,Chiang Mai
2016,North,53,0,0,0,0,0,province,Chiang Rai
2016,North,53,0,0,0,0,0,province,Kamphaeng Phet
2016,North,53,0,0,0,0,0,province,Lampang
2016,North,53,0,0,0,0,0,province,Lamphun
2016,North,53,0,0,0,0,0,province,Mae Hong Son
2016,North,53,0,0,0,0,0,province,Nakhon Sawan
2016,North,53,0,0,0,0,0,province,Nan
2016,North,53,0,0,0,0,0,province,Phayao
2016,North,53,0,0,0,0,0,province,Phetchabun
2016,North,53,0,0,0,0,0,province,Phichit
2016,North,53,0,0,0,0,0,province,Phitsanulok
2016,North,53,0,0,0,0,0,province,Phrae
2016,North,53,2,1,1,1,0,province,Sukhothai
2016,North,53,0,0,0,0,0,province,Tak
2016,North,53,0,0,0,0,0,province,Uthai Thani
2016,North,53,0,0,0,0,0,province,Uttaradit
2016,Northeast,53,0,0,0,0,0,province,Amnat Charoen
2016,Northeast,53,0,0,0,0,0,province,Bueng Kan
2016,Northeast,53,0,0,0,0,0,province,Buri Ram
2016,Northeast,53,0,0,0,0,0,province,Chaiyaphum
2016,Northeast,53,0,0,0,0,0,province,Kalasin
2016,Northeast,53,0,0,0,0,0,province,Khon Kaen
2016,Northeast,53,0,0,0,0,0,province,Loei
2016,Northeast,53,0,0,0,0,0,province,Maha Sarakham
2016,Northeast,53,0,0,0,0,0,province,Mukdahan
2016,Northeast,53,0,0,0,0,0,province,Nakhon Phanom
2016,Northeast,53,0,0,0,0,0,province,Nakhon Ratchasima
2016,Northeast,53,0,0,0,0,0,province,Nong Bua Lam Phu
2016,Northeast,53,0,0,0,0,0,province,Nong Khai
2016,Northeast,53,0,0,0,0,0,province,Roi Et
2016,Northeast,53,0,0,0,0,0,province,Sakon Nakhon
2016,Northeast,53,0,0,0,0,0,province,Si Sa Ket
2016,Northeast,53,0,0,0,0,0,province,Surin
2016,Northeast,53,0,0,0,0,0,province,Ubon Ratchathani
2016,Northeast,53,0,0,0,0,0,province,Udon Thani
2016,Northeast,53,0,0,0,0,0,province,Yasothon
2016,South,53,0,0,0,0,0,province,Chumphon
2016,South,53,0,0,0,0,0,province,Krabi
2016,South,53,0,0,0,0,0,province,Nakhon Si Thammarat
2016,South,53,0,0,0,0,0,province,Narathiwat
2016,South,53,0,0,0,0,0,province,Pattani
2016,South,53,0,0,0,0,0,province,Phang-nga
2016,South,53,0,0,0,0,0,province,Phatthalung
2016,South,53,0,0,0,0,0,province,Phuket
2016,South,53,0,0,0,0,0,province,Ranong
2016,South,53,0,0,0,0,0,province,Satun
2016,South,53,0,0,0,0,0,province,Songkhla
2016,South,53,0,0,0,0,0,province,Surat Thani
2016,South,53,0,0,0,0,0,province,Trang
2016,South,53,0,0,0,0,0,province,Yala
2016,West,53,0,0,0,0,0,province,Kanchanaburi
2016,West,53,0,0,0,0,0,province,Phetchaburi
2016,West,53,0,0,0,0,0,province,Prachuap Khiri Khan
2016,West,53,0,0,0,0,0,province,Ratchaburi
2017,Central,53,0,0,0,0,0,province,Ang Thong
2017,Central,53,2,1,1,1,0,province,Bangkok
2017,Central,53,0,0,0,0,0,province,Chai Nat
2017,Central,53,0,0,0,0,0,province,Lop Buri
2017,Central,53,2,1,1,1,0,province,Nakhon Pathom
2017,Central,53,2,1,1,1,0,province,Nonthaburi
2017,Central,53,0,0,0,0,0,province,Pathum Thani
2017,Central,53,2,1,1,1,0,province,Phra Nakhon Si Ayutthaya
2017,Central,53,0,0,0,0,0,province,Samut Prakarn
2017,Central,53,0,0,0,0,0,province,Samut Sakhon
2017,Central,53,0,0,0,0,0,province,Samut Songkhram
2017,Central,53,0,0,0,0,0,province,Saraburi
2017,Central,53,0,0,0,0,0,province,Sing Buri
2017,Central,53,2,1,1,1,0,province,Suphan Buri
2017,East,53,0,0,0,0,0,province,Chachoengsao
2017,East,53,0,0,0,0,0,province,Chanthaburi
2017,East,53,0,0,0,0,0,province,Chon Buri
2017,East,53,0,0,0,0,0,province,Nakhon Nayok
2017,East,53,3,2,1,1,0,province,Prachin Buri
2017,East,53,0,0,0,0,0,province,Rayong
2017,East,53,0,0,0,0,0,province,Sa kaeo
2017,East,53,0,0,0,0,0,province,Trat
2017,North,53,0,0,0,0,0,province,Chiang Mai
2017,North,53,0,0,0,0,0,province,Chiang Rai
2017,North,53,0,0,0,0,0,province,Kamphaeng Phet
2017,North,53,4,2,2,2,0,province,Lampang
2017,North,53,0,0,0,0,0,province,Lamphun
2017,North,53,0,0,0,0,0,province,Mae Hong Son
2017,North,53,0,0,0,0,0,province,Nakhon Sawan
2017,North,53,0,0,0,0,0,province,Nan
2017,North,53,0,0,0,0,0,province,Phayao
2017,North,53,0,0,0,0,0,province,Phetchabun
2017,North,53,5,3,2,2,0,province,Phichit
2017,North,53,2,1,1,1,0,province,Phitsanulok
2017,North,53,2,1,1,1,0,province,Phrae
2017,North,53,0,0,0,0,0,province,Sukhothai
2017,North,53,2,1,1,1,0,province,Tak
2017,North,53,10,5,5,5,0,province,Uthai Thani
2017,North,53,0,0,0,0,0,province,Uttaradit
2017,Northeast,53,0,0,0,0,0,province,Amnat Charoen
2017,Northeast,53,4,2,2,2,0,province,Bueng Kan
2017,Northeast,53,2,1,1,1,0,province,Buri Ram
2017,Northeast,53,0,0,0,0,0,province,Chaiyaphum
2017,Northeast,53,0,0,0,0,0,province,Kalasin
2017,Northeast,53,0,0,0,0,0,province,Khon Kaen
2017,Northeast,53,0,0,0,0,0,province,Loei
2017,Northeast,53,0,0,0,0,0,province,Maha Sarakham
2017,Northeast,53,7,3,4,4,0,province,Mukdahan
2017,Northeast,53,0,0,0,0,0,province,Nakhon Phanom
2017,Northeast,53,0,0,0,0,0,province,Nakhon Ratchasima
2017,Northeast,53,0,0,0,0,0,province,Nong Bua Lam Phu
2017,Northeast,53,2,0,2,2,0,province,Nong Khai
2017,Northeast,53,0,0,0,0,0,province,Roi Et
2017,Northeast,53,2,1,1,1,0,province,Sakon Nakhon
2017,Northeast,53,2,1,1,1,0,province,Si Sa Ket
2017,Northeast,53,2,1,1,1,0,province,Surin
2017,Northeast,53,6,3,3,3,0,province,Ubon Ratchathani
2017,Northeast,53,0,0,0,0,0,province,Udon Thani
2017,Northeast,53,0,0,0,0,0,province,Yasothon
2017,South,53,0,0,0,0,0,province,Chumphon
2017,South,53,0,0,0,0,0,province,Krabi
