year,season,file_count,rows,provinces,date_min,date_max,mean_variety_count,total_area
2015,Pov-Rice-In,77,693,77,2015-04-01,2015-12-01,12.0,57925858.0
2015,Pov-Rice-Off,73,584,73,2015-01-01,2015-12-01,9.0,8645073.0
2016,Pov-Rice-In,77,693,77,2016-04-01,2016-12-01,12.0,58524951.0
2016,Pov-Rice-Off,73,584,73,2016-01-01,2016-12-01,9.0,4904358.0
2017,Pov-Rice-In,77,693,77,2017-04-01,2017-12-01,12.0,59041121.0
2017,Pov-Rice-Off,73,584,73,2017-01-01,2017-12-01,9.0,10032872.0
2018,Pov-Rice-In,77,693,77,2018-04-01,2018-12-01,12.0,59793108.0
2018,Pov-Rice-Off,73,584,73,2018-01-01,2018-12-01,9.0,12331972.0
2019,Pov-Rice-In,77,693,77,2019-04-01,2019-12-01,12.0,61051123.0
2019,Pov-Rice-Off,70,560,70,2019-01-01,2019-12-01,9.0,12486606.0
2020,Pov-Rice-In,77,693,77,2020-04-01,2020-12-01,12.0,62289995.0
2020,Pov-Rice-Off,71,568,71,2020-01-01,2020-12-01,9.0,6977589.0
2021,Pov-Rice-In,77,693,77,2021-04-01,2021-12-01,12.0,62850317.0
2021,Pov-Rice-Off,72,576,72,2021-01-01,2021-12-01,9.0,7958142.0
2022,Pov-Rice-In,77,693,77,2022-04-01,2022-12-01,12.0,62850317.0
2022,Pov-Rice-Off,71,426,71,2022-01-01,2022-06-01,9.0,4611274.0
