year,season,variety,province_month_rows,provinces,total_area,mean_ratio,max_ratio
2015,inseason,ขาวดอกมะลิ105,295,60,23110016,0.24412813847561082,0.8757329724853405
2015,inseason,กข6,178,39,14415442,0.30633949237590014,0.7848405855223581
2015,inseason,ราชการไม่ไวต่อช่วงแสง,347,70,10196336,0.3269274914300234,0.9257372654155496
2015,inseason,พันธุ์พื้นเมือง,333,69,2364368,0.1230235995410736,0.9095583787053841
2015,inseason,กข15,130,29,1824942,0.03435546353845077,0.20755436195096597
2015,inseason,ราชการไวต่อช่วงแสง,294,62,1674148,0.09240987325455687,0.6934306569343066
2015,inseason,สุพรรณบุรี1,186,33,1663073,0.11080712515094335,0.517814726840855
2015,inseason,ปทุมธานี1,262,49,1259022,0.10223088793887218,0.7161290322580646
2015,inseason,ชัยนาท1,148,27,1115882,0.057347380338502355,0.3539473684210526
2015,inseason,"สุพรรณบุรี60,90",147,26,279697,0.022350925628691946,0.07104154124021674
2015,inseason,หอมสุพรรณบุรี,32,6,22687,0.006860960314473642,0.032679738562091505
2015,inseason,คลองหลวง1,6,1,245,0.0035318884852404424,0.00358719646799117
2015,offseason,กขไม่ไวต่อช่วงแสง,354,70,4060127,0.35165576372974766,0.9224161316574736
2015,offseason,ราชการไม่ไวต่อช่วงแสง,350,69,1291436,0.16808761003108177,0.8519574799066633
2015,offseason,"พิษณุโลก2,60-2",294,55,1053232,0.10702347451006762,0.6216216216216216
2015,offseason,สุพรรณบุรี1,288,54,714022,0.09820323143117672,0.5761957730812013
2015,offseason,"ชัยนาท1,2",322,63,662968,0.17104371867350537,0.7636363636363637
2015,offseason,ปทุมธานี1,326,63,413545,0.09332418423323105,0.6875
2015,offseason,กข10,151,32,272408,0.1415926254212463,0.6390253684949363
2015,offseason,"สุพรรณบุรี60,90",270,50,166676,0.03537993813891064,0.22287390029325513
2015,offseason,หอมสุพรรณบุรี,126,23,10659,0.003991529854252575,0.02664298401420959
2016,inseason,ขาวดอกมะลิ105,302,61,24241904,0.24930390593035698,0.8791490601777648
2016,inseason,กข6,181,39,14096100,0.29306433627159373,0.7724444444444445
2016,inseason,ราชการไม่ไวต่อช่วงแสง,361,73,11017218,0.36191246255383497,1.0
2016,inseason,พันธุ์พื้นเมือง,338,69,2128996,0.12144035216929794,0.8771701388888888
2016,inseason,กข15,116,26,1784370,0.03329991729184436,0.15666913747693473
2016,inseason,ราชการไวต่อช่วงแสง,265,55,1544784,0.0822623810261561,0.6420454545454546
2016,inseason,สุพรรณบุรี1,188,33,1479190,0.0839727430747664,0.42054263565891475
2016,inseason,ปทุมธานี1,264,48,1431845,0.10897117236598089,0.5633047210300429
2016,inseason,ชัยนาท1,143,25,605517,0.046930523087061665,0.18236173393124067
