year,season,matched_variety_keys,old_only_variety_keys,updated_only_variety_keys,keys_with_area_diff,total_abs_area_diff,max_area_abs_diff
2015,inseason,924,0,0,473,1720659484.0,77816925.0
2015,offseason,657,36,0,479,248551478.0,13649809.0
2016,inseason,924,0,0,454,1736685948.0,79670397.0
2016,offseason,657,36,0,431,152137218.0,10594485.0
2017,inseason,924,0,0,440,1754699615.0,85418775.0
2017,offseason,657,36,0,425,308897466.0,21139447.0
2018,inseason,924,0,0,526,1779309100.0,82677875.0
2018,offseason,657,36,0,396,356026386.0,23221452.0
2019,inseason,924,0,0,524,1813616317.0,88302456.0
2019,offseason,630,63,0,387,322517026.0,21078435.0
2020,inseason,924,0,0,504,1850460693.0,89598808.0
2020,offseason,639,54,0,375,217910494.0,14278537.0
2021,inseason,924,0,0,507,1866610689.0,89441244.0
2021,offseason,648,45,0,378,246650595.0,19331922.0
2022,inseason,0,0,924,506,62850317.0,3036422.0
2022,offseason,0,0,639,369,4611274.0,395491.0
