source,year,season,file_count,readable_files,rows,provinces,mean_variety_count,total_area,date_min,date_max
old,2015,inseason,77,77,28105,77,12.0,1778585342.0,2015-01-01,2015-12-31
old,2015,offseason,77,77,28105,77,9.0,257196551.0,2015-01-01,2015-12-31
old,2016,inseason,77,77,28182,77,12.0,1795210899.0,2016-01-01,2016-12-31
old,2016,offseason,77,77,28182,77,9.0,157041576.0,2016-01-01,2016-12-31
old,2017,inseason,77,77,28105,77,12.0,1813740736.0,2017-01-01,2017-12-31
old,2017,offseason,77,77,28105,77,9.0,318930338.0,2017-01-01,2017-12-31
old,2018,inseason,77,77,28105,77,12.0,1839102208.0,2018-01-01,2018-12-31
old,2018,offseason,77,77,28105,77,9.0,368358358.0,2018-01-01,2018-12-31
old,2019,inseason,77,77,28105,77,12.0,1874667440.0,2019-01-01,2019-12-31
old,2019,offseason,77,77,28105,77,9.0,335003632.0,2019-01-01,2019-12-31
old,2020,inseason,77,77,28182,77,12.0,1912750688.0,2020-01-01,2020-12-31
old,2020,offseason,77,77,28182,77,9.0,224888083.0,2020-01-01,2020-12-31
old,2021,inseason,77,77,28105,77,12.0,1929461006.0,2021-01-01,2021-12-31
old,2021,offseason,77,77,28105,77,9.0,254608737.0,2021-01-01,2021-12-31
updated,2015,inseason,77,77,693,77,12.0,57925858.0,2015-04-01,2015-12-01
updated,2015,offseason,73,73,584,73,9.0,8645073.0,2015-01-01,2015-12-01
updated,2016,inseason,77,77,693,77,12.0,58524951.0,2016-04-01,2016-12-01
updated,2016,offseason,73,73,584,73,9.0,4904358.0,2016-01-01,2016-12-01
updated,2017,inseason,77,77,693,77,12.0,59041121.0,2017-04-01,2017-12-01
updated,2017,offseason,73,73,584,73,9.0,10032872.0,2017-01-01,2017-12-01
updated,2018,inseason,77,77,693,77,12.0,59793108.0,2018-04-01,2018-12-01
updated,2018,offseason,73,73,584,73,9.0,12331972.0,2018-01-01,2018-12-01
updated,2019,inseason,77,77,693,77,12.0,61051123.0,2019-04-01,2019-12-01
updated,2019,offseason,70,70,560,70,9.0,12486606.0,2019-01-01,2019-12-01
updated,2020,inseason,77,77,693,77,12.0,62289995.0,2020-04-01,2020-12-01
updated,2020,offseason,71,71,568,71,9.0,6977589.0,2020-01-01,2020-12-01
updated,2021,inseason,77,77,693,77,12.0,62850317.0,2021-04-01,2021-12-01
updated,2021,offseason,72,72,576,72,9.0,7958142.0,2021-01-01,2021-12-01
updated,2022,inseason,77,77,693,77,12.0,62850317.0,2022-04-01,2022-12-01
updated,2022,offseason,71,71,426,71,9.0,4611274.0,2022-01-01,2022-06-01
