year,season,province,variety,area_old,area_updated,_merge,area_diff,area_abs_diff
2015,inseason,Amnat Charoen,กข15,248157.0,8111.0,both,-240046.0,240046.0
2015,inseason,Amnat Charoen,กข6,11971036.0,391272.0,both,-11579764.0,11579764.0
2015,inseason,Amnat Charoen,ขาวดอกมะลิ105,15884608.0,519188.0,both,-15365420.0,15365420.0
2015,inseason,Amnat Charoen,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Amnat Charoen,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Amnat Charoen,ปทุมธานี1,0.0,0.0,both,0.0,0.0
2015,inseason,Amnat Charoen,พันธุ์พื้นเมือง,667096.0,21804.0,both,-645292.0,645292.0
2015,inseason,Amnat Charoen,ราชการไม่ไวต่อช่วงแสง,126297.0,4128.0,both,-122169.0,122169.0
2015,inseason,Amnat Charoen,ราชการไวต่อช่วงแสง,49442.0,1616.0,both,-47826.0,47826.0
2015,inseason,Amnat Charoen,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Amnat Charoen,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Amnat Charoen,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Ang Thong,กข15,0.0,0.0,both,0.0,0.0
2015,inseason,Ang Thong,กข6,0.0,0.0,both,0.0,0.0
2015,inseason,Ang Thong,ขาวดอกมะลิ105,194779.0,6357.0,both,-188422.0,188422.0
2015,inseason,Ang Thong,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Ang Thong,ชัยนาท1,295125.0,9632.0,both,-285493.0,285493.0
2015,inseason,Ang Thong,ปทุมธานี1,3849438.0,125635.0,both,-3723803.0,3723803.0
2015,inseason,Ang Thong,พันธุ์พื้นเมือง,160738.0,5246.0,both,-155492.0,155492.0
2015,inseason,Ang Thong,ราชการไม่ไวต่อช่วงแสง,4520824.0,147545.0,both,-4373279.0,4373279.0
2015,inseason,Ang Thong,ราชการไวต่อช่วงแสง,171891.0,5610.0,both,-166281.0,166281.0
2015,inseason,Ang Thong,สุพรรณบุรี1,173913.0,5676.0,both,-168237.0,168237.0
2015,inseason,Ang Thong,"สุพรรณบุรี60,90",160738.0,5246.0,both,-155492.0,155492.0
2015,inseason,Ang Thong,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Bangkok,กข15,0.0,0.0,both,0.0,0.0
2015,inseason,Bangkok,กข6,0.0,0.0,both,0.0,0.0
2015,inseason,Bangkok,ขาวดอกมะลิ105,0.0,0.0,both,0.0,0.0
2015,inseason,Bangkok,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Bangkok,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Bangkok,ปทุมธานี1,499425.0,16257.0,both,-483168.0,483168.0
2015,inseason,Bangkok,พันธุ์พื้นเมือง,0.0,0.0,both,0.0,0.0
2015,inseason,Bangkok,ราชการไม่ไวต่อช่วงแสง,1716974.0,55890.0,both,-1661084.0,1661084.0
2015,inseason,Bangkok,ราชการไวต่อช่วงแสง,0.0,0.0,both,0.0,0.0
2015,inseason,Bangkok,สุพรรณบุรี1,265272.0,8635.0,both,-256637.0,256637.0
2015,inseason,Bangkok,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Bangkok,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Bueng Kan,กข15,191810.0,6274.0,both,-185536.0,185536.0
2015,inseason,Bueng Kan,กข6,11747796.0,384263.0,both,-11363533.0,11363533.0
2015,inseason,Bueng Kan,ขาวดอกมะลิ105,2563907.0,83864.0,both,-2480043.0,2480043.0
2015,inseason,Bueng Kan,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Bueng Kan,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Bueng Kan,ปทุมธานี1,0.0,0.0,both,0.0,0.0
2015,inseason,Bueng Kan,พันธุ์พื้นเมือง,126294.0,4131.0,both,-122163.0,122163.0
2015,inseason,Bueng Kan,ราชการไม่ไวต่อช่วงแสง,88782.0,2904.0,both,-85878.0,85878.0
2015,inseason,Bueng Kan,ราชการไวต่อช่วงแสง,249836.0,8172.0,both,-241664.0,241664.0
2015,inseason,Bueng Kan,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Bueng Kan,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Bueng Kan,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Buri Ram,กข15,2104825.0,68979.0,both,-2035846.0,2035846.0
2015,inseason,Buri Ram,กข6,3780715.0,123901.0,both,-3656814.0,3656814.0
2015,inseason,Buri Ram,ขาวดอกมะลิ105,72407739.0,2372935.0,both,-70034804.0,70034804.0
2015,inseason,Buri Ram,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Buri Ram,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Buri Ram,ปทุมธานี1,0.0,0.0,both,0.0,0.0
2015,inseason,Buri Ram,พันธุ์พื้นเมือง,3518112.0,115295.0,both,-3402817.0,3402817.0
2015,inseason,Buri Ram,ราชการไม่ไวต่อช่วงแสง,904252.0,29634.0,both,-874618.0,874618.0
2015,inseason,Buri Ram,ราชการไวต่อช่วงแสง,405684.0,13295.0,both,-392389.0,392389.0
2015,inseason,Buri Ram,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Buri Ram,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Buri Ram,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Chachoengsao,กข15,0.0,0.0,both,0.0,0.0
2015,inseason,Chachoengsao,กข6,68136.0,2214.0,both,-65922.0,65922.0
2015,inseason,Chachoengsao,ขาวดอกมะลิ105,2637602.0,85706.0,both,-2551896.0,2551896.0
2015,inseason,Chachoengsao,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Chachoengsao,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Chachoengsao,ปทุมธานี1,694469.0,22566.0,both,-671903.0,671903.0
2015,inseason,Chachoengsao,พันธุ์พื้นเมือง,88171.0,2865.0,both,-85306.0,85306.0
2015,inseason,Chachoengsao,ราชการไม่ไวต่อช่วงแสง,11353944.0,368933.0,both,-10985011.0,10985011.0
2015,inseason,Chachoengsao,ราชการไวต่อช่วงแสง,1255774.0,40805.0,both,-1214969.0,1214969.0
2015,inseason,Chachoengsao,สุพรรณบุรี1,1954982.0,63525.0,both,-1891457.0,1891457.0
2015,inseason,Chachoengsao,"สุพรรณบุรี60,90",1143168.0,37146.0,both,-1106022.0,1106022.0
2015,inseason,Chachoengsao,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Chai Nat,กข15,0.0,0.0,both,0.0,0.0
2015,inseason,Chai Nat,กข6,0.0,0.0,both,0.0,0.0
2015,inseason,Chai Nat,ขาวดอกมะลิ105,466491.0,15275.0,both,-451216.0,451216.0
2015,inseason,Chai Nat,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Chai Nat,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Chai Nat,ปทุมธานี1,5813072.0,190346.0,both,-5622726.0,5622726.0
2015,inseason,Chai Nat,พันธุ์พื้นเมือง,275588.0,9024.0,both,-266564.0,266564.0
2015,inseason,Chai Nat,ราชการไม่ไวต่อช่วงแสง,11911046.0,390022.0,both,-11521024.0,11521024.0
2015,inseason,Chai Nat,ราชการไวต่อช่วงแสง,0.0,0.0,both,0.0,0.0
2015,inseason,Chai Nat,สุพรรณบุรี1,2457269.0,80462.0,both,-2376807.0,2376807.0
2015,inseason,Chai Nat,"สุพรรณบุรี60,90",143536.0,4700.0,both,-138836.0,138836.0
2015,inseason,Chai Nat,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Chaiyaphum,กข15,1039330.0,34041.0,both,-1005289.0,1005289.0
2015,inseason,Chaiyaphum,กข6,18625802.0,610047.0,both,-18015755.0,18015755.0
2015,inseason,Chaiyaphum,ขาวดอกมะลิ105,21753836.0,712500.0,both,-21041336.0,21041336.0
2015,inseason,Chaiyaphum,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Chaiyaphum,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Chaiyaphum,ปทุมธานี1,0.0,0.0,both,0.0,0.0
2015,inseason,Chaiyaphum,พันธุ์พื้นเมือง,3741385.0,122541.0,both,-3618844.0,3618844.0
2015,inseason,Chaiyaphum,ราชการไม่ไวต่อช่วงแสง,520260.0,17040.0,both,-503220.0,503220.0
2015,inseason,Chaiyaphum,ราชการไวต่อช่วงแสง,1820392.0,59623.0,both,-1760769.0,1760769.0
2015,inseason,Chaiyaphum,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Chaiyaphum,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Chaiyaphum,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Chanthaburi,กข15,0.0,0.0,both,0.0,0.0
2015,inseason,Chanthaburi,กข6,0.0,0.0,both,0.0,0.0
2015,inseason,Chanthaburi,ขาวดอกมะลิ105,367398.0,11982.0,both,-355416.0,355416.0
2015,inseason,Chanthaburi,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Chanthaburi,ชัยนาท1,7512.0,245.0,both,-7267.0,7267.0
2015,inseason,Chanthaburi,ปทุมธานี1,26766.0,873.0,both,-25893.0,25893.0
