source,year,file_count,sampled_files,readable_sampled_files,rows,provinces,months
old,2015,1848,48,48,17665.0,77,12
old,2016,1848,48,48,17670.0,77,12
old,2017,1848,48,48,17677.0,77,12
old,2018,1848,48,48,17680.0,77,12
old,2019,1848,48,48,17679.0,77,12
old,2020,1848,48,48,17667.0,77,12
old,2021,1848,48,48,17541.0,77,12
old,2022,1848,48,48,17672.0,77,12
updated,2015,924,24,24,17665.0,77,12
updated,2016,924,24,24,17670.0,77,12
updated,2017,924,24,24,17677.0,77,12
updated,2018,924,24,24,17680.0,77,12
updated,2019,924,24,24,17679.0,77,12
updated,2020,924,24,24,17667.0,77,12
updated,2021,924,24,24,17541.0,77,12
updated,2022,924,24,24,17672.0,77,12
