source_old,province,year,month,rows_old,temp_value_sum_old,temp_value_count_old,temp_sum_old,temp_missing_old,dew_value_sum_old,dew_value_count_old,dew_sum_old,dew_missing_old,humidity_value_sum_old,humidity_value_count_old,humidity_sum_old,humidity_missing_old,wspd_value_sum_old,wspd_value_count_old,wspd_sum_old,wspd_missing_old,wgust_value_sum_old,wgust_value_count_old,wgust_sum_old,wgust_missing_old,wdir_value_sum_old,wdir_value_count_old,wdir_sum_old,wdir_missing_old,precip_value_sum_old,precip_value_count_old,precip_sum_old,precip_missing_old,cloudcover_value_sum_old,cloudcover_value_count_old,cloudcover_sum_old,cloudcover_missing_old,sealevelpressure_value_sum_old,sealevelpressure_value_count_old,sealevelpressure_sum_old,sealevelpressure_missing_old,temp_mean_old,dew_mean_old,humidity_mean_old,wspd_mean_old,wgust_mean_old,wdir_mean_old,precip_mean_old,cloudcover_mean_old,sealevelpressure_mean_old,source_updated,rows_updated,temp_value_sum_updated,temp_value_count_updated,temp_sum_updated,temp_missing_updated,dew_value_sum_updated,dew_value_count_updated,dew_sum_updated,dew_missing_updated,humidity_value_sum_updated,humidity_value_count_updated,humidity_sum_updated,humidity_missing_updated,wspd_value_sum_updated,wspd_value_count_updated,wspd_sum_updated,wspd_missing_updated,wgust_value_sum_updated,wgust_value_count_updated,wgust_sum_updated,wgust_missing_updated,wdir_value_sum_updated,wdir_value_count_updated,wdir_sum_updated,wdir_missing_updated,precip_value_sum_updated,precip_value_count_updated,precip_sum_updated,precip_missing_updated,cloudcover_value_sum_updated,cloudcover_value_count_updated,cloudcover_sum_updated,cloudcover_missing_updated,sealevelpressure_value_sum_updated,sealevelpressure_value_count_updated,sealevelpressure_sum_updated,sealevelpressure_missing_updated,temp_mean_updated,dew_mean_updated,humidity_mean_updated,wspd_mean_updated,wgust_mean_updated,wdir_mean_updated,precip_mean_updated,cloudcover_mean_updated,sealevelpressure_mean_updated,_merge,row_diff,temp_mean_abs_diff,dew_mean_abs_diff,humidity_mean_abs_diff,wspd_mean_abs_diff,wgust_mean_abs_diff,wdir_mean_abs_diff,precip_mean_abs_diff,cloudcover_mean_abs_diff,sealevelpressure_mean_abs_diff,any_numeric_diff
old,Amnat Charoen,2015,1,744,15688.000000000002,683,0,61,9758.5,683,0,61,41935.270000000004,683,0,61,5256.599999999999,683,0,61,42.5,1,0,743,48212.0,678,0,66,0.0,744,0.0,0,22566.2,682,0,62,252835.5,249,0,495,22.9692532942899,14.287701317715959,61.3986383601757,7.696339677891654,42.5,71.10914454277287,0.0,33.088269794721406,1015.4036144578313,updated,744,15688.0,683,0,61,9758.5,683,0,61,41935.270000000004,683,0,61,5256.6,683,0,61,42.5,1,0,743,48212.0,678,0,66,0.0,744,0.0,0,22566.199999999997,682,0,62,252835.5,249,0,495,22.9692532942899,14.287701317715959,61.3986383601757,7.696339677891655,42.5,71.10914454277287,0.0,33.088269794721406,1015.4036144578313,both,0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,False
old,Chai Nat,2015,1,740,5939.6,248,0,492,4103.8,248,0,492,16422.61,248,0,492,1215.6,248,0,492,0.0,0,0,740,27369.0,178,0,562,34.0,740,34.0,0,11120.4,248,0,492,251566.0,248,0,492,23.950000000000003,16.54758064516129,66.22020161290322,4.901612903225806,,153.75842696629215,0.04594594594594595,44.84032258064516,1014.3790322580645,updated,740,5939.6,248,0,492,4103.8,248,0,492,16422.61,248,0,492,1215.6000000000001,248,0,492,0.0,0,0,740,27369.0,178,0,562,34.0,740,34.0,0,11120.399999999998,248,0,492,251566.0,248,0,492,23.950000000000003,16.54758064516129,66.22020161290322,4.901612903225807,,153.75842696629215,0.04594594594594595,44.84032258064515,1014.3790322580645,both,0,0.0,0.0,0.0,8.881784197001252e-16,,0.0,0.0,7.105427357601002e-15,0.0,False
old,Chiang Mai,2015,1,744,15888.5,724,0,20,10144.099999999999,724,0,20,46367.899999999994,724,0,20,3333.3,724,0,20,0.0,0,0,744,117967.0,716,0,28,86.6,744,86.6,0,24800.5,724,0,20,251900.0,248,0,496,21.945441988950275,14.011187845303866,64.04406077348065,4.604005524861878,,164.75837988826817,0.11639784946236559,34.254834254143645,1015.7258064516129,updated,744,15888.5,724,0,20,10144.1,724,0,20,46367.899999999994,724,0,20,3333.3,724,0,20,0.0,0,0,744,117967.0,716,0,28,86.6,744,86.6,0,24800.5,724,0,20,251900.0,248,0,496,21.945441988950275,14.011187845303867,64.04406077348065,4.604005524861878,,164.75837988826817,0.11639784946236559,34.254834254143645,1015.7258064516129,both,0,0.0,1.7763568394002505e-15,0.0,0.0,,0.0,0.0,0.0,0.0,False
old,Nakhon Ratchasima,2015,1,740,5854.299999999999,248,0,492,3777.3,248,0,492,15372.72,248,0,492,943.9999999999999,248,0,492,0.0,0,0,740,18549.0,179,0,561,18.54,740,18.54,0,10704.4,248,0,492,251645.9,248,0,492,23.60604838709677,15.231048387096775,61.986774193548385,3.8064516129032255,,103.62569832402235,0.025054054054054052,43.16290322580645,1014.7012096774193,updated,740,5854.299999999999,248,0,492,3777.2999999999997,248,0,492,15372.72,248,0,492,944.0,248,0,492,0.0,0,0,740,18549.0,179,0,561,18.54,740,18.54,0,10704.4,248,0,492,251645.90000000002,248,0,492,23.60604838709677,15.231048387096774,61.986774193548385,3.806451612903226,,103.62569832402235,0.025054054054054052,43.16290322580645,1014.7012096774195,both,0,0.0,1.7763568394002505e-15,0.0,4.440892098500626e-16,,0.0,0.0,0.0,1.1368683772161603e-13,False
old,Songkhla,2015,1,744,19302.800000000003,733,0,11,16241.400000000001,733,0,11,57692.21000000001,733,0,11,6307.4,733,0,11,0.0,0,0,744,78758.0,733,0,11,54.95,744,54.95,0,55639.200000000004,733,0,11,251094.09999999998,248,0,496,26.333969986357438,22.157435197817193,78.70697135061393,8.604911323328785,,107.44611186903138,0.07385752688172044,75.90613915416098,1012.4762096774192,updated,744,19302.800000000003,733,0,11,16241.399999999998,733,0,11,57692.21,733,0,11,6307.4,733,0,11,0.0,0,0,744,78758.0,733,0,11,54.95,744,54.95,0,55639.2,733,0,11,251094.09999999998,248,0,496,26.333969986357438,22.157435197817186,78.70697135061391,8.604911323328785,,107.44611186903138,0.07385752688172044,75.90613915416098,1012.4762096774192,both,0,0.0,7.105427357601002e-15,1.4210854715202004e-14,0.0,,0.0,0.0,0.0,0.0,False
old,Suphan Buri,2015,1,740,6060.7,248,0,492,4563.1,248,0,492,17671.49,248,0,492,532.7,248,0,492,0.0,0,0,740,24845.0,186,0,554,22.349999999999998,740,22.349999999999998,0,12206.2,248,0,492,251498.4,248,0,492,24.438306451612902,18.39959677419355,71.25600806451614,2.147983870967742,,133.5752688172043,0.0302027027027027,49.218548387096774,1014.1064516129032,updated,740,6060.7,248,0,492,4563.1,248,0,492,17671.49,248,0,492,532.7,248,0,492,0.0,0,0,740,24845.0,186,0,554,22.35,740,22.35,0,12206.2,248,0,492,251498.40000000002,248,0,492,24.438306451612902,18.39959677419355,71.25600806451614,2.147983870967742,,133.5752688172043,0.030202702702702703,49.218548387096774,1014.1064516129034,both,0,0.0,0.0,0.0,0.0,,0.0,3.469446951953614e-18,0.0,1.1368683772161603e-13,False
old,Amnat Charoen,2015,4,720,19853.2,655,0,65,13076.8,655,0,65,37370.95,655,0,65,3855.2,655,0,65,33.5,1,0,719,82297.0,643,0,77,74.19,720,74.19,0,35383.1,655,0,65,242353.19999999998,240,0,480,30.310229007633588,19.964580152671754,57.0548854961832,5.885801526717557,33.5,127.98911353032659,0.10304166666666667,54.019999999999996,1009.805,updated,720,19853.2,655,0,65,13076.8,655,0,65,37370.95,655,0,65,3855.2,655,0,65,33.5,1,0,719,82297.0,643,0,77,74.19,720,74.19,0,35383.1,655,0,65,242353.2,240,0,480,30.310229007633588,19.964580152671754,57.0548854961832,5.885801526717557,33.5,127.98911353032659,0.10304166666666667,54.019999999999996,1009.8050000000001,both,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,False
old,Chai Nat,2015,4,716,7238.1,240,0,476,5469.8,240,0,476,16251.91,240,0,476,862.5,240,0,476,0.0,0,0,716,37242.0,219,0,497,259.6,716,259.6,0,13153.2,240,0,476,242321.4,240,0,476,30.15875,22.790833333333335,67.71629166666666,3.59375,,170.05479452054794,0.36256983240223467,54.805,1009.6725,updated,716,7238.1,240,0,476,5469.799999999999,240,0,476,16251.91,240,0,476,862.5,240,0,476,0.0,0,0,716,37242.0,219,0,497,259.6,716,259.6,0,13153.2,240,0,476,242321.4,240,0,476,30.15875,22.79083333333333,67.71629166666666,3.59375,,170.05479452054794,0.36256983240223467,54.805,1009.6725,both,0,0.0,3.552713678800501e-15,0.0,0.0,,0.0,0.0,0.0,0.0,False
old,Chiang Mai,2015,4,720,20670.9,702,0,18,12041.4,702,0,18,35790.94,702,0,18,4791.0,702,0,18,133.2,2,0,718,108569.0,697,0,23,78.69,720,78.69,0,27666.900000000005,702,0,18,242356.59999999998,240,0,480,29.445726495726497,17.152991452991454,50.98424501424502,6.8247863247863245,66.6,155.7661406025825,0.10929166666666666,39.41153846153847,1009.8191666666665,updated,720,20670.899999999998,702,0,18,12041.4,702,0,18,35790.94,702,0,18,4791.0,702,0,18,133.2,2,0,718,108569.0,697,0,23,78.69000000000001,720,78.69000000000001,0,27666.9,702,0,18,242356.6,240,0,480,29.445726495726493,17.152991452991454,50.98424501424502,6.8247863247863245,66.6,155.7661406025825,0.10929166666666669,39.41153846153846,1009.8191666666667,both,0,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,7.105427357601002e-15,1.1368683772161603e-13,False
old,Nakhon Ratchasima,2015,4,716,7201.0,240,0,476,5385.4,240,0,476,15937.7,240,0,476,951.0,240,0,476,0.0,0,0,716,32317.0,193,0,523,99.75000000000001,716,99.75000000000001,0,13124.599999999999,240,0,476,242273.2,240,0,476,30.004166666666666,22.439166666666665,66.40708333333333,3.9625,,167.4455958549223,0.13931564245810057,54.68583333333333,1009.4716666666667,updated,716,7201.0,240,0,476,5385.4,240,0,476,15937.7,240,0,476,951.0,240,0,476,0.0,0,0,716,32317.0,193,0,523,99.75,716,99.75,0,13124.6,240,0,476,242273.2,240,0,476,30.004166666666666,22.439166666666665,66.40708333333333,3.9625,,167.4455958549223,0.13931564245810055,54.685833333333335,1009.4716666666667,both,0,0.0,0.0,0.0,0.0,,0.0,2.7755575615628914e-17,7.105427357601002e-15,0.0,False
