file_path,year,metadata_column,sample_unique_values,sample_unique_count
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Amnat Charoen 2015-01-01.csv,2015,address,Amnat Charoen,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Amnat Charoen 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Amnat Charoen 2015-01-01.csv,2015,latitude,15.85274545,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Amnat Charoen 2015-01-01.csv,2015,longitude,104.7030364,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Amnat Charoen 2015-01-01.csv,2015,name,"15.85274545,104.7030364",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Amnat Charoen 2015-01-01.csv,2015,resolvedAddress,"15.85274545,104.7030364",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Ang Thong 2015-07-01.csv,2015,address,Ang Thong,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Ang Thong 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Ang Thong 2015-07-01.csv,2015,latitude,14.61094444,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Ang Thong 2015-07-01.csv,2015,longitude,100.3843056,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Ang Thong 2015-07-01.csv,2015,name,"14.61094444,100.3843056",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Ang Thong 2015-07-01.csv,2015,resolvedAddress,"14.61094444,100.3843056",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Bueng Kan 2015-01-01.csv,2015,address,Bueng Kan,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Bueng Kan 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Bueng Kan 2015-01-01.csv,2015,latitude,18.15978846,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Bueng Kan 2015-01-01.csv,2015,longitude,103.6703269,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Bueng Kan 2015-01-01.csv,2015,name,"18.15978846,103.6703269",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Bueng Kan 2015-01-01.csv,2015,resolvedAddress,"18.15978846,103.6703269",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Buri Ram 2015-07-01.csv,2015,address,Buri Ram,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Buri Ram 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Buri Ram 2015-07-01.csv,2015,latitude,14.89489362,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Buri Ram 2015-07-01.csv,2015,longitude,102.9742287,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Buri Ram 2015-07-01.csv,2015,name,"14.89489362,102.9742287",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Buri Ram 2015-07-01.csv,2015,resolvedAddress,"14.89489362,102.9742287",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chai Nat 2015-01-01.csv,2015,address,Chai Nat,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chai Nat 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chai Nat 2015-01-01.csv,2015,latitude,15.15194231,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chai Nat 2015-01-01.csv,2015,longitude,100.0815577,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chai Nat 2015-01-01.csv,2015,name,"15.15194231,100.0815577",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chai Nat 2015-01-01.csv,2015,resolvedAddress,"15.15194231,100.0815577",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chaiyaphum 2015-07-01.csv,2015,address,Chaiyaphum,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chaiyaphum 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chaiyaphum 2015-07-01.csv,2015,latitude,15.97104065,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chaiyaphum 2015-07-01.csv,2015,longitude,101.9395366,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chaiyaphum 2015-07-01.csv,2015,name,"15.97104065,101.9395366",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chaiyaphum 2015-07-01.csv,2015,resolvedAddress,"15.97104065,101.9395366",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chiang Mai 2015-01-01.csv,2015,address,Chiang Mai,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chiang Mai 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chiang Mai 2015-01-01.csv,2015,latitude,18.8569697,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chiang Mai 2015-01-01.csv,2015,longitude,98.9199899,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chiang Mai 2015-01-01.csv,2015,name,"18.8569697,98.9199899",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chiang Mai 2015-01-01.csv,2015,resolvedAddress,"18.8569697,98.9199899",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chiang Rai 2015-07-01.csv,2015,address,Chiang Rai,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chiang Rai 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chiang Rai 2015-07-01.csv,2015,latitude,19.88303252,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chiang Rai 2015-07-01.csv,2015,longitude,99.92217886,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chiang Rai 2015-07-01.csv,2015,name,"19.88303252,99.92217886",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chiang Rai 2015-07-01.csv,2015,resolvedAddress,"19.88303252,99.92217886",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chumphon 2015-01-01.csv,2015,address,Chumphon,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chumphon 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chumphon 2015-01-01.csv,2015,latitude,10.3336087,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chumphon 2015-01-01.csv,2015,longitude,99.18683478,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chumphon 2015-01-01.csv,2015,name,"10.3336087,99.18683478",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Chumphon 2015-01-01.csv,2015,resolvedAddress,"10.3336087,99.18683478",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Kalasin 2015-07-01.csv,2015,address,Kalasin,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Kalasin 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Kalasin 2015-07-01.csv,2015,latitude,16.58667669,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Kalasin 2015-07-01.csv,2015,longitude,103.6133985,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Kalasin 2015-07-01.csv,2015,name,"16.58667669,103.6133985",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Kalasin 2015-07-01.csv,2015,resolvedAddress,"16.58667669,103.6133985",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Kanchanaburi 2015-01-01.csv,2015,address,Kanchanaburi,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Kanchanaburi 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Kanchanaburi 2015-01-01.csv,2015,latitude,14.22504255,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Kanchanaburi 2015-01-01.csv,2015,longitude,99.4401383,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Kanchanaburi 2015-01-01.csv,2015,name,"14.22504255,99.4401383",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Kanchanaburi 2015-01-01.csv,2015,resolvedAddress,"14.22504255,99.4401383",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Khon Kaen 2015-07-01.csv,2015,address,Khon Kaen,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Khon Kaen 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Khon Kaen 2015-07-01.csv,2015,latitude,16.35285,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Khon Kaen 2015-07-01.csv,2015,longitude,102.598805,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Khon Kaen 2015-07-01.csv,2015,name,"16.35285,102.598805",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Khon Kaen 2015-07-01.csv,2015,resolvedAddress,"16.35285,102.598805",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lampang 2015-01-01.csv,2015,address,Lampang,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lampang 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lampang 2015-01-01.csv,2015,latitude,18.34986458,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lampang 2015-01-01.csv,2015,longitude,99.50325,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lampang 2015-01-01.csv,2015,name,"18.34986458,99.50325",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lampang 2015-01-01.csv,2015,resolvedAddress,"18.34986458,99.50325",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lamphun 2015-07-01.csv,2015,address,Lamphun,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lamphun 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lamphun 2015-07-01.csv,2015,latitude,18.36132,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lamphun 2015-07-01.csv,2015,longitude,98.96236,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lamphun 2015-07-01.csv,2015,name,"18.36132,98.96236",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lamphun 2015-07-01.csv,2015,resolvedAddress,"18.36132,98.96236",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lop Buri 2015-01-01.csv,2015,address,Lop Buri,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lop Buri 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lop Buri 2015-01-01.csv,2015,latitude,15.02860833,1
