column,file_count,year_count,years,is_terrain_candidate,is_pressure_candidate,is_metadata_candidate
sealevelpressure,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,True,False
address,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,True
info,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,True
latitude,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,True
longitude,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,True
name,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,True
resolvedAddress,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,True
cloudcover,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
conditions,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
datetime,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
dew,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
heatindex,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
humidity,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
maxt,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
mint,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
precip,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
precipcover,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
snowdepth,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
temp,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
visibility,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
wdir,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
weathertype,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
wgust,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
windchill,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
wspd,7392,8,2015|2016|2017|2018|2019|2020|2021|2022,False,False,False
